"sample_id","reference_type","control_scope","initial_ploidy","initial_ploidy_numeric","analysis_group","analysis_group_numeric","dose","dose_mg","cell_count","sample_mean_endpoint_ploidy","mean_cell_ploidy","median_cell_ploidy","p90_cell_ploidy","mean_pseudotime","median_pseudotime","reference_n_samples","reference_cell_count","ecdf_rmse","ecdf_ks","ecdf_mean_abs","signed_mean_shift","TGI_percent_auc","TGI_percent_Day_3","TGI_percent_Day_7","TGI_percent_Day_10","TGI_percent_Day_14","TGI_percent_Day_17","TGI_percent_Day_21","TGI_percent_Day_24","TGI_percent_Day_27","TGI_percent_Day_31","TGI_percent_Day_34","TGI_percent_Day_38","tgi_value","tgi_measure","tgi_outcome","tgi_control_summary","tgi_day","tgi_axis_label","tgi_title_label","analysis_id","pearson_r","pearson_p_asymptotic","pearson_p_permutation_two_sided","pearson_p_permutation_positive","pearson_n_permutations","pearson_permutation_mode","spearman_rho","spearman_p_asymptotic","spearman_p_permutation_two_sided","spearman_p_permutation_positive","spearman_n_permutations","spearman_permutation_mode","plot_annotation"
"2N-A2-0","primary_equal_sample_reference","analysis_group","2N",0,"ETP-lower",0,"30mg/kg",30,95,2.31570000737479,2.31803706875172,2.32219947650157,2.3439423606923,0.467133313417435,0.505020081996918,7,1214,0.0668373029655949,0.167094122084516,0.0469217334516329,-0.044139786321805,76.2494538413114,235.886322488616,177.750634073475,120.624781564408,102.672401319236,94.1937794147739,89.384507311262,80.6576723722845,82.2568862402508,80.8618934509671,59.6194779092641,21.846324696681,94.1937794147739,"TGI_percent_Day_17","day","mean",17,"Day 17 TGI (%)","Day 17 TGI","CellCycle_AUC_TGI_vs_ecdf_rmse_by_ploidy_dose",0.607527071082998,0.110140748932667,0.112673611111111,0.0557043650793651,40320,"exact_TGI_label_enumeration",0.404761904761905,0.319888641228816,0.326835317460317,0.163417658730159,40320,"exact_TGI_label_enumeration","Pearson r = 0.608
Permutation P = 0.113
n = 8"
"2N-A2-L","primary_equal_sample_reference","analysis_group","2N",0,"ETP-lower",0,"30mg/kg",30,211,2.25827409402308,2.26216722070833,2.2620223149265,2.28376519911724,0.47728045480723,0.508121967315674,7,1214,0.0526977256624624,0.127404316498126,0.0401476345233608,-0.03399264493201,56.300426778394,156.18039172656,82.2552787589276,74.494158939314,12.4234728244328,59.4472580315122,48.7535083374608,54.4028927765557,57.3030370085208,67.9574582187409,64.581736553233,30.5554303179006,59.4472580315122,"TGI_percent_Day_17","day","mean",17,"Day 17 TGI (%)","Day 17 TGI","CellCycle_AUC_TGI_vs_ecdf_rmse_by_ploidy_dose",0.607527071082998,0.110140748932667,0.112673611111111,0.0557043650793651,40320,"exact_TGI_label_enumeration",0.404761904761905,0.319888641228816,0.326835317460317,0.163417658730159,40320,"exact_TGI_label_enumeration","Pearson r = 0.608
Permutation P = 0.113
n = 8"
"A6-4N-RR","primary_equal_sample_reference","analysis_group","4N",1,"ETP-lower",0,"30mg/kg",30,193,2.23538862603727,2.20595578416892,2.21560126016431,2.36116118282251,0.481236708915064,0.526266038417816,7,1214,0.0386652250528228,0.0779889947625649,0.0338445560791222,-0.0300363908241755,47.5511900889708,17.0064352109319,62.2463168216562,85.2532378917012,50.4002944030941,33.7803382040094,29.8123517375907,35.2041533118349,39.2101603389456,52.524934449654,53.4172537603105,54.7480177314431,33.7803382040094,"TGI_percent_Day_17","day","mean",17,"Day 17 TGI (%)","Day 17 TGI","CellCycle_AUC_TGI_vs_ecdf_rmse_by_ploidy_dose",0.607527071082998,0.110140748932667,0.112673611111111,0.0557043650793651,40320,"exact_TGI_label_enumeration",0.404761904761905,0.319888641228816,0.326835317460317,0.163417658730159,40320,"exact_TGI_label_enumeration","Pearson r = 0.608
Permutation P = 0.113
n = 8"
"A6-4N-O","primary_equal_sample_reference","analysis_group","4N",1,"ETP-higher",1,"30mg/kg",30,60,2.40690861238325,2.37105209557859,2.389437739905,2.4668503282033,0.49985921792686,0.510244727134705,1,114,0.0474663207637893,0.1,0.038808348215849,0.0368897919918889,40.5185889265235,65.9331055851275,47.8913653278893,70.8216391585344,71.5684541312042,26.6609729964751,40.1020860632838,20.9772959692096,32.0939974103983,41.1096008114476,42.2164774381368,43.867222320261,26.6609729964751,"TGI_percent_Day_17","day","mean",17,"Day 17 TGI (%)","Day 17 TGI","CellCycle_AUC_TGI_vs_ecdf_rmse_by_ploidy_dose",0.607527071082998,0.110140748932667,0.112673611111111,0.0557043650793651,40320,"exact_TGI_label_enumeration",0.404761904761905,0.319888641228816,0.326835317460317,0.163417658730159,40320,"exact_TGI_label_enumeration","Pearson r = 0.608
Permutation P = 0.113
n = 8"
"2N-A4-R","primary_equal_sample_reference","analysis_group","2N",0,"ETP-lower",0,"120mg/kg",120,140,2.01124775168715,2.0153134411076,2.01553424438116,2.03727712857189,0.467617943483804,0.448596432805061,7,1214,0.0731234870384016,0.152342563947819,0.0577369965791244,-0.0436551562554355,74.3583501376437,-307.483403741702,142.709322047085,146.930747551662,135.01065268263,119.828115408226,100.033667090743,70.4740414845306,65.7147533927256,67.4207028126268,52.7133199342225,53.7113717636283,119.828115408226,"TGI_percent_Day_17","day","mean",17,"Day 17 TGI (%)","Day 17 TGI","CellCycle_AUC_TGI_vs_ecdf_rmse_by_ploidy_dose",0.607527071082998,0.110140748932667,0.112673611111111,0.0557043650793651,40320,"exact_TGI_label_enumeration",0.404761904761905,0.319888641228816,0.326835317460317,0.163417658730159,40320,"exact_TGI_label_enumeration","Pearson r = 0.608
Permutation P = 0.113
n = 8"
"2N-A4-RL","primary_equal_sample_reference","analysis_group","2N",0,"ETP-lower",0,"120mg/kg",120,310,2.1766115066713,2.17492493493719,2.17549549705271,2.19445592880316,0.498624597688117,0.530575841665268,7,1214,0.0317960191734575,0.0710708502343871,0.0252875383938042,-0.0126485020511231,48.517379841699,190.546990728041,100.46057852397,76.8409937611077,38.1815097371008,66.5669122160835,52.1383458451897,34.0590451193837,45.0107154657363,56.6500008305234,39.8454277314135,37.9347493361745,66.5669122160835,"TGI_percent_Day_17","day","mean",17,"Day 17 TGI (%)","Day 17 TGI","CellCycle_AUC_TGI_vs_ecdf_rmse_by_ploidy_dose",0.607527071082998,0.110140748932667,0.112673611111111,0.0557043650793651,40320,"exact_TGI_label_enumeration",0.404761904761905,0.319888641228816,0.326835317460317,0.163417658730159,40320,"exact_TGI_label_enumeration","Pearson r = 0.608
Permutation P = 0.113
n = 8"
"4N-A8-RL","primary_equal_sample_reference","analysis_group","4N",1,"ETP-lower",0,"120mg/kg",120,456,2.26820976674737,2.22198734201226,2.22266509064424,2.34028339766293,0.500231902613386,0.538705289363861,7,1214,0.0265629945887547,0.0821879564299889,0.0213494137012549,-0.0110411971258534,63.0402557981567,71.9710812743307,92.8305617399552,90.5039009192265,76.6757705531964,61.1000170810106,66.7184321616833,45.5508398433033,60.1852646981084,59.9172095569793,63.1774866569626,64.2294227929587,61.1000170810106,"TGI_percent_Day_17","day","mean",17,"Day 17 TGI (%)","Day 17 TGI","CellCycle_AUC_TGI_vs_ecdf_rmse_by_ploidy_dose",0.607527071082998,0.110140748932667,0.112673611111111,0.0557043650793651,40320,"exact_TGI_label_enumeration",0.404761904761905,0.319888641228816,0.326835317460317,0.163417658730159,40320,"exact_TGI_label_enumeration","Pearson r = 0.608
Permutation P = 0.113
n = 8"
"4N-A8-RR","primary_equal_sample_reference","analysis_group","4N",1,"ETP-lower",0,"120mg/kg",120,88,2.22746650120564,2.22610238854283,2.24851822187151,2.29685894441339,0.475019505649636,0.518231272697449,7,1214,0.064246725281118,0.157449883595465,0.0476161866039914,-0.0362535940896039,65.4567300453646,116.385159291332,118.167935250006,84.6682287509334,87.360871086802,60.4018695942484,29.450457239779,42.4861714188631,76.9420618448626,74.1159604213578,60.6311499272198,61.7558291591441,60.4018695942484,"TGI_percent_Day_17","day","mean",17,"Day 17 TGI (%)","Day 17 TGI","CellCycle_AUC_TGI_vs_ecdf_rmse_by_ploidy_dose",0.607527071082998,0.110140748932667,0.112673611111111,0.0557043650793651,40320,"exact_TGI_label_enumeration",0.404761904761905,0.319888641228816,0.326835317460317,0.163417658730159,40320,"exact_TGI_label_enumeration","Pearson r = 0.608
Permutation P = 0.113
n = 8"
