"Cell iname"	"Cell lineage"	"Primary disease"	"Collection"	"Cell type"	"Growth medium"	"Growth pattern"	"Doubling time"	"Provider name"	"Provider catalog ID"	"Donor disease age of onset"	"Donor tumor phase"	"Donor age of death"	"Subtype"	"Donor age"	"Donor ethnicity"	"Metastatic site"	"Comments"	"Cell histology"	"CCLE name"	"Alias"	"Donor sex"	"Cellosaurus ID"	"Cellosaurus Doubling time sd"	"Cellosaurus Doubling time"	"ploidy"
"ABC1"	"lung"	"lung cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"MEM (Invitrogen catalogue #12571-63)"	"adherent"	"72.00"	"HSRRB"	"-666"	-666	"primary"	-666	"non small cell lung cancer"	"-666"	"unknown"	"-666"	NA	"-666"	"ABC1_LUNG"	"ABC1"	"M"	"CVCL_1066"	NA	72	2.387710584
"ACCMESO1"	"lung"	"lung cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"RPMI-164+ 1% FBS"	"adherent"	"36.00"	"RIKEN"	"-666"	-666	"metastatic"	-666	"mesothelioma"	"-666"	"-666"	"pleural_effusion"	NA	"mesothelioma"	"ACCMESO1_PLEURA"	"ACC-Meso-1, MESO-1"	"F"	"CVCL_5113"	NA	NA	NA
"ACCS"	"urinary_tract"	"bladder cancer"	"CCLE"	"-666"	"-666"	"adherent"	"-666.00"	"-666"	"-666"	-666	"-666"	-666	"carcinoma"	"-666"	"-666"	"-666"	NA	"-666"	"ACCS_URINARY_TRACT"	"-666"	"F"	"CVCL_6876"	NA	NA	NA
"ACHN"	"kidney"	"kidney cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"EMEM ATCC catalog # 3-23"	"adherent"	"48.00"	"ATCC"	"CRL-1611"	-666	"metastatic"	-666	"carcinoma"	"22"	"Caucasian"	"-666"	NA	"carcinoma, renal"	"ACHN_KIDNEY"	"-666"	"M"	"CVCL_1067"	3.18198051533946	29.75	2.337792141
"AGS"	"stomach"	"gastric cancer"	"ACHILLES, CCLE, CMAP, PRISM-HURON, PRISM-PR500"	"-666"	"F-12K ATCC catalog # 3-24"	"adherent"	"24.00"	"ATCC"	"CRL-1739"	-666	"primary"	-666	"adenocarcinoma"	"54"	"Caucasian"	"-666"	NA	"carcinoma"	"AGS_STOMACH"	"-666"	"F"	"CVCL_0139"	NA	22	2.094259233
"ALLSIL"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE, PRISM-PR300, PRISM-SUSP"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"48.00"	"DSMZ"	"-666"	-666	"recurrent"	-666	"acute lymphoblastic leukemia (all)"	"-666"	"-666"	"-666"	NA	"lymphoid_neoplasm"	"ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"ALLSIL, SIL-ALL"	"M"	"CVCL_1805"	11.3137084989848	56	2.04827072
"AML193"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE"	"-666"	"IMDM ATCC catalog #3-25"	"suspension"	"50-60"	"ATCC"	"CRL-9589"	-666	"-666"	-666	"acute myelogenous leukemia (aml)"	"-666"	"-666"	"-666"	NA	"-666"	"AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"AML193"	"F"	"CVCL_1071"	7.07106781186548	60	NA
"AMO1"	"haematopoietic_and_lymphoid_tissue"	"lymphoma, myeloma"	"CCLE, PRISM-PR300, PRISM-SUSP"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"50-90"	"DSMZ"	"-666"	-666	"primary"	-666	"plasmacytoma"	"-666"	"unknown"	"-666"	NA	"-666"	"AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"AMO-1, AMo1"	"F"	"CVCL_1806"	39.5979797464467	52	3.496529914
"AM38"	"central_nervous_system"	"brain cancer"	"CCLE, PRISM-HURON, PRISM-PR300"	"-666"	"EMEM ATCC catalog # 3-23"	"adherent"	"38.40"	"HSRRB"	"-666"	-666	"primary"	-666	"astrocytoma, glioblastoma"	"-666"	"-666"	"-666"	NA	"glioma"	"AM38_CENTRAL_NERVOUS_SYSTEM"	"AM, AM38"	"M"	"CVCL_1070"	33.2340187157677	48.5	3.235077179
"AN3CA"	"endometrium"	"endometrial cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"MEM (Invitrogen catalogue #12571-63)"	"adherent"	"48.00"	"ATCC"	"HTB-111"	-666	"metastatic"	-666	"adenocarcinoma"	"55"	"Caucasian"	"lymph_node"	NA	"carcinoma"	"AN3CA_ENDOMETRIUM"	"AN-3, AN3, AN3 Ca, AN3 CA, AN3CA"	"F"	"CVCL_0028"	NA	55	2.170906977
"ASPC1"	"pancreas"	"pancreatic cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"adherent"	"108.00"	"ATCC"	"CRL-1682"	-666	"metastatic"	-666	"adenocarcinoma"	"62"	"Caucasian"	"ascites"	NA	"carcinoma"	"ASPC1_PANCREAS"	"As-PC1, Aspc-1, AsPc-1, ASPC-1, Aspc1, AsPc1, AsPC1, ASPC1"	"F"	"CVCL_0152"	4.94974746830583	42.5	2.461243113
"AU565"	"breast"	"breast cancer"	"ACHILLES, CCLE, PRISM-PR300"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"adherent"	">120"	"ATCC"	"CRL-2351"	-666	"metastatic"	-666	"adenocarcinoma"	"43"	"Caucasian"	"pleural_effusion"	NA	"carcinoma"	"AU565_BREAST"	"AU 565, AU-565"	"F"	"CVCL_1074"	NA	NA	3.614169561
"A101D"	"skin"	"skin cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"DMEM"	"adherent"	"36.00"	"ATCC"	"CRL-7898"	-666	"-666"	-666	"melanoma"	"58"	"Caucasian"	"-666"	NA	"malignant_melanoma"	"A101D_SKIN"	"A-101D"	"M"	"CVCL_1057"	NA	NA	2.522666899
"A1207"	"central_nervous_system"	"brain cancer"	"CCLE, PRISM-PR300"	"-666"	"-666"	"-666"	"24.00"	"-666"	"-666"	-666	"-666"	-666	"glioblastoma"	"-666"	"-666"	"-666"	NA	"-666"	"A1207_CENTRAL_NERVOUS_SYSTEM"	"A 1207, A1207"	"-666"	"CVCL_8481"	NA	24	NA
"A172"	"central_nervous_system"	"brain cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"EMEM ATCC catalog # 3-23"	"adherent"	"36.00"	"ATCC"	"CRL-1620"	-666	"primary"	-666	"astrocytoma, glioblastoma"	"53"	"unknown"	"-666"	NA	"glioma"	"A172_CENTRAL_NERVOUS_SYSTEM"	"A 172, A-172 MG, A-172MG, A172"	"M"	"CVCL_0131"	NA	40	3.456949527
"A204"	"soft_tissue"	"embryonal cancer"	"CCLE, L10, PRISM-HURON, PRISM-PR300, PRISM-PR500"	"-666"	"ATCC-formulated McCoy's 5a Medium Modified, Catalog No. 30-2007"	"adherent"	"72.00"	"ATCC"	"HTB-82"	-666	"primary"	-666	"rhabdomyosarcoma"	"1"	"-666"	"-666"	NA	"rhabdoid_tumor"	"A204_SOFT_TISSUE"	"A204"	"F"	"CVCL_1058"	5.65685424949238	32	1.974949934
"A2058"	"skin"	"skin cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"DMEM ATCC catalog # 3-22"	"adherent"	"36.00"	"ATCC"	"CRL-11147"	-666	"metastatic"	-666	"melanoma"	"43"	"-666"	"lymph_node"	NA	"malignant_melanoma"	"A2058_SKIN"	"A 2058, A-2058"	"M"	"CVCL_1059"	NA	27	2.12860247
"A253"	"upper_aerodigestive_tract"	"head and neck cancer"	"CCLE, PRISM-HURON, PRISM-PR300"	"-666"	"McCoy's 5A ATCC catalog # 3-27"	"adherent"	"48.00"	"ATCC"	"HTB-41;CRL-7902"	-666	"primary"	-666	"carcinoma"	"-666"	"Caucasian"	"-666"	NA	"carcinoma"	"A253_SALIVARY_GLAND"	"A 253, A253"	"M"	"CVCL_1060"	NA	NA	2.770921796
"A2780"	"ovary"	"ovarian cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"RPMI-164 Invitrogen catalog # 11875-93"	"adherent"	"24.00"	"ECACC"	"-666"	-666	"primary"	-666	"adenocarcinoma"	"-666"	"unknown"	"-666"	NA	"carcinoma"	"A2780_OVARY"	"2780, A-2780, A2780S"	"F"	"CVCL_0134"	NA	16	2.000944743
"A3KAW"	"haematopoietic_and_lymphoid_tissue"	"lymphoma"	"ACHILLES, CCLE, PRISM-PR300, PRISM-SUSP"	"-666"	"RPMI-164"	"suspension"	"20.00"	"HSRRB"	"-666"	-666	"-666"	-666	"b-cell lymphoma"	"-666"	"unknown"	"-666"	NA	"-666"	"A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"-666"	"unknown"	"CVCL_1062"	10.1159939369957	38	2.043815934
"A375"	"skin"	"skin cancer"	"CCLE, CMAP, L10, PRISM-HURON, PRISM-PR500"	"-666"	"DMEM Invitrogen catalog # 11995-65"	"adherent"	"36.00"	"ATCC"	"CRL-1619"	-666	"metastatic"	-666	"melanoma"	"54"	"unknown"	"-666"	NA	"malignant_melanoma"	"A375_SKIN"	"A 375, A375, A375-mel, A375-MEL, A375mel"	"F"	"CVCL_0132"	17.7483802077823	19.45	2.689861813
"A4FUK"	"haematopoietic_and_lymphoid_tissue"	"lymphoma"	"CCLE"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"38-43"	"HSRRB"	"-666"	-666	"metastatic"	-666	"b-cell lymphoma"	"-666"	"Japanese"	"-666"	NA	"-666"	"A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"-666"	"unknown"	"CVCL_1064"	NA	21	2.065849326
"A427"	"lung"	"lung cancer"	"PRISM-PR300"	"-666"	"ATCC-formulated Eagle's Minimum Essential Medium, Catalog No. 30-2003"	"adherent"	"30-40"	"ATCC"	"HTB-53"	-666	"-666"	-666	"carcinoma"	"52"	"Caucasian"	"-666"	NA	"-666"	"A427_LUNG"	"A427"	"M"	"CVCL_1055"	15.6498136304132	40	3.126441891
"A498"	"kidney"	"kidney cancer"	"CCLE, PRISM-HURON, PRISM-PR300"	"-666"	"ATCC-formulated Eagle's Minimum Essential Medium, Catalog No. 30-2003"	"adherent"	"36.00"	"ATCC"	"HTB-44"	-666	"-666"	-666	"carcinoma"	"52"	"unknown"	"-666"	NA	"carcinoma, renal"	"A498_KIDNEY"	"A498"	"F, M"	"CVCL_1056"	4.46019431564739	60	3.315826382
"A549"	"lung"	"lung cancer"	"ACHILLES, CCLE, CMAP, L10, PRISM-HURON, PRISM-PR500"	"-666"	"F-12K ATCC catalog # 3-24"	"adherent"	"48.00"	"ATCC"	"CCL-185"	-666	"primary"	-666	"non small cell carcinoma"	"58"	"Caucasian"	"-666"	NA	"carcinoma, non-small cell"	"A549_LUNG"	"A 549, A549, A549 ATCC, A549/ATCC, A549ATCC, CVCL_H249, hA549, NCI-A549"	"M"	"CVCL_0023"	8.00587953586969	27	2.761944611
"A673"	"bone, soft_tissue"	"bone cancer, soft tissue cancer"	"CCLE, PRISM-HURON, PRISM-PR300, PRISM-PR500"	"-666"	"DMEM ATCC catalog # 3-22"	"adherent"	"48.00"	"ATCC"	"CRL-1598"	-666	"primary"	-666	"ewing's sarcoma"	"15"	"unknown"	"-666"	NA	"Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor"	"A673_BONE"	"A673, RMS 1598, RMS1598"	"F"	"CVCL_0080"	NA	28	1.951436996
"A704"	"skin"	"kidney cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"MEM (Invitrogen catalogue #12571-63)"	"adherent"	"48.00"	"ATCC"	"CRL-7911"	-666	"primary"	-666	"adenocarcinoma"	"-666"	"-666"	"-666"	NA	"-666"	"A704_KIDNEY"	"A.704, A704"	"M"	"CVCL_1065"	NA	NA	1.961576632
"BCPAP"	"thyroid"	"thyroid cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"adherent"	"30.00"	"DSMZ"	"-666"	-666	"primary"	-666	"carcinoma"	"-666"	"-666"	"-666"	NA	"carcinoma"	"BCPAP_THYROID"	"BCPAP"	"F"	"CVCL_0153"	NA	30	2.966329712
"BCP1"	"haematopoietic_and_lymphoid_tissue"	"lymphoma"	"CCLE"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"-666.00"	"ATCC"	"CRL-2294"	-666	"-666"	-666	"b-cell lymphoma"	"92"	"-666"	"-666"	NA	"-666"	"BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"BCP1"	"M"	"CVCL_0107"	NA	NA	NA
"BC3C"	"urinary_tract"	"bladder cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"McCoy's 5A Invitrogen catalog #166-82"	"adherent"	"25-30"	"DSMZ"	"-666"	-666	"primary"	-666	"transitional cell carcinoma"	"-666"	"Caucasian"	"-666"	NA	"carcinoma"	"BC3C_URINARY_TRACT"	"BC3c"	"F"	"CVCL_1958"	NA	27.5	NA
"BDCM"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE, PRISM-PR300, PRISM-SUSP"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"-666.00"	"ATCC"	"CRL-2740"	-666	"-666"	-666	"acute myelogenous leukemia (aml)"	"-666"	"-666"	"-666"	NA	"-666"	"BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"B-cell with DC Morphology"	"M"	"CVCL_4613"	NA	NA	NA
"BECKER"	"central_nervous_system"	"brain cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"EMEM"	"adherent"	"36.00"	"HSRRB"	"-666"	-666	"-666"	-666	"astrocytoma, glioblastoma"	"-666"	"-666"	"-666"	NA	"glioma"	"BECKER_CENTRAL_NERVOUS_SYSTEM"	"AK, BECKER"	"M"	"CVCL_1093"	NA	NA	2.681486695
"BEN"	"lung"	"lung cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"DMEM ATCC catalog # 3-22"	"adherent"	"40-50"	"DSMZ"	"-666"	-666	"-666"	-666	"non small cell lung cancer"	"71"	"unknown"	"-666"	NA	"carcinoma"	"BEN_LUNG"	"-666"	"M"	"CVCL_1082"	27.5771644662754	64.5	3.606117968
"BFTC905"	"urinary_tract"	"bladder cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"DMEM ATCC catalog # 3-22"	"adherent"	"60-70"	"DSMZ"	"ACC 361"	-666	"primary"	-666	"transitional cell carcinoma"	"51"	"Asian"	"-666"	NA	"carcinoma"	"BFTC905_URINARY_TRACT"	"BFTC 905, BFTC905"	"F"	"CVCL_1083"	37.900923471599	48.2	2.660235
"BFTC909"	"kidney"	"kidney cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"DMEM ATCC catalog # 3-22"	"adherent"	"50.00"	"DSMZ"	"-666"	-666	"primary"	-666	"carcinoma"	"64"	"unknown"	"-666"	NA	"carcinoma"	"BFTC909_KIDNEY"	"BFTC 909, BFTC909"	"M"	"CVCL_1084"	0.42426406871193	49.7	3.262866593
"BHT101"	"thyroid"	"thyroid cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"DMEM ATCC catalog # 3-22"	"adherent"	"48-72"	"DSMZ"	"ACC 279"	-666	"metastatic"	-666	"carcinoma"	"63"	"-666"	"lymph_node"	NA	"carcinoma"	"BHT101_THYROID"	"BHT101"	"F"	"CVCL_1085"	25.4558441227157	42	4.264976287
"BHY"	"upper_aerodigestive_tract"	"head and neck cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR300"	"-666"	"DMEM ATCC catalog # 3-22"	"adherent"	"70.00"	"DSMZ"	"-666"	-666	"primary"	-666	"carcinoma"	"-666"	"Japanese"	"-666"	NA	"carcinoma"	"BHY_UPPER_AERODIGESTIVE_TRACT"	"-666"	"M"	"CVCL_1086"	NA	70	2.926313201
"BICR16"	"upper_aerodigestive_tract"	"head and neck cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"DMEM ATCC catalog # 3-22"	"adherent"	"96.00"	"ECACC"	"-666"	-666	"recurrent"	-666	"carcinoma"	"-666"	"Caucasian"	"-666"	NA	"carcinoma"	"BICR16_UPPER_AERODIGESTIVE_TRACT"	"BICR-16, BICR16"	"M"	"CVCL_2308"	NA	NA	NA
"BICR18"	"upper_aerodigestive_tract"	"head and neck cancer"	"CCLE, CMAP, PRISM-HURON, PRISM-PR300"	"-666"	"DMEM ATCC catalog # 3-22"	"adherent"	"60.00"	"ECACC"	"-666"	-666	"metastatic"	-666	"carcinoma"	"-666"	"-666"	"-666"	NA	"carcinoma"	"BICR18_UPPER_AERODIGESTIVE_TRACT"	"BICR-18, BICR18"	"M"	"CVCL_2309"	NA	NA	NA
"BICR22"	"upper_aerodigestive_tract"	"head and neck cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR300"	"-666"	"DMEM ATCC catalog # 3-22"	"adherent"	"120.00"	"ECACC"	"-666"	-666	"metastatic"	-666	"carcinoma"	"-666"	"Caucasian"	"-666"	NA	"carcinoma"	"BICR22_UPPER_AERODIGESTIVE_TRACT"	"BICR-22, BICR22"	"M"	"CVCL_2310"	NA	NA	1.897911915
"BICR31"	"upper_aerodigestive_tract"	"head and neck cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"DMEM ATCC catalog # 3-22"	"adherent"	"96.00"	"ECACC"	"-666"	-666	"primary"	-666	"carcinoma"	"-666"	"Caucasian"	"-666"	NA	"carcinoma"	"BICR31_UPPER_AERODIGESTIVE_TRACT"	"BICR-31, BICR31"	"M"	"CVCL_2312"	NA	NA	2.93595712
"BICR56"	"upper_aerodigestive_tract"	"head and neck cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"DMEM ATCC catalog # 3-22"	"adherent"	"84.00"	"ECACC"	"-666"	-666	"primary"	-666	"carcinoma"	"-666"	"Caucasian"	"-666"	NA	"carcinoma"	"BICR56_UPPER_AERODIGESTIVE_TRACT"	"BICR-56, BICR56"	"F"	"CVCL_2313"	NA	NA	NA
"BICR6"	"upper_aerodigestive_tract"	"head and neck cancer"	"ACHILLES, CCLE, CMAP, PRISM-HURON, PRISM-PR500"	"-666"	"DMEM ATCC catalog # 3-22"	"adherent"	"96.00"	"ECACC"	"-666"	-666	"primary"	-666	"carcinoma"	"-666"	"Caucasian"	"-666"	NA	"carcinoma"	"BICR6_UPPER_AERODIGESTIVE_TRACT"	"BICR-6, BICR6"	"M"	"CVCL_2314"	NA	NA	NA
"BIN67"	"ovary"	"ovarian cancer"	"ACHILLES"	"-666"	"-666"	"-666"	"75-90"	"-666"	"-666"	-666	"-666"	-666	"carcinoma"	"-666"	"-666"	"-666"	NA	"-666"	"BIN67_OVARY"	"-666"	"-666"	"-666"	NA	NA	NA
"BJHTERT"	"foreskin"	"normal foreskin sample"	"CCLE"	"-666"	"ATCC-formulated Eagle's Minimum Essential Medium, Catalog No. 30-2003"	"adherent"	"36.00"	"-666"	"-666"	-666	"-666"	-666	"normal foreskin sample"	"-666"	">1"	"-666"	NA	"-666"	"BJHTERT_FIBROBLAST"	"-666"	"-666"	"CVCL_6573"	NA	36	NA
"BL41"	"haematopoietic_and_lymphoid_tissue"	"lymphoma"	"CCLE"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"30.00"	"DSMZ"	"-666"	-666	"-666"	-666	"b-cell lymphoma"	"-666"	"Caucasian"	"-666"	NA	"-666"	"BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"BL 41, BL41, IARC BL 41, IARC BL41, IARC-BL-41, IARC-BL41, IARC/BL41"	"M"	"CVCL_1087"	NA	30	3.107607582
"BL70"	"haematopoietic_and_lymphoid_tissue"	"lymphoma"	"CCLE"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"44.00"	"DSMZ"	"-666"	-666	"-666"	-666	"b-cell lymphoma"	"-666"	"Caucasian"	"-666"	NA	"-666"	"BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"BL 70, BL70, IARC BL 70, IARC BL70, IARC-BL70, IARC/BL70"	"M"	"CVCL_1088"	NA	44	2.01324565
"BT12"	"soft_tissue"	"brain cancer"	"PRISM-PR300, PRISM-SUSP"	"-666"	"-666"	"mix"	"27.00"	"-666"	"-666"	-666	"-666"	-666	"rhabdoid tumor"	"-666"	"-666"	"-666"	NA	"-666"	"BT12_SOFT_TISSUE"	"BT12"	"F"	"CVCL_M155"	NA	27	NA
"BT16"	"soft_tissue"	"brain cancer"	"PRISM-PR300"	"-666"	"-666"	"mix"	"-666.00"	"-666"	"-666"	-666	"-666"	-666	"rhabdoid tumor"	"-666"	"-666"	"-666"	NA	"-666"	"BT16_SOFT_TISSUE"	"BT16"	"M"	"CVCL_M156"	NA	NA	NA
"BT20"	"breast"	"breast cancer"	"CCLE"	"-666"	"EMEM ATCC catalog # 3-23"	"adherent"	"70.00"	"ATCC"	"HTB-19"	-666	"primary"	-666	"carcinoma"	"74"	"Caucasian"	"-666"	NA	"carcinoma"	"BT20_BREAST"	"BT 20, BT20"	"F"	"CVCL_0178"	NA	70	2.445086326
"BT474"	"breast"	"breast cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"Hybricare medium ATCC catalog # 46-X"	"adherent"	"120.00"	"ATCC"	"HTB-20"	-666	"primary"	-666	"carcinoma"	"60"	"Caucasian"	"soft tissue"	NA	"carcinoma"	"BT474_BREAST"	"Bt-474, BT474"	"F"	"CVCL_0179"	11.3724814061547	84	2.693256722
"BT483"	"breast"	"breast cancer"	"CCLE"	"-666"	"RPMI-164"	"adherent"	"51.00"	"ATCC"	"HTB-121"	-666	"primary"	-666	"carcinoma, "	"23"	"Caucasian"	"-666"	NA	"-666"	"BT483_BREAST"	"BT483"	"F"	"CVCL_2319"	NA	NA	3.840197164
"BT549"	"breast"	"breast cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"RPMI-164 Invitrogen catalog # 11875-93"	"adherent"	"120.00"	"ATCC"	"HTB-122"	-666	"primary"	-666	"carcinoma"	"72"	"Caucasian"	"-666"	NA	"carcinoma, ductal"	"BT549_BREAST"	"BT 549, BT.549, BT549"	"F"	"CVCL_1092"	21.0367139385726	53.9	2.966170305
"BV173"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE, PRISM-PR300, PRISM-SUSP"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"48.00"	"DSMZ"	"ACC 20"	-666	"-666"	-666	"chronic myelogenous leukemia (cml)"	"45"	"-666"	"-666"	NA	"-666"	"BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"BV173"	"M"	"CVCL_0181"	10.9601551083915	40.25	2.0048113
"BXPC3"	"pancreas"	"pancreatic cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"adherent"	"36.00"	"ATCC"	"CRL-1687"	-666	"primary"	-666	"carcinoma"	"61"	"unknown"	"-666"	NA	"carcinoma"	"BXPC3_PANCREAS"	"Biopsy xenograft of Pancreatic Carcinoma line-3, Bx-PC3, BxPc-3, BXPC-3, BxPc3, BxPC3, BXPC3"	"F"	"CVCL_0186"	3.46410161513775	48	2.457896684
"CADOES1"	"bone"	"bone cancer"	"CCLE, PRISM-HURON, PRISM-PR300, PRISM-PR500"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"adherent"	"35.00"	"DSMZ"	"-666"	-666	"metastatic"	-666	"ewing's sarcoma"	"-666"	"-666"	"pleura"	NA	"Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor"	"CADOES1_BONE"	"CADO ES1, CADO-ES, CADO-ES-1, CADOES1, Center for Adult Diseases Osaka-Ewing Sarcoma 1, ESCADO1"	"F"	"CVCL_1103"	9.19238815542512	41.5	2.061739639
"CAKI1"	"kidney"	"kidney cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"McCoy's 5A ATCC catalog # 3-27"	"adherent"	"36.00"	"ATCC"	"HTB-46"	-666	"metastatic"	-666	"carcinoma"	"49"	"Caucasian"	"skin"	NA	"carcinoma, clear cell renal cell carcinoma"	"CAKI1_KIDNEY"	"CAKI 1, caki-1, CaKi-1, CAKI-1, CAKI.1, Caki1, CAKI1"	"M"	"CVCL_0234"	7.37111479583199	39	3.231901659
"CAKI2"	"kidney"	"kidney cancer"	"ACHILLES, CCLE, PRISM-HURON"	"-666"	"McCoy's 5A ATCC catalog # 3-27"	"adherent"	"96.00"	"ATCC"	"HTB-47"	-666	"primary"	-666	"carcinoma"	"69"	"Caucasian"	"-666"	NA	"carcinoma"	"CAKI2_KIDNEY"	"Caki 2, CAKI 2, CaKi-2, CAKI-2, Caki2, CAKI2"	"M"	"CVCL_0235"	NA	35	NA
"CALU1"	"lung"	"lung cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"ATCC-formulated McCoy's 5a Medium Modified, Catalog No. 30-2007"	"adherent"	"48.00"	"ATCC"	"HTB-54"	-666	"metastatic"	-666	"carcinoma"	"47"	"Caucasian"	"pleura"	NA	"carcinoma"	"CALU1_LUNG"	"Calu 1, CALU 1, CaLu-1, CALU-1, Calu1, CALU1"	"F, M"	"CVCL_0608"	NA	37	NA
"CALU3"	"lung"	"lung cancer"	"CCLE"	"-666"	"ATCC-formulated Eagle's Minimum Essential Medium, Catalog No. 30-2003"	"adherent"	">120"	"ATCC"	"HTB-55"	-666	"metastatic"	-666	"non small cell lung cancer"	"25"	"Caucasian"	"pleural_effusion"	NA	"carcinoma"	"CALU3_LUNG"	"Calu 3, CaLu-3, CALU-3, Calu3, CALU3"	"M"	"CVCL_0609"	5.29150262212918	37	2.861778616
"CALU6"	"lung"	"lung cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"ATCC-formulated Eagle's Minimum Essential Medium, Catalog No. 30-2003. To make the complete growth medium, add the following components to the base medium: fetal bovine serum to a final concentration of 10%."	"adherent"	"72.00"	"ATCC"	"HTB-56"	-666	"-666"	-666	"carcinoma"	"61"	"Caucasian"	"-666"	NA	"carcinoma"	"CALU6_LUNG"	"Calu 6, CaLu-6, CALU-6, Calu6, CALU6"	"F"	"CVCL_0236"	20.4511613362176	36.5	2.556255696
"CAL12T"	"lung"	"lung cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"DMEM (Hyclone Cat.# SH322.2)"	"adherent"	"24.00"	"DSMZ"	"-666"	-666	"-666"	-666	"non small cell lung cancer"	"-666"	"unknown"	"-666"	NA	"carcinoma"	"CAL12T_LUNG"	"CAL 12, CAL 12T, Cal-12T, CAL12T"	"M"	"CVCL_1105"	10.6066017177982	42.5	2.4042772
"CAL120"	"breast"	"breast cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"DMEM ATCC catalog # 3-22"	"adherent"	"50-60"	"DSMZ"	"-666"	-666	"metastatic"	-666	"adenocarcinoma"	"43"	"unknown"	"effusion, pleural"	NA	"carcinoma"	"CAL120_BREAST"	"CAL 120, CAL120"	"F"	"CVCL_1104"	7.07106781186548	50	3.197696217
