"Cell iname"	"Cell lineage"	"Primary disease"	"Collection"	"Cell type"	"Growth medium"	"Growth pattern"	"Doubling time"	"Provider name"	"Provider catalog ID"	"Donor disease age of onset"	"Donor tumor phase"	"Donor age of death"	"Subtype"	"Donor age"	"Donor ethnicity"	"Metastatic site"	"Comments"	"Cell histology"	"CCLE name"	"Alias"	"Donor sex"	"Cellosaurus ID"	"Cellosaurus Doubling time sd"	"Cellosaurus Doubling time"	"ploidy"
"IGR1"	"skin"	"skin cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"DMEM ATCC catalog # 3-22"	"adherent"	"36.00"	"DSMZ"	"-666"	-666	"metastatic"	-666	"melanoma"	"-666"	"-666"	"-666"	NA	"malignant_melanoma"	"IGR1_SKIN"	"IGR 1, IGR1"	"M"	"CVCL_1303"	NA	87.5	3.142408821
"IGR37"	"skin"	"skin cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"DMEM ATCC catalog # 3-22"	"adherent"	"36.00"	"DSMZ"	"-666"	-666	"metastatic"	-666	"melanoma"	"26"	"unknown"	"-666"	NA	"malignant_melanoma"	"IGR37_SKIN"	"IGR 37, IgR-37, IGR37, MM1"	"M"	"CVCL_2075"	NA	60	1.662747914
"IGR39"	"skin"	"skin cancer"	"ACHILLES, CCLE, PRISM-PR300"	"-666"	"DMEM ATCC catalog # 3-22"	"adherent"	"30.00"	"DSMZ"	"-666"	-666	"primary"	-666	"melanoma"	"-666"	"-666"	"-666"	NA	"malignant_melanoma"	"IGR39_SKIN"	"IGR 39, IGR39, PM1"	"M"	"CVCL_2076"	2.82842712474619	32	NA
"IMR32"	"autonomic_ganglia, central_nervous_system"	"neuroblastoma"	"ACHILLES, CCLE"	"-666"	"EMEM ATCC catalog # 3-23"	"adherent"	"40-50"	"ATCC"	"CCL-127"	-666	"metastatic"	-666	"neuroblastoma"	"1, 13 months"	"Caucasian"	"-666"	NA	"neuroblastoma"	"IMR32_AUTONOMIC_GANGLIA"	"GM03320, IMR 32, IMR32, Institute for Medical Research-32"	"M"	"CVCL_0346"	15.3731367434669	45	NA
"IM95"	"stomach"	"gastric cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"DMEM ATCC catalog # 3-22"	"adherent"	"96.00"	"HSRRB"	"-666"	-666	"primary"	-666	"adenocarcinoma"	"-666"	"unknown"	"-666"	NA	"carcinoma"	"IM95_STOMACH"	"IM-95, Im95"	"M"	"CVCL_2961"	9.17750873966714	31.9	2.014002341
"INA6"	"haematopoietic_and_lymphoid_tissue"	"myeloma"	"ACHILLES"	"-666"	"-666"	"-666"	"-666.00"	"-666"	"-666"	-666	"-666"	-666	"myeloma"	"-666"	"-666"	"-666"	NA	"-666"	"INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"-666"	"-666"	"-666"	NA	NA	NA
"IPC298"	"skin"	"skin cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"RPMI-164 Invitrogen catalog # 11875-93"	"adherent"	"84.00"	"DSMZ"	"-666"	-666	"primary"	-666	"malignant melanoma, melanoma"	"64"	"unknown"	"-666"	NA	"malignant_melanoma"	"IPC298_SKIN"	"IPC 298, IPC298"	"F"	"CVCL_1307"	2.82842712474619	32	3.440121019
"ISTMES1"	"lung"	"lung cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"DMEM (Hyclone Cat.# SH322.2)"	"adherent"	"96.00"	"ICLC"	"-666"	-666	"-666"	-666	"mesothelioma"	"-666"	"Caucasian"	"-666"	NA	"mesothelioma"	"ISTMES1_PLEURA"	"IST-MES1, ISTMES1"	"F"	"CVCL_1311"	NA	NA	3.285277894
"ISTMES2"	"lung"	"lung cancer"	"ACHILLES, CCLE, L10, PRISM-HURON, PRISM-PR500"	"-666"	"Hams F-12 (Hyclone Cat.# SH326.1)"	"adherent"	"60.00"	"ICLC"	"-666"	-666	"metastatic"	-666	"mesothelioma"	"-666"	"Caucasian"	"pleural_effusion"	NA	"-666"	"ISTMES2_PLEURA"	"IST-MES2, IstMes2, ISTMES2"	"M"	"CVCL_1312"	NA	NA	NA
"JEKO1"	"haematopoietic_and_lymphoid_tissue"	"lymphoma"	"CCLE, PRISM-PR300, PRISM-SUSP"	"-666"	"ATCC-formulated RPMI-1640 Medium, Catalog No. 30-2001"	"suspension"	"50.00"	"DSMZ"	"-666"	-666	"-666"	-666	"b-cell lymphoma"	"78"	"unknown"	"-666"	NA	"-666"	"JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"JEKO, JeKo 1, Jeko-1, JEKO-1, Jeko1, JEKO1"	"F"	"CVCL_1865"	24.4513803291348	26	4.599729197
