drug	estimate	p.value	n	drugName	pathway_name	drugCategory	display_drug	plot_label	direction
crizotinib	-0.248464033186007	0.220982578800984	26	crizotinib	ALK/HGFR Inhibitor		Crizotinib	Crizotinib	High ploidy is sensitive
pd0325901	-0.243698659650185	0.230255200432483	26	pd0325901	MEK Inhibitor		Pd0325901	Pd0325901	High ploidy is sensitive
doxorubicin	0.279844000789068	0.175469062169747	25	doxorubicin	Other		Doxorubicin	Doxorubicin	Low ploidy is sensitive
bortezomib	0.280671671283859	0.174141901223165	25	bortezomib	Other		Bortezomib	Bortezomib	Low ploidy is sensitive
docetaxel	0.314134370834652	0.126197128548764	25	docetaxel	Other		Docetaxel	Docetaxel	Low ploidy is sensitive
vorinostat	0.318668011813858	0.120527794036964	25	vorinostat	Other		Vorinostat	Vorinostat	Low ploidy is sensitive
gemcitabine	0.322700550865162	0.115643366961218	25	gemcitabine	Other		Gemcitabine	Gemcitabine	Low ploidy is sensitive
irinotecan	0.366481976571712	0.0715639194004933	25	irinotecan	DNA replication		Irinotecan	Irinotecan	Low ploidy is sensitive
paclitaxel	0.595294321681249	0.00133579788568766	26	paclitaxel	Other		Paclitaxel	Paclitaxel	Low ploidy is sensitive
