collection_id	collection_label	collection_display_order	pathway_id	pathway_label	pathway_display_order	selected_direction	selected_rank_within_direction	pseudotime	standardized_activity
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.086	-0.543545370156417
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.088	-0.53148645773607
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.09	-0.519365633178177
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.092	-0.507180931018052
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.094	-0.494930385791013
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.096	-0.482612032032376
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.098	-0.470223904277456
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.1	-0.457764037061568
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.102	-0.445230464920031
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.104	-0.432621222388158
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.106	-0.419934344001267
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.108	-0.407167864294672
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.11	-0.394319817803691
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.112	-0.381388239063639
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.114	-0.368371162609832
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.116	-0.355266622977587
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.118	-0.342072654702218
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.12	-0.328787292319042
