gene,gene_symbol,contrast_id,t_statistic,p_value,fdr,resolution_rank,retained_for_gsea,model_id
GRCm39-Ehmt2,Ehmt2,primary_adjacent_state,3.4365756834070686,7.025105963636406e-4,0.007699132803345666,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EHMT2,EHMT2,primary_adjacent_state,-0.009153607412593818,0.9927047554443512,0.9955684770775123,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EHMT2-AS1,EHMT2-AS1,primary_adjacent_state,2.3270534220866987,0.0208583502027488,0.06714884289446803,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Ei24,Ei24,primary_adjacent_state,2.91605547100095,0.003906441341809076,0.021972670313567765,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EI24,EI24,primary_adjacent_state,-3.044482162509527,0.0026106922387526712,0.016889122347561746,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Eid1,Eid1,primary_adjacent_state,-0.5109784579836174,0.6098711479899931,0.7313194304144691,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EID1,EID1,primary_adjacent_state,-3.6593085220474646,3.156239433356754e-4,0.004996860689005647,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EID2,EID2,primary_adjacent_state,-4.9572587129450625,1.4138453151983451e-6,5.176105595717283e-4,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EID2B,EID2B,primary_adjacent_state,-0.7728355654366215,0.4404372605320731,0.5853203349312419,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EID3,EID3,primary_adjacent_state,0.49683224935836845,0.6198118120728471,0.7398958737316693,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Eif1,Eif1,primary_adjacent_state,-0.13702557666593188,0.8911340887943712,0.9326354302916882,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF1,EIF1,primary_adjacent_state,-0.605260574967006,0.5456207158995974,0.6779705424148547,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Eif1a,Eif1a,primary_adjacent_state,-0.22779934128716925,0.8200107595006323,0.8862014587342155,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Eif1ad,Eif1ad,primary_adjacent_state,1.3334731131822561,0.18373573807536508,0.31599007056048695,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF1AD,EIF1AD,primary_adjacent_state,-3.1707032032761298,0.0017341247673700192,0.013057629919780185,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Eif1ax,Eif1ax,primary_adjacent_state,2.1627059383679033,0.0316265198018362,0.08935934707398681,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF1AX,EIF1AX,primary_adjacent_state,-3.6598682672857623,3.1497451717233836e-4,0.004996860689005647,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Eif1b,Eif1b,primary_adjacent_state,1.0666741282881969,0.28727132634817165,0.43241705530560115,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF1B,EIF1B,primary_adjacent_state,-0.7894640139676115,0.43067862036256055,0.5756579655294378,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF1B-AS1,EIF1B-AS1,primary_adjacent_state,2.8658931271746746,0.004574007692393178,0.024418464524000146,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Eif2a,Eif2a,primary_adjacent_state,1.8521282530370846,0.06532777062552628,0.150364109131545,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF2A,EIF2A,primary_adjacent_state,-0.18968164563107204,0.8497309737914547,0.9064159313453312,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Eif2ak1,Eif2ak1,primary_adjacent_state,3.1789435529110133,0.001687666795760348,0.012841265854131322,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF2AK1,EIF2AK1,primary_adjacent_state,0.8094874357997088,0.41909685693923115,0.5644286326801364,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Eif2ak2,Eif2ak2,primary_adjacent_state,1.8012730626108928,0.07300938902152239,0.16244153775524814,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF2AK2,EIF2AK2,primary_adjacent_state,-0.9564326628578855,0.33988837085523027,0.48630906608662167,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Eif2ak3,Eif2ak3,primary_adjacent_state,2.7685846251013895,0.006103192675507961,0.029172509434352546,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF2AK3,EIF2AK3,primary_adjacent_state,1.9771082243684743,0.04931905426757312,0.1223857303755255,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF2AK3-DT,EIF2AK3-DT,primary_adjacent_state,3.4029297485843,7.900717725143089e-4,0.008243310174840852,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Eif2ak4,Eif2ak4,primary_adjacent_state,3.306601274430567,0.0011004191213150427,0.009962370215422811,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF2AK4,EIF2AK4,primary_adjacent_state,-0.5971179803917566,0.551033798564795,0.6825255277364564,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF2B1,EIF2B1,primary_adjacent_state,-1.233917370405496,0.21853127276595968,0.3562666065159571,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Eif2b2,Eif2b2,primary_adjacent_state,2.598899275939677,0.009975563670155344,0.04046722241553766,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF2B2,EIF2B2,primary_adjacent_state,-1.6616501888135118,0.09798666369829265,0.20059246089198896,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF2B3,EIF2B3,primary_adjacent_state,-1.1882496482100682,0.23599776581187448,0.37627392712757907,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF2B4,EIF2B4,primary_adjacent_state,0.040470461044185606,0.967754230365271,0.9793005091013038,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Eif2b5,Eif2b5,primary_adjacent_state,2.133963892048109,0.03393641028440016,0.09389733648191156,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF2B5,EIF2B5,primary_adjacent_state,-0.9502685976037324,0.343003520823577,0.4895794220628482,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF2B5-DT,EIF2B5-DT,primary_adjacent_state,3.7781738854088207,2.026934168514448e-4,0.003973564348050047,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF2D,EIF2D,primary_adjacent_state,-0.8918681441711824,0.37342399243866176,0.5201967536981827,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Eif2s1,Eif2s1,primary_adjacent_state,2.4518995707928024,0.014978144555090701,0.05357381855334322,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF2S1,EIF2S1,primary_adjacent_state,-2.3115231465687405,0.02171593286337165,0.06892002746345163,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Eif2s2,Eif2s2,primary_adjacent_state,1.4962407499347,0.13600345582048795,0.25446318729720224,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF2S2,EIF2S2,primary_adjacent_state,-2.9172567607710516,0.0038919848298129673,0.021910753578979935,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF2S3,EIF2S3,primary_adjacent_state,-4.207539194687225,3.740874698644835e-5,0.0018129852041574239,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF2S3B,EIF2S3B,primary_adjacent_state,2.8503863795216198,0.004775555162715804,0.025085108321116326,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Eif2s3x,Eif2s3x,primary_adjacent_state,3.438589172317043,6.975698306626042e-4,0.007674064146985104,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Eif3a,Eif3a,primary_adjacent_state,1.6877960145205742,0.0928470686677145,0.19292498886469137,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF3A,EIF3A,primary_adjacent_state,-1.8540003837758958,0.06505830608046488,0.14994218499084472,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Eif3b,Eif3b,primary_adjacent_state,0.6272860230945938,0.5311128685764047,0.6659118712941098,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF3B,EIF3B,primary_adjacent_state,-0.11422180233653828,0.9091646398821156,0.9441940362192736,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Eif3c,Eif3c,primary_adjacent_state,1.4953032587359085,0.13624771054075313,0.25477185519232315,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF3C,EIF3C,primary_adjacent_state,-1.242727047212439,0.2152722782696376,0.35235454624303675,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-EIF3CL,EIF3CL,primary_adjacent_state,0.39292645588774794,0.69474878184999,0.7963550869808647,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Eif3d,Eif3d,primary_adjacent_state,2.7865496739721807,0.005785815155080391,0.02837187960583843,1,TRUE,ETP_reference_balanced_threshold_2_24
