gene,gene_symbol,contrast_id,fitted_log_expr_difference,average_expression,t_statistic,p_value,fdr,B,model_id
GRCh38-LINC02175,LINC02175,primary_adjacent_state,0.4418617617750532,0.02291277536687215,2.6153906862488654,0.009520305923582682,0.039262268347619894,-2.86682360499995,ETP_reference_balanced_threshold_2_24
GRCh38-ATP5F1C,ATP5F1C,primary_adjacent_state,-0.1287444091810796,7.661851209321939,-2.6153076483810063,0.009522550734893791,0.039265927053692355,-3.6735333493690123,ETP_reference_balanced_threshold_2_24
GRCh38-NOL8,NOL8,primary_adjacent_state,-0.19189007102298533,6.016241134365978,-2.614970201373518,0.00953167802750683,0.03929796035802602,-3.4869353951529596,ETP_reference_balanced_threshold_2_24
GRCh38-TIGD3,TIGD3,primary_adjacent_state,0.4359013441400891,0.06396385639896693,2.614908307803211,0.00953335298167237,0.03929926381640939,-2.8706010763553875,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000286805,ENSG00000286805,primary_adjacent_state,0.4181589917044947,0.15830278893644464,2.614479798172623,0.009544956491721287,0.03933615409124342,-2.875160347826612,ETP_reference_balanced_threshold_2_24
GRCh38-CDKN2A,CDKN2A,primary_adjacent_state,0.47455987957884554,-0.03565057909698736,2.614460849993271,0.009545469877534574,0.03933615409124342,-2.8709492567457535,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000268056,ENSG00000268056,primary_adjacent_state,0.4476887059402359,0.34193735416255266,2.6143885216241376,0.009547429784944371,0.03933615409124342,-2.8865060655845642,ETP_reference_balanced_threshold_2_24
GRCm39-Cxxc1,Cxxc1,primary_adjacent_state,0.40212843261666564,0.16338996077885548,2.6143769911872377,0.009547742262655723,0.03933615409124342,-2.8815644240143556,ETP_reference_balanced_threshold_2_24
GRCm39-Gm36660,Gm36660,primary_adjacent_state,0.4254323911512292,0.3400101030045927,2.614319503572851,0.00954930032831881,0.039336969676062754,-2.889616807815059,ETP_reference_balanced_threshold_2_24
GRCh38-NAIP,NAIP,primary_adjacent_state,0.33970798253849493,2.6548324158661947,2.614118080662754,0.00955476122037147,0.039353859871202455,-3.093201302117643,ETP_reference_balanced_threshold_2_24
