direction	metric	cancer_type	category_label	pvalue
low_ploidy_sensitive	Z_SCORE	BLCA	Epigenetic inhibitors	0.933333333333333
low_ploidy_sensitive	Z_SCORE	BLCA	Other	0.4
low_ploidy_sensitive	Z_SCORE	BLCA	DNA damage repair inhibitors	0.153333333333333
low_ploidy_sensitive	Z_SCORE	BLCA	Metabolic/redox agents	0.913333333333333
low_ploidy_sensitive	Z_SCORE	BLCA	Proapoptotic agents	0.63
low_ploidy_sensitive	Z_SCORE	BLCA	WNT/HH pathway inhibitors	0.85
low_ploidy_sensitive	Z_SCORE	BLCA	Chemotherapy agents	0
low_ploidy_sensitive	Z_SCORE	BLCA	Chaperone/protein-homeostasis inhibitors	0.00333333333333333
low_ploidy_sensitive	Z_SCORE	BLCA	p53/MDM2 pathway	0.28
low_ploidy_sensitive	Z_SCORE	BLCA	Hormone therapy	0.96
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Kinase inhibitors	0.943333333333333
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Epigenetic inhibitors	1
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Other	0.0466666666666667
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	DNA damage repair inhibitors	0.0666666666666667
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Metabolic/redox agents	0.0833333333333333
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Proapoptotic agents	0.95
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	WNT/HH pathway inhibitors	0.296666666666667
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Chemotherapy agents	0
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Chaperone/protein-homeostasis inhibitors	0.256666666666667
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	p53/MDM2 pathway	0.576666666666667
low_ploidy_sensitive	Z_SCORE	UNCLASSIFIED	Hormone therapy	0.0833333333333333
low_ploidy_sensitive	Z_SCORE	KIRC	Kinase inhibitors	0.97
low_ploidy_sensitive	Z_SCORE	KIRC	Epigenetic inhibitors	0.433333333333333
low_ploidy_sensitive	Z_SCORE	KIRC	Other	0.07
low_ploidy_sensitive	Z_SCORE	KIRC	DNA damage repair inhibitors	0.04
low_ploidy_sensitive	Z_SCORE	KIRC	Metabolic/redox agents	0.133333333333333
low_ploidy_sensitive	Z_SCORE	KIRC	Proapoptotic agents	0.513333333333333
low_ploidy_sensitive	Z_SCORE	KIRC	WNT/HH pathway inhibitors	0.386666666666667
low_ploidy_sensitive	Z_SCORE	KIRC	Chemotherapy agents	0.626666666666667
low_ploidy_sensitive	Z_SCORE	KIRC	Chaperone/protein-homeostasis inhibitors	0.756666666666667
low_ploidy_sensitive	Z_SCORE	KIRC	p53/MDM2 pathway	0.536666666666667
low_ploidy_sensitive	Z_SCORE	KIRC	Hormone therapy	0.84
low_ploidy_sensitive	Z_SCORE	THCA	Kinase inhibitors	0.98
low_ploidy_sensitive	Z_SCORE	THCA	Epigenetic inhibitors	0.94
low_ploidy_sensitive	Z_SCORE	THCA	Other	0.426666666666667
low_ploidy_sensitive	Z_SCORE	THCA	DNA damage repair inhibitors	0.0533333333333333
low_ploidy_sensitive	Z_SCORE	THCA	Metabolic/redox agents	0.39
low_ploidy_sensitive	Z_SCORE	THCA	Proapoptotic agents	0.123333333333333
low_ploidy_sensitive	Z_SCORE	THCA	WNT/HH pathway inhibitors	0.32
low_ploidy_sensitive	Z_SCORE	THCA	Chemotherapy agents	0.0133333333333333
low_ploidy_sensitive	Z_SCORE	THCA	Chaperone/protein-homeostasis inhibitors	0.646666666666667
low_ploidy_sensitive	Z_SCORE	THCA	p53/MDM2 pathway	0.396666666666667
low_ploidy_sensitive	Z_SCORE	THCA	Hormone therapy	0.83
low_ploidy_sensitive	Z_SCORE	SKCM	Kinase inhibitors	0.29
low_ploidy_sensitive	Z_SCORE	SKCM	Epigenetic inhibitors	0.986666666666667
low_ploidy_sensitive	Z_SCORE	SKCM	Other	0.53
low_ploidy_sensitive	Z_SCORE	SKCM	DNA damage repair inhibitors	0.0966666666666667
low_ploidy_sensitive	Z_SCORE	SKCM	Metabolic/redox agents	0.986666666666667
low_ploidy_sensitive	Z_SCORE	SKCM	Proapoptotic agents	0.786666666666667
low_ploidy_sensitive	Z_SCORE	SKCM	WNT/HH pathway inhibitors	0.68
low_ploidy_sensitive	Z_SCORE	SKCM	Chemotherapy agents	0.26
low_ploidy_sensitive	Z_SCORE	SKCM	Chaperone/protein-homeostasis inhibitors	0.0333333333333333
