category_label	n_drugs	source_primary_classes
Kinase inhibitors	100	Non-receptor tyrosine kinase inhibitors; Receptor tyrosine kinase inhibitors; Serine/threonine kinase inhibitors
Epigenetic inhibitors	45	Epigenetic inhibitors
Other	34	Other
DNA damage repair inhibitors	19	DNA damage repair inhibitors
Metabolic/redox agents	14	Metabolic/redox agents
Proapoptotic agents	14	Proapoptotic agents
WNT/HH pathway inhibitors	10	Hedgehog pathway inhibitors; WNT-pathway modulators
Chemotherapy agents	31	Alkylating agents; Antimetabolites; Antimitotic agents; Topoisomerase inhibitors; Tumor antibiotics
Chaperone/protein-homeostasis inhibitors	10	Chaperone/protein-homeostasis inhibitors; Proteasome inhibitors
p53/MDM2 pathway	5	p53/MDM2 pathway
Hormone therapy	4	Hormone therapy
