Cell iname	Cell lineage	Primary disease	Collection	Cell type	Growth medium	Growth pattern	Doubling time	Provider name	Provider catalog ID	Donor disease age of onset	Donor tumor phase	Donor age of death	Subtype	Donor age	Donor ethnicity	Metastatic site	Comments	Cell histology	CCLE name	Alias	Donor sex	Cellosaurus ID	Cellosaurus Doubling time sd	Cellosaurus Doubling time
A427	lung	lung cancer	PRISM-PR300	-666	ATCC-formulated Eagle's Minimum Essential Medium, Catalog No. 30-2003	adherent	30-40	ATCC	HTB-53	-666	-666	-666	carcinoma	52	Caucasian	-666	NA	-666	A427_LUNG	A427	M	CVCL_1055	15.6498136304132	40
A431	skin	skin cancer		-666	ATCC-formulated Dulbecco's Modified Eagle's Medium, Catalog No. 30-2002. To make the complete growth medium, add the following components to the base medium: fetal bovine serum to a final concentration of 10%.	adherent	80-100	ATCC	CRL-1555	-666	-666	-666	carcinoma	85	unknown	-666	NA	-666	-666	A431, A431/P	F	CVCL_0037	NA	90
A431NS	skin	skin cancer		-666	ATCC-formulated Dulbecco's Modified Eagle's Medium, Catalog No. 30-2002. To make the complete growth medium, add the following components to the base medium: fetal bovine serum to a final concentration of 10%.	adherent	-666.00	ATCC	CRL-2592	-666	-666	-666	carcinoma	85	-666	-666	NA	-666	-666	A431-NS	F	CVCL_3485	NA	NA
A498	kidney	kidney cancer	CCLE, PRISM-HURON, PRISM-PR300	-666	ATCC-formulated Eagle's Minimum Essential Medium, Catalog No. 30-2003	adherent	36.00	ATCC	HTB-44	-666	-666	-666	carcinoma	52	unknown	-666	NA	carcinoma, renal	A498_KIDNEY	A498	F, M	CVCL_1056	4.46019431564739	60
A549	lung	lung cancer	ACHILLES, CCLE, CMAP, L10, PRISM-HURON, PRISM-PR500	-666	F-12K ATCC catalog # 3-24	adherent	48.00	ATCC	CCL-185	-666	primary	-666	non small cell carcinoma	58	Caucasian	-666	NA	carcinoma, non-small cell	A549_LUNG	A 549, A549, A549 ATCC, A549/ATCC, A549ATCC, CVCL_H249, hA549, NCI-A549	M	CVCL_0023	8.00587953586969	27
A673	bone, soft_tissue	bone cancer, soft tissue cancer	CCLE, PRISM-HURON, PRISM-PR300, PRISM-PR500	-666	DMEM ATCC catalog # 3-22	adherent	48.00	ATCC	CRL-1598	-666	primary	-666	ewing's sarcoma	15	unknown	-666	NA	Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor	A673_BONE	A673, RMS 1598, RMS1598	F	CVCL_0080	NA	28
A673STAG2KO16	engineered	bone cancer	PRISM-HURON, PRISM-PR300	-666	-666	adherent	-666.00	-666	-666	-666	-666	-666	ewing's sarcoma, pnet	-666	-666	-666	NA	-666	A673STAG2KO16_ENGINEERED	-666	-666	-666	NA	NA
A673STAG2KO45	engineered	bone cancer	PRISM-HURON, PRISM-PR300	-666	-666	adherent	-666.00	-666	-666	-666	-666	-666	ewing's sarcoma, pnet	-666	-666	-666	NA	-666	A673STAG2KO45_ENGINEERED	-666	-666	-666	NA	NA
A673STAG2NT14	engineered	bone cancer	PRISM-HURON, PRISM-PR300	-666	-666	adherent	-666.00	-666	-666	-666	-666	-666	ewing's sarcoma, pnet	-666	-666	-666	NA	-666	A673STAG2NT14_ENGINEERED	-666	-666	-666	NA	NA
A673STAG2NT23	engineered	bone cancer	PRISM-HURON, PRISM-PR300	-666	-666	adherent	-666.00	-666	-666	-666	-666	-666	ewing's sarcoma, pnet	-666	-666	-666	NA	-666	A673STAG2NT23_ENGINEERED	-666	-666	-666	NA	NA
A7	skin	skin cancer		-666	ATCC-formulated Eagle's Minimum Essential Medium, Catalog No. 30-2003. To make the complete growth medium, add the following components to the base medium:	adherent	-666.00	ATCC	CRL-2500	-666	-666	-666	melanoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_3486	NA	NA
A704	skin	kidney cancer	CCLE, PRISM-HURON, PRISM-PR500	-666	MEM (Invitrogen catalogue #12571-63)	adherent	48.00	ATCC	CRL-7911	-666	primary	-666	adenocarcinoma	-666	-666	-666	NA	-666	A704_KIDNEY	A.704, A704	M	CVCL_1065	NA	NA
A9AN42		normal embryonal sample		-666	-666	-666	-666.00	JCRB	JCRB0727	-666	-666	-666	normal embryonal sample	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_2830	NA	NA
A9BSRX		normal embryonal sample		-666	Dulbecco's modified Eagle's medium with 10% calf serum and 3umg/ml Blasticidin S hydrochloride (Funakoshi,92-1).	-666	-666.00	JCRB	JCRB2223	-666	-666	-666	normal embryonal sample	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_2832	NA	NA
A9BSR10		normal embryonal sample		-666	-666	-666	-666.00	JCRB	JCRB2210	-666	-666	-666	normal embryonal sample	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_2831	NA	NA
A9HYGRO13		normal embryonal sample		-666	ATCC-formulated Dulbecco's Modified Eagle's Medium, Catalog No. 30-2002	-666	-666.00	JCRB	JCRB2213	-666	-666	-666	normal embryonal sample	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_2833	NA	NA
A9HYGRO14		normal embryonal sample		-666	Dulbecco's modified Eagle's medium with 10% calf serum and 1mg/ml Hygromycin B (Sigma).	-666	-666.00	JCRB	JCRB2214	-666	-666	-666	normal embryonal sample	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_2834	NA	NA
A9HYGRO21		normal embryonal sample		-666	Dulbecco's modified Eagle's medium with 10% calf serum and 1mg/ml Hygromycin B (Sigma).	-666	-666.00	JCRB	JCRB2221	-666	-666	-666	normal embryonal sample	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_2835	NA	NA
A9HYGRO22		normal embryonal sample		-666	Dulbecco's modified Eagle's medium with 10% calf serum and 1mg/ml Hygromycin B (Sigma)	-666	-666.00	JCRB	JCRB2222	-666	-666	-666	normal embryonal sample	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_2836	NA	NA
A9NEO1		normal embryonal sample		-666		-666	-666.00	JCRB	JCRB2201	-666	-666	-666	normal embryonal sample	-666	-666	-666	NA	-666	-666	A9-1neo, A9(neo-1), A9(Neo-1)-4, GM13139	-666	CVCL_2837	NA	NA
A9NEO11		normal embryonal sample		-666		-666	-666.00	JCRB	JCRB2211	-666	-666	-666	normal embryonal sample	-666	-666	-666	NA	-666	-666	A9 (Neo-11)-1, A9(Neo-11)-1, A9(neo11)	-666	CVCL_2838	NA	NA
A9NEO12		normal embryonal sample		-666	Dulbecco's modified Eagle's medium with 10% calf serum and 0.8mg/ml G418(Gibco,79N9555)	-666	-666.00	JCRB	JCRB2212	-666	-666	-666	normal embryonal sample	-666	-666	-666	NA	-666	-666	A9(neo-12), A9(Neo-12)-4	-666	CVCL_2839	NA	NA
A9NEO15		normal embryonal sample		-666		-666	-666.00	JCRB	JCRB2215	-666	-666	-666	normal embryonal sample	-666	-666	-666	NA	-666	-666	A9(Neo-15)-2	-666	CVCL_2840	NA	NA
A9NEO16		normal embryonal sample		-666		-666	-666.00	JCRB	JCRB2216	-666	-666	-666	normal embryonal sample	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_2841	NA	NA
A9NEO17		normal embryonal sample		-666		-666	-666.00	JCRB	JCRB2217	-666	-666	-666	normal embryonal sample	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_2842	NA	NA
A9NEO18		normal embryonal sample		-666	Dulbecco's modified Eagle's medium with 10% calf serum and 0.8mg/ml G418(Gibco,79N9555)	-666	-666.00	JCRB	JCRB2218	-666	-666	-666	normal embryonal sample	-666	-666	-666	NA	-666	-666	A9(Neo-18)-5	-666	CVCL_2843	NA	NA
A9NEO19		normal embryonal sample		-666	Dulbecco's modified Eagle's medium with 10% calf serum and 0.8mg/ml G418(Gibco,79N9555)	-666	-666.00	JCRB	JCRB2219	-666	-666	-666	normal embryonal sample	-666	-666	-666	NA	-666	-666	A9(Neo-19)-1	-666	CVCL_2844	NA	NA
A9NEO2		normal embryonal sample		-666	Dulbecco's modified Eagle's medium with 10% calf serum and 0.8mg/ml G418(Gibco,79N9555)	-666	-666.00	JCRB	JCRB2202	-666	-666	-666	normal embryonal sample	-666	-666	-666	NA	-666	-666	A9(Neo-2)-1	-666	CVCL_2845	NA	NA
A9NEO20		normal embryonal sample		-666	Dulbecco's modified Eagle's medium with 10% calf serum and 0.8mg/ml G418(Gibco,79N9555)	-666	-666.00	JCRB	JCRB2220	-666	-666	-666	normal embryonal sample	-666	-666	-666	NA	-666	-666	A9-20neo, A9(Neo-20)-3, GM13140	-666	CVCL_2846	NA	NA
A9NEO3		normal embryonal sample		-666	Dulbecco's modified Eagle's medium with 10% calf serum and 0.8mg/ml G418(Gibco,79N9555)	-666	-666.00	JCRB	JCRB2203	-666	-666	-666	normal embryonal sample	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_2847	NA	NA
A9NEO4		normal embryonal sample		-666	Dulbecco's modified Eagle's medium with 10% calf serum and 0.8mg/ml G418(Gibco,79N9555)	-666	-666.00	JCRB	JCRB2204	-666	-666	-666	normal embryonal sample	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_2848	NA	NA
A9NEO5		normal embryonal sample		-666	Dulbecco's modified Eagle's medium with 10% calf serum and 0.8mg/ml G418(Gibco,79N9555)	-666	-666.00	JCRB	JCRB2205	-666	-666	-666	normal embryonal sample	-666	-666	-666	NA	-666	-666	A9(Neo-5)-4	-666	CVCL_2849	NA	NA
A9NEO6		normal embryonal sample		-666	Dulbecco's modified Eagle's medium with 10% calf serum and 0.8mg/ml G418(Gibco,79N9555)	-666	-666.00	JCRB	JCRB2206	-666	-666	-666	normal embryonal sample	-666	-666	-666	NA	-666	-666	A9(Neo-6)-3	-666	CVCL_2850	NA	NA
A9NEO7		normal embryonal sample		-666	Dulbecco's modified Eagle's medium with 10% calf serum and 0.8mg/ml G418(Gibco,79N9555)	-666	-666.00	JCRB	JCRB2207	-666	-666	-666	normal embryonal sample	-666	-666	-666	NA	-666	-666	A9(Neo-7)-2	-666	CVCL_2851	NA	NA
