Cell iname	Cell lineage	Primary disease	Collection	Cell type	Growth medium	Growth pattern	Doubling time	Provider name	Provider catalog ID	Donor disease age of onset	Donor tumor phase	Donor age of death	Subtype	Donor age	Donor ethnicity	Metastatic site	Comments	Cell histology	CCLE name	Alias	Donor sex	Cellosaurus ID	Cellosaurus Doubling time sd	Cellosaurus Doubling time
ABC1	lung	lung cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR500	-666	MEM (Invitrogen catalogue #12571-63)	adherent	72.00	HSRRB	-666	-666	primary	-666	non small cell lung cancer	-666	unknown	-666	NA	-666	ABC1_LUNG	ABC1	M	CVCL_1066	NA	72
ACCMESO1	lung	lung cancer	CCLE, PRISM-HURON, PRISM-PR500	-666	RPMI-164+ 1% FBS	adherent	36.00	RIKEN	-666	-666	metastatic	-666	mesothelioma	-666	-666	pleural_effusion	NA	mesothelioma	ACCMESO1_PLEURA	ACC-Meso-1, MESO-1	F	CVCL_5113	NA	NA
ACCS	urinary_tract	bladder cancer	CCLE	-666	-666	adherent	-666.00	-666	-666	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	ACCS_URINARY_TRACT	-666	F	CVCL_6876	NA	NA
ACHN	kidney	kidney cancer	CCLE, PRISM-HURON, PRISM-PR500	-666	EMEM ATCC catalog # 3-23	adherent	48.00	ATCC	CRL-1611	-666	metastatic	-666	carcinoma	22	Caucasian	-666	NA	carcinoma, renal	ACHN_KIDNEY	-666	M	CVCL_1067	3.18198051533946	29.75
ACH1P	placenta	choriocarcinoma		-666	90% Ham's F12 + 10% h.i. FBS	-666	40-50	DSMZ	-666	-666	-666	-666	choriocarcinoma-trophoblast hybrid	-666	-666	-666	NA	-666	-666	ACH-1P	-666	CVCL_1804	NA	45
ACN	autonomic_ganglia	neuroblastoma		-666	-666	-666	-666.00	ICLC	-666	-666	-666	-666	neuroblastoma	-666	-666	-666	NA	-666	-666	-666	M	CVCL_1068	NA	NA
AC1M32	placenta	choriocarcinoma		-666	-666	-666	20-30	DSMZ	-666	-666	-666	-666	choriocarcinoma-trophoblast hybrid	-666	-666	-666	NA	-666	-666	AC1M-32	-666	CVCL_1799	NA	25
AC1M46	placenta	choriocarcinoma		-666	90% Ham's F12 + 10% h.i. FBS	-666	40-50	DSMZ	-666	-666	-666	-666	choriocarcinoma-trophoblast hybrid	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_1800	NA	45
AC1M59	placenta	choriocarcinoma		-666	90% Ham's F12 + 10% h.i. FBS	-666	50.00	DSMZ	-666	-666	-666	-666	choriocarcinoma-trophoblast hybrid	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_1801	NA	50
AC1M81	placenta	choriocarcinoma		-666	90% Ham's F12 + 10% h.i. FBS	-666	-666.00	DSMZ	-666	-666	-666	-666	choriocarcinoma-trophoblast hybrid	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_1802	NA	24
AC1M88	placenta	choriocarcinoma		-666	90% Ham's F12 + 10% h.i. FBS	-666	30-50	DSMZ	-666	-666	-666	-666	choriocarcinoma-trophoblast hybrid	-666	-666	-666	NA	-666	-666	AC1M-88	-666	CVCL_1803	NA	40
ADRRES	ovary	ovarian cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	adenocarcinoma	-666	-666	-666	NA	carcinoma	-666	-666	-666	CVCL_1452	NA	34
AF6	haematopoietic_and_lymphoid_tissue	skin cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	melanoma	-666	-666	-666	NA	-666	-666	AF6	-666	CVCL_U801	NA	NA
AGLCL	haematopoietic_and_lymphoid_tissue	normal blood tissue sample		-666	-666	suspension	-666.00	ECACC	89120566	-666	-666	-666	normal blood tissue sample	-666	Caucasian	-666	NA	-666	-666	-666	-666	CVCL_9Y82	NA	NA
AGS	stomach	gastric cancer	ACHILLES, CCLE, CMAP, PRISM-HURON, PRISM-PR500	-666	F-12K ATCC catalog # 3-24	adherent	24.00	ATCC	CRL-1739	-666	primary	-666	adenocarcinoma	54	Caucasian	-666	NA	carcinoma	AGS_STOMACH	-666	F	CVCL_0139	NA	22
ALEXANDERCELLS	liver	liver cancer	CCLE	-666	ATCC-formulated Eagle's Minimum Essential Medium, Catalog No. 30-2003	adherent	35-40	HSRRB	-666	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_0485	NA	37.5
ALLPO	haematopoietic_and_lymphoid_tissue	leukemia		-666	-666	-666	-666.00	ICLC	-666	-666	-666	-666	leukemia	-666	-666	-666	NA	-666	-666	-666	F	CVCL_1069	NA	NA
ALLSIL	haematopoietic_and_lymphoid_tissue	leukemia	CCLE, PRISM-PR300, PRISM-SUSP	-666	RPMI-164 ATCC catalog # 3-21	suspension	48.00	DSMZ	-666	-666	recurrent	-666	acute lymphoblastic leukemia (all)	-666	-666	-666	NA	lymphoid_neoplasm	ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ALLSIL, SIL-ALL	M	CVCL_1805	11.3137084989848	56
AMDURII	fibroblast	other		-666	ATCC-formulated Eagle's Minimum Essential Medium, Catalog No. 30-2003. To make the complete growth medium, add the following components to the base medium: fetal bovine serum to a final concentration of 10%.	adherent	-666.00	ECACC	90100000	-666	-666	-666	skin methylmalonicacidemia	-666	-666	-666	NA	-666	-666	AmdurII, AMDURII, CVCL_AW71, GM-50, GM00050, GM0050	M	CVCL_3643	NA	NA
AML143D10CCCKR3CLONE16	haematopoietic_and_lymphoid_tissue	leukemia		-666	-666	-666	-666.00	ATCC	CRL-12079	-666	-666	-666	acute myelogenous leukemia (aml)	-666	-666	-666	NA	-666	-666	-666	M	CVCL_6337	NA	NA
AML193	haematopoietic_and_lymphoid_tissue	leukemia	CCLE	-666	IMDM ATCC catalog #3-25	suspension	50-60	ATCC	CRL-9589	-666	-666	-666	acute myelogenous leukemia (aml)	-666	-666	-666	NA	-666	AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AML193	F	CVCL_1071	7.07106781186548	60
AMO1	haematopoietic_and_lymphoid_tissue	lymphoma, myeloma	CCLE, PRISM-PR300, PRISM-SUSP	-666	RPMI-164 ATCC catalog # 3-21	suspension	50-90	DSMZ	-666	-666	primary	-666	plasmacytoma	-666	unknown	-666	NA	-666	AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AMO-1, AMo1	F	CVCL_1806	39.5979797464467	52
AM38	central_nervous_system	brain cancer	CCLE, PRISM-HURON, PRISM-PR300	-666	EMEM ATCC catalog # 3-23	adherent	38.40	HSRRB	-666	-666	primary	-666	astrocytoma, glioblastoma	-666	-666	-666	NA	glioma	AM38_CENTRAL_NERVOUS_SYSTEM	AM, AM38	M	CVCL_1070	33.2340187157677	48.5
AN3CA	endometrium	endometrial cancer	CCLE, PRISM-HURON, PRISM-PR500	-666	MEM (Invitrogen catalogue #12571-63)	adherent	48.00	ATCC	HTB-111	-666	metastatic	-666	adenocarcinoma	55	Caucasian	lymph_node	NA	carcinoma	AN3CA_ENDOMETRIUM	AN-3, AN3, AN3 Ca, AN3 CA, AN3CA	F	CVCL_0028	NA	55
AP1060	haematopoietic_and_lymphoid_tissue	leukemia		-666	70% Iscove's MDM + 20% h.i. FBS + 10% vol conditioned medium of cell line 5637 (DSM ACC 35)	-666	48.00	DSMZ	-666	-666	recurrent	-666	acute myelogenous leukemia (aml)	-666	-666	-666	NA	-666	-666	-666	M	CVCL_1807	29.698484809835	69
ARH77	haematopoietic_and_lymphoid_tissue	leukemia		-666	ATCC-formulated RPMI-1640 Medium, ATCC 30-2001	suspension	30.00	ATCC	CRL-1621	-666	-666	-666	leukemia	33	Caucasian	-666	NA	-666	-666	ARH 77, ARH77	F	CVCL_1072	56.8513852073984	70.2
ARPE19	upper_aerodigestive_tract	normal epithelium sample		-666	ATCC-formulated DMEM:F12 Medium Catalog No. 30-2006. To make the complete growth medium, add the following components to the base medium: fetal bovine serum to a final concentration of 10%.	adherent	55-65	-666	-666	-666	-666	-666	normal epithelium sample	-666	-666	-666	NA	-666	-666	Adult Retinal Pigment Epithelial cell line-19, ARPE19, NTC-200, NTC200	M	CVCL_0145	7.07106781186548	60
ASC	soft_tissue	normal soft tissue sample		-666	-666	adherent	-666.00	-666	-666	-666	-666	-666	normal soft tissue sample	-666	-666	-666	NA	-666	-666	ADIPOCYTES	-666	CVCL_U602	NA	NA
ASF41	skin	normal skin sample		-666	Eagle's minimal essential medium with 10% fetal bovine serum	-666	24-36	JCRB	IFO50418	-666	-666	-666	normal skin sample	36	-666	-666	NA	-666	-666	-666	M	CVCL_2854	NA	54
ASF42	skin	normal skin sample		-666	Eagle's minimal essential medium with 10% fetal bovine serum	-666	60.00	JCRB	IFO50419	-666	-666	-666	normal skin sample	47	-666	-666	NA	-666	-666	-666	M	CVCL_2855	NA	60
ASH3	thyroid	thyroid cancer		-666	1 to 1 mixture of Dulbecco's modified Eagle's medium and RPMI 1640 medium with 10% heat inactivated fetal bovine serum.	-666	84.00	JCRB	JCRB1073	-666	-666	-666	carcinoma	68	-666	-666	NA	-666	-666	-666	F	CVCL_2856	NA	84
ASPC1	pancreas	pancreatic cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR500	-666	RPMI-164 ATCC catalog # 3-21	adherent	108.00	ATCC	CRL-1682	-666	metastatic	-666	adenocarcinoma	62	Caucasian	ascites	NA	carcinoma	ASPC1_PANCREAS	As-PC1, Aspc-1, AsPc-1, ASPC-1, Aspc1, AsPc1, AsPC1, ASPC1	F	CVCL_0152	4.94974746830583	42.5
ATL5KY	haematopoietic_and_lymphoid_tissue	other		-666		-666	-666.00	JCRB	JCRB0331	-666	-666	-666	ataxia telangiectasia	10	-666	-666	NA	-666	-666	-666	M	CVCL_2857	NA	NA
ATL6KY	haematopoietic_and_lymphoid_tissue	other		-666	RPMI1640 medium with 10% fetal calf serum	-666	-666.00	JCRB	JCRB0332	-666	-666	-666	ataxia telangiectasia	8	-666	-666	NA	-666	-666	-666	M	CVCL_2858	NA	NA
ATL7KY	haematopoietic_and_lymphoid_tissue	other		-666	-666	-666	-666.00	JCRB	JCRB0333	-666	-666	-666	ataxia telangiectasia	3	-666	-666	NA	-666	-666	-666	M	CVCL_2859	NA	NA
ATN1	haematopoietic_and_lymphoid_tissue	leukemia		-666	-666	-666	-666.00	RIKEN	-666	-666	-666	-666	leukemia	-666	-666	-666	NA	-666	-666	ATN1	M	CVCL_1073	NA	24
ATRFLOX	large_intestine	colon cancer		-666	ATCC-formulated McCoy's 5a Medium Modified, Catalog No. 30-2007	adherent	36.00	ATCC	CRL-2780	-666	-666	-666	carcinoma	-666	unknown	-666	NA	-666	-666	ATRFLOX [Mutatect], ATRflox/-	M	CVCL_2299	NA	NA
AT1OS	haematopoietic_and_lymphoid_tissue	other		-666	-666	-666	-666.00	JCRB	JCRB0308	-666	-666	-666	ataxia telangiectasia	-666	-666	-666	NA	-666	-666	-666	M	CVCL_2860	NA	NA
AT2KY	haematopoietic_and_lymphoid_tissue	other		-666	-666	-666	-666.00	JCRB	JCRB0316	-666	-666	-666	ataxia telangiectasia	-666	-666	-666	NA	-666	-666	-666	F	CVCL_2861	NA	NA
AU565	breast	breast cancer	ACHILLES, CCLE, PRISM-PR300	-666	RPMI-164 ATCC catalog # 3-21	adherent	>120	ATCC	CRL-2351	-666	metastatic	-666	adenocarcinoma	43	Caucasian	pleural_effusion	NA	carcinoma	AU565_BREAST	AU 565, AU-565	F	CVCL_1074	NA	NA
AV3	cervix	cervical cancer		-666	ATCC-formulated Eagle's Minimum Essential Medium, Catalog No. 30-2003	adherent	-666.00	ECACC	88102402	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	-666	AV 3, AV-3	F	CVCL_1904	NA	NA
AWELLS	haematopoietic_and_lymphoid_tissue	normal blood tissue sample		-666	RPMI 1640 (R0883) + 2mM Glutamine (G7513) + 20% Foetal Bovine Serum (FBS) (F2442). Once a growing culture is established the FBS concentration can be reduced to 10%.	suspension	-666.00	ATCC	-666	-666	-666	-666	normal blood tissue sample	-666	-666	-666	NA	-666	-666	AK, AK, Awells, WEL	F	CVCL_E465	NA	NA
AZ521	stomach	small intestine cancer	CCLE	-666	-666	-666	30.00	HSRRB	-666	-666	metastatic	-666	carcinoma	-666	-666	-666	NA	-666	AZ521_STOMACH	AZ 521, AZ521	M	CVCL_2862	NA	NA
A02	skin	skin cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	melanoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_W875	NA	NA
A04	skin	skin cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	melanoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_S856	NA	NA
A06	skin	skin cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	melanoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_S857	NA	NA
A101D	skin	skin cancer	CCLE, PRISM-HURON, PRISM-PR500	-666	DMEM	adherent	36.00	ATCC	CRL-7898	-666	-666	-666	melanoma	58	Caucasian	-666	NA	malignant_melanoma	A101D_SKIN	A-101D	M	CVCL_1057	NA	NA
A11	skin	skin cancer		-666	ATCC Hybri-Care Medium, Catalog No. 46-X.	-666	-666.00	-666	-666	-666	-666	-666	melanoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_W877	NA	NA
A1207	central_nervous_system	brain cancer	CCLE, PRISM-PR300	-666	-666	-666	24.00	-666	-666	-666	-666	-666	glioblastoma	-666	-666	-666	NA	-666	A1207_CENTRAL_NERVOUS_SYSTEM	A 1207, A1207	-666	CVCL_8481	NA	24
A13	skin	skin cancer		-666	-666	-666	-666.00	-666	-666	-666	-666	-666	melanoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_DH61	NA	NA
A15	skin	skin cancer		-666	DMEM + 2mM Glutamine + 15% Foetal Bovine Serum (FBS)	adherent	-666.00	-666	-666	-666	metastatic	-666	melanoma	-666	-666	-666	NA	-666	-666	-666	-666	CVCL_W878	NA	NA
A172	central_nervous_system	brain cancer	CCLE, PRISM-HURON, PRISM-PR500	-666	EMEM ATCC catalog # 3-23	adherent	36.00	ATCC	CRL-1620	-666	primary	-666	astrocytoma, glioblastoma	53	unknown	-666	NA	glioma	A172_CENTRAL_NERVOUS_SYSTEM	A 172, A-172 MG, A-172MG, A172	M	CVCL_0131	NA	40
A204	soft_tissue	embryonal cancer	CCLE, L10, PRISM-HURON, PRISM-PR300, PRISM-PR500	-666	ATCC-formulated McCoy's 5a Medium Modified, Catalog No. 30-2007	adherent	72.00	ATCC	HTB-82	-666	primary	-666	rhabdomyosarcoma	1	-666	-666	NA	rhabdoid_tumor	A204_SOFT_TISSUE	A204	F	CVCL_1058	5.65685424949238	32
A2058	skin	skin cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR500	-666	DMEM ATCC catalog # 3-22	adherent	36.00	ATCC	CRL-11147	-666	metastatic	-666	melanoma	43	-666	lymph_node	NA	malignant_melanoma	A2058_SKIN	A 2058, A-2058	M	CVCL_1059	NA	27
A253	upper_aerodigestive_tract	head and neck cancer	CCLE, PRISM-HURON, PRISM-PR300	-666	McCoy's 5A ATCC catalog # 3-27	adherent	48.00	ATCC	HTB-41;CRL-7902	-666	primary	-666	carcinoma	-666	Caucasian	-666	NA	carcinoma	A253_SALIVARY_GLAND	A 253, A253	M	CVCL_1060	NA	NA
A2780	ovary	ovarian cancer	ACHILLES, CCLE, PRISM-HURON, PRISM-PR500	-666	RPMI-164 Invitrogen catalog # 11875-93	adherent	24.00	ECACC	-666	-666	primary	-666	adenocarcinoma	-666	unknown	-666	NA	carcinoma	A2780_OVARY	2780, A-2780, A2780S	F	CVCL_0134	NA	16
A2780ADR	ovary	ovarian cancer	CCLE	-666	RPMI 1640 + 2mM Glutamine + 10% Foetal Bovine Serum (FBS); treatment with 10E-7 M adriamycin at least once a week.	adherent	60.00	ECACC	93112519	-666	-666	-666	carcinoma	-666	Caucasian	-666	NA	-666	-666	A2780 ADR, A2780-ADR	F	CVCL_1941	NA	NA
A2780CIS	ovary	ovarian cancer		-666	RPMI 1640+ 2 mM Glutamine + 1 μm Cisplatin + 10% Fetal Bovine Serum FBS (cisplatinum only necessary every 2-3 passages).	adherent	-666.00	ECACC	93112517	-666	-666	-666	carcinoma	-666	-666	-666	NA	-666	-666	A2780 CIS, A2780_CIS, A2780CIS	F	CVCL_1942	NA	NA
A3KAW	haematopoietic_and_lymphoid_tissue	lymphoma	ACHILLES, CCLE, PRISM-PR300, PRISM-SUSP	-666	RPMI-164	suspension	20.00	HSRRB	-666	-666	-666	-666	b-cell lymphoma	-666	unknown	-666	NA	-666	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-666	unknown	CVCL_1062	10.1159939369957	38
A375	skin	skin cancer	CCLE, CMAP, L10, PRISM-HURON, PRISM-PR500	-666	DMEM Invitrogen catalog # 11995-65	adherent	36.00	ATCC	CRL-1619	-666	metastatic	-666	melanoma	54	unknown	-666	NA	malignant_melanoma	A375_SKIN	A 375, A375, A375-mel, A375-MEL, A375mel	F	CVCL_0132	17.7483802077823	19.45
A388	skin	skin cancer		-666	ATCC-formulated Dulbecco's Modified Eagle's Medium, Catalog No. 30-2002	adherent	-666.00	ATCC	CRL-7905	-666	metastatic	-666	carcinoma	86	-666	lymph_node	NA	-666	-666	A388	M	CVCL_1063	NA	NA
A4FUK	haematopoietic_and_lymphoid_tissue	lymphoma	CCLE	-666	RPMI-164 ATCC catalog # 3-21	suspension	38-43	HSRRB	-666	-666	metastatic	-666	b-cell lymphoma	-666	Japanese	-666	NA	-666	A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-666	unknown	CVCL_1064	NA	21
