collection_id	collection_label	pathway_id	pathway_label	ranking_id	pval	padj	log2err	ES	NES	size	direction	nPermSimple	retry_round	leading_edge_genes	model_id
C5:GO:BP	GO biological process	GOBP_MUSCLE_TISSUE_DEVELOPMENT	Muscle Tissue Development	primary_adjacent_state	0.99539031967131	1	0.00119368256562217	0.155954084656063	0.657407718861459	338	positive	10000	0	XK;ALPK3;FGF9;EFEMP2;TLL2;HMG20B;TBX1;SCX;CXADR;ACTN3;VEGFA;RBM24;ASB2;ERBB3;ABCC9;MYOM1;KLHL41;FES;CCNB1;SCN5A;BMAL1;GJA1;IGF1;SGCG;RPL3L;WNT3A;MYBPC3;TENM4;FGFR2;SEMA3C;POPDC2;LMOD3;DMRTA2;CNTNAP1;FOSL2;TFAP2B;RTL1;CENPF;SIK1;DSP;COL19A1;LOX;NPPA;SPG11;MYLK3;EOMES;MYL11;NOTCH1;EP300;MYLK2;SLC9A1;GJB6;KCNK2;PROX1;HLF;HLX;CHRNA1;BMP4;COL3A1;JPH2;STRA6;ANKRD1;TIPARP;RARA;NUPR1;MYL3;VAMP5;B4GALNT2;MYORG;SRF;NDRG4;TPM1;KCNJ11;ELN;NPHS1;CITED2;ID2;IGFBP5;RYR1;ABL1;MTM1;WNT10B;IFRD1;MYH15;EPHB1;RARB;YAP1;TTN;CARMN;NEB;PAX5;EDN1;MYH11;CCNT2;TBX3;PKP2;ACTN2;DLL1;CSRP2;BMPR2;TGFBR3;MAFF;STAC3;COL11A1;NR1D2;BTG2;GREB1L;KDM6B;MYH10;ALDH1A2;SMAD7;CYP26B1	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
C5:GO:BP	GO biological process	GOBP_RESPONSE_TO_MONOAMINE	Response to Monoamine	primary_adjacent_state	0.987001733102253	1	0.0402497346423665	-0.139595213953354	-0.657350162522866	47	negative	10000	0	DTNBP1;HDAC2;PRKD1;ARRB2;SRD5A1;MBD2;GNAO1;KLF16;TGM2;ADCY6;NCSTN;GNG2;GNB1;AKT1;GNB5;GSK3A;GNA11;APLP1;LRRK2;CAV2;GSK3B;NHERF1	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
C5:GO:BP	GO biological process	GOBP_ENDODERMAL_CELL_DIFFERENTIATION	Endodermal Cell Differentiation	primary_adjacent_state	0.932644292184415	1	0.0071453828132887	0.195270714450172	0.656846374403033	37	positive	10000	0	ITGA7;FN1;POU5F1;COL12A1;EOMES;MMP15;COL5A1	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
C5:GO:BP	GO biological process	GOBP_POSTSYNAPTIC_DENSITY_ORGANIZATION	Postsynaptic Density Organization	primary_adjacent_state	0.93213296398892	1	0.00704359436544889	0.193269576448769	0.656748454775772	39	positive	10000	0	ABI3;TMEM108;LRRC4;CASKIN1;RAPSN;CNTNAP1;CSMD2;PTK2B	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
C5:GO:BP	GO biological process	GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS	Inflammatory Cell Apoptotic Process	primary_adjacent_state	0.909388783868935	1	0.0089627867886639	0.223977181384726	0.656676755717696	19	positive	10000	0	HCAR2;CDKN2A;FCAR;PLEKHO2;ITPKB	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
C5:GO:BP	GO biological process	GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION	Negative Regulation of Cytokine Production	primary_adjacent_state	0.992257415786828	1	0.00167488862960142	0.15769985489721	0.656657742047133	250	positive	10000	0	CD200;CD200R1;LGALS9B;NMBR;ORM1;GBP7;CLEC4A;XCL1;CD24;BTK;HAVCR2;F2;GHRL;PYDC2;NLRC3;LAG3;ABCD2;PTGER4;IL20RA;MERTK;FOXJ1;FN1;IRAK3;SYT11;IGF1;IL23R;CCR7;CD33;CHRNA7;INHA;NDRG2;CIDEA;FXR1;LGALS9C;BCL6;OTUD5;SLC2A10;IRGM;PTPN6;ERRFI1;AXL;HLA-F;LBP;AGER;C5AR2;RARA;FBLN1;PDCD4;C1QTNF3;GATA3;TNFRSF14;IL23A;DDIT3;BTN2A2;TNFRSF21;ERBIN;SLC11A1;IDO1	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
C5:GO:BP	GO biological process	GOBP_RAB_PROTEIN_SIGNAL_TRANSDUCTION	Rab Protein Signal Transduction	primary_adjacent_state	0.94078947368421	1	0.0301958974504643	-0.172043623585122	-0.656462064254742	21	negative	10000	0	DENND4B;GDI1;MICALL2;CD2AP	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
C5:GO:BP	GO biological process	GOBP_GLUCAN_METABOLIC_PROCESS	Glucan Metabolic Process	primary_adjacent_state	0.995839112343967	1	0.0518915766779433	-0.127440693158774	-0.656400498630807	73	negative	10000	0	GYG1;PPP1CA;PASK;AKT2;PRKAG2;INSR;PPP1CC;HMGB1;PFKM;PHKA1	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
C5:GO:BP	GO biological process	GOBP_POST_EMBRYONIC_DEVELOPMENT	Post Embryonic Development	primary_adjacent_state	0.960413999146394	1	0.00480872966887942	0.172242925338254	0.656363579486423	83	positive	10000	0	DSCAM;KDM5B;VEGFA;SLC18A2;ZFY;PRDM1;ITPR1;FGFR2;SEMA3C;SLC4A10;ALX4;BMP4;TIPARP;SCUBE1;GATA3;CRB1;GABRG2;ABL1;LLGL2;ACVR2B;ETNK2;IGF2R;BCL2L11;CSRNP1;STK36;IREB2;ALDH5A1;SELENOP;LHX1;PSEN1;ASL;RAB3A;TBCE;KLF4;BCL11B	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
C5:GO:BP	GO biological process	GOBP_GLIAL_CELL_DEVELOPMENT	Glial Cell Development	primary_adjacent_state	0.997867803837953	1	0.0651459743455219	-0.118177432124853	-0.656232315152835	104	negative	10000	0	SOD1;NSUN5;SLC25A46;VIM;GSTP1;LDLR;AKT2;DAG1;PPP3R1;HRAS;EIF2B2;B4GALT6;PICK1;MAP2K1;B4GALT5;DICER1;MAP2K2;EIF2B1;EIF2B3;LPAR1;CD9;ERCC2;MIOS;PRDM8;PLEC;EIF2B5;LYN;ADGRG6;NCSTN;CLU;ARHGEF10	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
C5:GO:BP	GO biological process	GOBP_POSITIVE_REGULATION_OF_AUTOPHAGOSOME_ASSEMBLY	Positive Regulation of Autophagosome Assembly	primary_adjacent_state	0.941295546558704	1	0.0301859231121408	-0.17177743860136	-0.655446389623664	21	negative	10000	0	SNX4;WDR45;SNX7;ATG2A;LRSAM1;RAB3GAP2;WIPI1;RALB;SNX18;PIP4K2A;RAB3GAP1;BECN1;TRIM32;USP33;PIP4K2B;MOAP1;SH3GLB1;SNX30;ULK1;ELAPOR1;PIP4K2C	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
C5:GO:BP	GO biological process	GOBP_ZYMOGEN_ACTIVATION	Zymogen Activation	primary_adjacent_state	0.934014229974753	1	0.00690051232016247	0.190042900470138	0.655318260467217	42	positive	10000	0	F5;F2;MASP2;HPN;HP	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
C5:GO:BP	GO biological process	GOBP_MIRNA_TRANSCRIPTION	Mirna Transcription	primary_adjacent_state	0.995067817509248	1	0.0487095049209452	-0.12740809224975	-0.654845682788082	68	negative	10000	0	ZNF512B;SREBF2;GNL3;NFIB;TERT;MRTFB;TWIST1;SMARCA4;TP53;NFATC3;NOTCH2;SMAD1;PPARG;YY1;BMPR1A	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
C5:GO:BP	GO biological process	GOBP_REGULATION_OF_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	Regulation of Hematopoietic Progenitor Cell Differentiation	primary_adjacent_state	0.969029593943565	1	0.0356460880400026	-0.151340262884424	-0.654714686472761	34	negative	10000	0	PRKDC;FOXC1;HSPA9;PDCD2;METTL14;TMSB4X	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
C5:GO:BP	GO biological process	GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY	Positive Regulation of Wnt Signaling Pathway	primary_adjacent_state	0.977333608077478	1	0.00336153147182245	0.163320232814795	0.654391274631437	136	positive	10000	0	LGR6;FGF9;WNT5B;ASPM;RSPO4;JUP;SOX4;PBXIP1;BMAL1;POU5F1;WNT3A;CDH3;FGFR2;DKK2;SULF1;WNK2;SFRP1;HHEX;CSNK1G3;TMEM198;UBE2B;WDR48;ATP6V1C2;ANKRD6;EGF;SULF2;TNKS2;ABL1;WNT10B;PPM1N;WDR20;YAP1;UBR5;ZRANB1;LBX2;SMURF2;LGR4;RNF220;FRAT1;ZEB2;PPM1B;NKD1;PLEKHA4;TLR2;PCDH11Y;SKI;COL1A1;GPC5;DEPDC1B;USP47;RSPO2	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
C5:GO:BP	GO biological process	GOBP_ENDOCRINE_SYSTEM_DEVELOPMENT	Endocrine System Development	primary_adjacent_state	0.965655711719328	1	0.00443358852237845	0.168989128374908	0.653329762444132	93	positive	10000	0	DRD2;TBX1;CDH1;LHX3;SOX4;BMAL1;HOXB3;BMP6;WNT4;NKX6-1;CDKN1C;TG;GIPR;SLC6A3;BMP4;EIF2AK3;STRA6;GATA3;NR0B1;SRF;HESX1;CITED2;TBX19;HES1;APOA1;BRAF;EDN1;DLL1;PBX1;HOXA5;GIP;ALDH1A2;POU3F2;ONECUT2;NF1;RFX3;PDPK1;MNX1	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
C5:GO:BP	GO biological process	GOBP_REGULATION_OF_HEART_GROWTH	Regulation of Heart Growth	primary_adjacent_state	0.982683982683983	1	0.0403297267408196	-0.137439310756732	-0.65319680060007	48	negative	10000	0	NKX2-5;TOMM70;PAK1;AKAP6;MAPK14;G6PD;NRG1;YY1;BMPR1A;CDK1;ERBB4	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
C5:GO:BP	GO biological process	GOBP_ADRENAL_GLAND_DEVELOPMENT	Adrenal Gland Development	primary_adjacent_state	0.913547574039067	1	0.00888922346993855	0.22273577770262	0.653037095027883	19	positive	10000	0	WNT4;CDKN1C;STRA6;NR0B1;CITED2;APOA1;PBX1	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
C5:GO:BP	GO biological process	GOBP_NEUROMUSCULAR_PROCESS	Neuromuscular Process	primary_adjacent_state	0.979522535501132	1	0.00324640682929467	0.162502907289593	0.652705136446056	141	positive	10000	0	GBX1;GSTM2;DRD2;PDE8B;ACTN3;SCN4A;SPTBN4;GRIN2C;TNNT3;CDH23;ITPR1;TNNI2;ADGRD1;MYO7A;CNTNAP1;MYH3;TNNC2;LONRF2;SLC6A3;MB;CHRNA1;REST;GRIN2A;STRA6;ATP2A1;PRRT2;CA3;HOXA1;DDIT3;CCDC78;TMEM150C;ABL1;DLG4;ALDH1A3;CTNNA2;TTN;SLC1A3;GBA1;GM2A;STAC2;ADORA2A;GRID2;GMPPA;SCN1A;STAC3;CHRNE;MYH10;UCN;GLRA1;PEX5;GRIN2D;NRXN1;ATP8A2;GNAS;ANKFN1;TPP1;FOXS1;FGF12;KCNJ2;DMPK;HERC1;CAMTA1;HOMER1;NR4A3	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
C5:GO:BP	GO biological process	GOBP_SENSORY_SYSTEM_DEVELOPMENT	Sensory System Development	primary_adjacent_state	0.995690087200561	1	0.001184813338035	0.154890256323743	0.652474898617213	332	positive	10000	0	FGF9;TUB;DSCAM;WNT6;SLC17A8;RPGRIP1;MIP;DRD2;COL8A2;ACHE;CRYGC;CAPSL;LCTL;HPCA;WNT5B;SLC38A8;TULP1;PRPH2;PLAAT1;SDK1;CACNA1C;KDM5B;CLDN19;VEGFA;SLC17A7;LHX2;RPE65;SOX4;SLC44A4;ABCB5;MERTK;GNAT2;MYOM1;PRDM1;NRL;ITGAM;MAF;SGCG;KRT12;CELF4;BMP6;BBS10;MYO7A;ADAMTS18;SEMA3A;CDKN1B;FAT3;TFAP2B;CRYGS;ZNF513;CDKN1C;CNTF;NR2E3;GPM6A;CRYBB2;CYP1B1;SLC6A3;PER2;CPAMD8;IMPG2;PROX1;BMP4;CRYBB1;RAB11FIP4;DLX2;STRA6;COL5A1;RARA;ATF4;C3;FLT1;GATA3;PRKCI;CRB1;OLFM3;SRF;SPRED1;CABP4;WNT2B;HESX1;FBN2;RP1L1;CITED2	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
C5:GO:BP	GO biological process	GOBP_RESPIRATORY_SYSTEM_DEVELOPMENT	Respiratory System Development	primary_adjacent_state	1	1	0.131742417142485	-0.107663894188456	-0.652321826777957	190	negative	10000	0	TMEM38B;MAN2A1;IFT25;MSX1;HEG1;SIX1;PPP1CA;FGFRL1;HIKESHI;AIMP2;SMCHD1;FBN1;MAN1A2;DAG1;NFIB;HMGB1;PPP3R1;CLCN2;TIMELESS;TGFBR2;MAP2K1;KLF2;PLOD3;ID1;PTK7;NKIRAS1;CELSR1;MAP2K2;HHIP;PHF14;CDC42;LIPA;RPGRIP1L;HS6ST1;BMPR1A;ELK1;MOSMO;THRA;PDGFRA;GSTCD;ANXA2;RBBP9;CHD7;TGFB3;WDPCP	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
C5:GO:BP	GO biological process	GOBP_AUTOPHAGY_OF_PEROXISOME	Autophagy of Peroxisome	primary_adjacent_state	0.943176733780761	1	0.0279190692869019	-0.186378296693662	-0.652210941573294	16	negative	10000	0	WDR45;WIPI2;ATM;USP30;ATG2A;WIPI1;ACBD5;PJVK;WDR45B;ATG2B;PEX2;RB1CC1;SQSTM1;PIK3R4;PEX5	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
C5:GO:BP	GO biological process	GOBP_FILOPODIUM_ASSEMBLY	Filopodium Assembly	primary_adjacent_state	0.95249067368883	1	0.00562572211415241	0.177319281669411	0.651653376550174	62	positive	10000	0	VSTM5;SPATA13;PALM;RIPOR2;CCR7;ABITRAM;RAB5A;GPM6A;MYO3B;SPEF1;RHOQ;SRF;DMTN;RAB17;ARAP1;TTYH1;PIK3R1;FGD3;ITGB4;ARHGAP44;NRXN1;BAIAP2;TRPM2;FSCN1	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
C5:GO:BP	GO biological process	GOBP_COLLAGEN_METABOLIC_PROCESS	Collagen Metabolic Process	primary_adjacent_state	0.966670193630304	1	0.00443920881332681	0.169104506838616	0.651575734316837	90	positive	10000	0	MMP25;SCX;F2;MMP10;WNT4;MMP20;SUCO;MFAP4;MMP7;FOSL2;CIITA;NOTCH1;MMP15;MMP28;ERRFI1;BMP4;PLOD1;ADAMTS2;COL5A1	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
