collection_id	collection_label	collection_display_order	pathway_id	pathway_label	pathway_display_order	NES	padj	selected_direction	selected_rank_within_direction
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	1.44702452089049	0.0232577703220954	positive	1
H	Hallmark	1	HALLMARK_MYC_TARGETS_V1	Myc Targets V1	2	-4.52133266126602	7.12661098524982e-73	negative	1
H	Hallmark	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Oxidative Phosphorylation	3	-4.18336288503499	9.69028974167055e-58	negative	2
H	Hallmark	1	HALLMARK_E2F_TARGETS	E2f Targets	4	-3.98851097911592	3.40175752126275e-50	negative	3
H	Hallmark	1	HALLMARK_MTORC1_SIGNALING	Mtorc1 Signaling	5	-3.02204164732413	8.58040426483649e-25	negative	4
C2:CP:REACTOME	Reactome	2	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	Class a 1 Rhodopsin Like Receptors	6	1.96142448310706	8.4785142314741e-09	positive	1
C2:CP:REACTOME	Reactome	2	REACTOME_GPCR_LIGAND_BINDING	Gpcr Ligand Binding	7	1.77770775957794	1.92698511939596e-07	positive	2
C2:CP:REACTOME	Reactome	2	REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	Peptide Ligand Binding Receptors	8	1.84851140519306	3.82060613275397e-05	positive	3
C2:CP:REACTOME	Reactome	2	REACTOME_OLFACTORY_SIGNALING_PATHWAY	Olfactory Signaling Pathway	9	1.96583851222523	0.000341360106249896	positive	4
C2:CP:REACTOME	Reactome	2	REACTOME_TRANSLATION	Translation	10	-4.51481983053526	1.35207012881284e-108	negative	1
C2:CP:REACTOME	Reactome	2	REACTOME_RRNA_PROCESSING	Rrna Processing	11	-4.27320834456636	9.31171988767905e-60	negative	2
C2:CP:REACTOME	Reactome	2	REACTOME_DNA_REPAIR	Dna Repair	12	-3.58332662762822	6.20274531736366e-58	negative	3
C2:CP:REACTOME	Reactome	2	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	Processing of Capped Intron Containing Pre Mrna	13	-3.64341946958855	5.89124096802717e-54	negative	4
C5:GO:BP	GO biological process	3	GOBP_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	Detection of Stimulus Involved in Sensory Perception	14	1.88390682392286	2.8781715806529e-05	positive	1
C5:GO:BP	GO biological process	3	GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	Sensory Perception of Chemical Stimulus	15	1.95415220950941	6.90168552461437e-05	positive	2
C5:GO:BP	GO biological process	3	GOBP_SENSORY_PERCEPTION	Sensory Perception	16	1.42627185334029	0.00060334690281782	positive	3
C5:GO:BP	GO biological process	3	GOBP_SENSORY_PERCEPTION_OF_SMELL	Sensory Perception of Smell	17	1.78382866392535	0.00280435092637346	positive	4
C5:GO:BP	GO biological process	3	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	Ribonucleoprotein Complex Biogenesis	18	-4.46620578313108	1.26856861086116e-113	negative	1
C5:GO:BP	GO biological process	3	GOBP_RIBOSOME_BIOGENESIS	Ribosome Biogenesis	19	-4.47850050260223	1.19475787648007e-87	negative	2
C5:GO:BP	GO biological process	3	GOBP_DNA_REPLICATION	Dna Replication	20	-4.20056209878495	6.85978360636806e-71	negative	3
C5:GO:BP	GO biological process	3	GOBP_RRNA_METABOLIC_PROCESS	Rrna Metabolic Process	21	-4.24277977446142	8.76439890532529e-71	negative	4
