"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	13	1127.5	550.5	258	"Alive"
"2"	14	1127	567.5	260	"Alive"
"3"	15	1118.5	557.5	303	"Alive"
"4"	16	1112.5	568.5	294	"Alive"
"5"	17	1105.5	575	294	"Alive"
"6"	18	1103	592	335	"Alive"
"7"	19	1087.5	612	310	"Alive"
"8"	20	1103	608.5	211	"Alive"
"9"	21	1125	616	247	"Alive"
"10"	22	1132.5	627	253	"Alive"
"11"	23	1136	627.5	283	"Alive"
"12"	24	1158	640	308	"Alive"
"13"	25	1182.5	655.5	378	"Transitional"
"14"	26	1183	683.5	169	"Transitional"
"15"	27	1193	677.5	182	"Dead"
"16"	28	1176.5	681	216	"Dead"
"17"	29	1164.5	675.5	135	"Dead"
"18"	30	1160.5	679	320	"Dead"
"19"	31	1174	674	329	"Dead"
"20"	32	1189.5	690.5	287	"Dead"
"21"	33	1188.5	675	550	"Alive"
"22"	34	1188	682.5	312	"Alive"
"23"	35	1183	683.5	343	"Alive"
"24"	36	1195	669.5	211	"Alive"
"25"	37	1207	688	206	"Alive"
"26"	38	1231.5	682.5	164	"Alive"
"27"	39	1210.5	688.5	167	"Alive"
