"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	15	96	44.5	121	"Alive"
"2"	16	90	34.5	108	"Alive"
"3"	17	77.5	61	135	"Alive"
"4"	18	87.5	65	123	"Alive"
"5"	19	83	72.5	277	"Alive"
"6"	20	83	80.5	310	"Alive"
"7"	21	88.5	94	352	"Alive"
"8"	22	106.5	112	327	"Alive"
"9"	23	89.5	112.5	307	"Alive"
"10"	24	77	121	174	"Dead"
"11"	25	88.5	135.5	333	"Transitional"
"12"	26	99	160	672	"Dead"
"13"	27	99	161	619	"Dead"
"14"	28	90.5	163	388	"Dead"
"15"	29	80.5	159	283	"Dead"
"16"	30	74.5	154.5	259	"Dead"
"17"	31	61.5	147.5	130	"Dead"
"18"	32	52.5	160	171	"Dead"
"19"	33	42.5	163.5	236	"Dead"
"20"	34	38	160.5	254	"Dead"
"21"	35	29	183.5	124	"Dead"
