"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	20	1342.5	983	163	"Alive"
"2"	21	1333.5	994	407	"Alive"
"3"	22	1340.5	999.5	348	"Transitional"
"4"	23	1321.5	1000	388	"Transitional"
"5"	24	1333	1002	374	"Alive"
"6"	25	1343.5	994.5	386	"Alive"
"7"	26	1347	978	795	"Alive"
"8"	27	1354	976.5	1166	"Dead"
"9"	28	1335.5	987.5	843	"Alive"
"10"	29	1345	991.5	1326	"Dead"
"11"	30	1362	993.5	643	"Dead"
"12"	31	1360	1001.5	592	"Alive"
"13"	32	1365	984	691	"Alive"
"14"	33	1368	976.5	407	"Alive"
"15"	34	1356.5	977	406	"Alive"
"16"	35	1370.5	955	485	"Alive"
"17"	36	1376.5	958	243	"Alive"
"18"	37	1374.5	956.5	144	"Alive"
"19"	38	1366	972	223	"Transitional"
"20"	39	1373	969	110	"Dead"
