"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	5	1261	841	239	"Alive"
"2"	6	1263	842.5	289	"Alive"
"3"	7	1263	845	292	"Alive"
"4"	8	1261.5	846.5	320	"Alive"
"5"	9	1262	852	312	"Alive"
"6"	10	1262	859	358	"Alive"
"7"	11	1271	851.5	346	"Alive"
"8"	12	1277.5	847	369	"Alive"
"9"	13	1276	846	373	"Alive"
"10"	14	1270	841	409	"Alive"
"11"	15	1264	834	414	"Alive"
"12"	16	1258	833	371	"Alive"
"13"	17	1251	833.5	360	"Alive"
"14"	18	1243.5	836.5	459	"Transitional"
"15"	19	1230.5	829.5	430	"Transitional"
