"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	3	832	183	56	"Alive"
"2"	4	833	204.5	119	"Alive"
"3"	5	823.5	227	213	"Alive"
"4"	6	818	234	238	"Alive"
"5"	7	811	233.5	275	"Alive"
"6"	8	786.5	235.5	293	"Alive"
"7"	9	779.5	245.5	281	"Alive"
"8"	10	784	248.5	280	"Alive"
"9"	11	774.5	246.5	292	"Alive"
"10"	12	780	248	307	"Alive"
"11"	13	786.5	250.5	307	"Alive"
"12"	14	807	258.5	308	"Alive"
"13"	15	829.5	266.5	329	"Alive"
"14"	16	832	262	381	"Alive"
"15"	17	831	267	381	"Alive"
"16"	18	841	274	393	"Alive"
"17"	19	846.5	276.5	362	"Alive"
