"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	25	834	213	404	"Alive"
"2"	26	839	213.5	150	"Transitional"
"3"	27	844.5	212.5	163	"Alive"
"4"	28	852	208.5	167	"Transitional"
"5"	29	841.5	199.5	156	"Transitional"
"6"	30	831.5	171.5	286	"Transitional"
"7"	31	820	185.5	67	"Alive"
"8"	32	821	184	440	"Dead"
"9"	33	807	182.5	49	"Alive"
"10"	34	801	173.5	156	"Dead"
"11"	35	789	173.5	108	"Dead"
"12"	36	788	184.5	162	"Alive"
"13"	37	798.5	167.5	225	"Alive"
"14"	38	807	147	210	"Alive"
"15"	39	800	134.5	230	"Alive"
