"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	26	503.5	201.5	101	"Transitional"
"2"	27	511.5	201.5	102	"Transitional"
"3"	28	498	218	251	"Transitional"
"4"	29	476.5	223.5	188	"Transitional"
"5"	30	476.5	225.5	219	"Transitional"
"6"	31	481	229.5	193	"Transitional"
"7"	32	470	219	181	"Transitional"
"8"	33	464.5	205.5	257	"Transitional"
"9"	34	464	220	102	"Transitional"
"10"	35	447	205	187	"Alive"
"11"	36	426	193	277	"Alive"
"12"	37	427	208.5	244	"Alive"
"13"	38	435.5	219.5	124	"Alive"
"14"	39	428	216.5	177	"Dead"
