"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	13	101	828	155	"Alive"
"2"	14	91.5	820	232	"Alive"
"3"	15	90.5	817.5	88	"Alive"
"4"	16	82.5	821	75	"Alive"
"5"	17	68.5	803.5	164	"Alive"
"6"	18	53.5	806	324	"Alive"
"7"	19	44	806.5	336	"Alive"
"8"	20	37	796	277	"Dead"
"9"	21	29	795.5	176	"Alive"
"10"	22	23.5	794.5	118	"Alive"
"11"	23	41	779.5	256	"Alive"
"12"	24	44	781.5	247	"Alive"
"13"	25	38	774	264	"Alive"
"14"	26	32.5	765.5	274	"Alive"
"15"	27	31	757	297	"Alive"
"16"	28	37.5	754	308	"Alive"
