"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	11	1427	870.5	192	"Alive"
"2"	12	1409.5	868.5	209	"Alive"
"3"	13	1389.5	868	221	"Alive"
"4"	14	1396.5	886	202	"Alive"
"5"	15	1399	889.5	224	"Alive"
"6"	16	1404.5	891	223	"Alive"
"7"	17	1393.5	894.5	219	"Alive"
"8"	18	1396.5	889.5	238	"Alive"
"9"	19	1409	891	283	"Alive"
"10"	20	1402.5	896.5	240	"Alive"
"11"	21	1400	890.5	228	"Alive"
"12"	22	1399	892.5	263	"Alive"
"13"	23	1402.5	887	282	"Alive"
"14"	24	1396.5	891	283	"Alive"
"15"	25	1394.5	897.5	256	"Alive"
"16"	26	1381	904	397	"Alive"
"17"	27	1374	894	260	"Alive"
"18"	28	1368	896.5	290	"Alive"
"19"	29	1375	902	179	"Alive"
"20"	30	1350.5	894.5	97	"Dead"
"21"	31	1336	896.5	107	"Transitional"
"22"	32	1346.5	905	137	"Dead"
"23"	33	1361.5	895.5	232	"Dead"
"24"	34	1358	908	158	"Dead"
"25"	35	1376	899.5	158	"Dead"
"26"	36	1394	918	158	"Dead"
"27"	37	1406.5	920	154	"Dead"
"28"	38	1405.5	932	361	"Dead"
"29"	39	1428.5	947.5	141	"Alive"
