"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	14	52	101	137	"Alive"
"2"	15	53	95.5	298	"Alive"
"3"	16	47	86.5	299	"Alive"
"4"	17	49	86	250	"Alive"
"5"	18	51	80	144	"Alive"
"6"	19	53.5	77.5	225	"Dead"
"7"	20	41.5	78.5	318	"Transitional"
"8"	21	51	72	383	"Transitional"
"9"	22	50.5	80	529	"Alive"
"10"	23	58.5	83.5	771	"Transitional"
"11"	24	63	85	342	"Dead"
"12"	25	64.5	87	308	"Dead"
"13"	26	72.5	93	68	"Dead"
"14"	27	58.5	81	181	"Dead"
"15"	28	65	87	195	"Alive"
"16"	29	68	90	203	"Alive"
"17"	30	66.5	112.5	229	"Alive"
"18"	31	79	105.5	208	"Alive"
"19"	32	82.5	90.5	280	"Alive"
"20"	33	101.5	76	212	"Alive"
"21"	34	109	85	204	"Alive"
"22"	35	106.5	111.5	206	"Alive"
