"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	10	828	199	203	"Alive"
"2"	11	837	201	198	"Alive"
"3"	12	854	203	242	"Alive"
"4"	13	871.5	214	244	"Alive"
"5"	14	870.5	210.5	227	"Alive"
"6"	15	878	221.5	214	"Alive"
"7"	16	884	232	211	"Alive"
"8"	17	881	238	205	"Alive"
"9"	18	884.5	249	234	"Alive"
"10"	19	899	258.5	228	"Alive"
"11"	20	892.5	267	255	"Alive"
"12"	21	881.5	264.5	259	"Alive"
"13"	22	868	261	256	"Alive"
"14"	23	856.5	248	272	"Alive"
"15"	24	850.5	244.5	251	"Alive"
"16"	25	845.5	254.5	253	"Alive"
"17"	26	844.5	243	246	"Alive"
"18"	27	842.5	226	214	"Alive"
"19"	28	835.5	223.5	231	"Alive"
"20"	29	832	209.5	186	"Transitional"
"21"	30	837.5	202.5	391	"Transitional"
"22"	31	815.5	199.5	263	"Alive"
"23"	32	807	198.5	325	"Dead"
"24"	33	786.5	194.5	215	"Alive"
"25"	34	793	188.5	177	"Alive"
"26"	35	791	186.5	170	"Alive"
"27"	36	768	201	256	"Alive"
"28"	37	776	177.5	97	"Alive"
"29"	38	771	195.5	248	"Alive"
"30"	39	780.5	183	208	"Dead"
