"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	23	1267	782	147	"Alive"
"2"	24	1257.5	781	177	"Alive"
"3"	25	1249	798	197	"Alive"
"4"	26	1245.5	815	209	"Alive"
"5"	27	1236.5	811.5	250	"Alive"
"6"	28	1217.5	809	201	"Alive"
"7"	29	1212	823	761	"Alive"
"8"	30	1210	810	410	"Alive"
"9"	31	1197.5	839.5	308	"Transitional"
"10"	32	1214.5	842.5	349	"Dead"
"11"	33	1220.5	848	186	"Dead"
"12"	34	1195.5	860.5	91	"Dead"
"13"	35	1204	836.5	67	"Dead"
"14"	36	1205	809.5	152	"Dead"
"15"	37	1197.5	813	152	"Dead"
"16"	38	1193	807	191	"Dead"
"17"	39	1205.5	813	147	"Dead"
