"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	25	682	275	179	"Alive"
"2"	26	685.5	260.5	199	"Alive"
"3"	27	678	241.5	220	"Alive"
"4"	28	685	235.5	211	"Alive"
"5"	29	671.5	227.5	218	"Alive"
"6"	30	668.5	221	419	"Alive"
"7"	31	672	213	365	"Transitional"
"8"	32	678.5	240.5	119	"Alive"
"9"	33	669.5	239.5	193	"Alive"
"10"	34	666	259.5	173	"Alive"
"11"	35	668.5	256.5	168	"Alive"
"12"	36	673.5	250.5	183	"Alive"
"13"	37	673	242	180	"Alive"
"14"	38	680.5	239	177	"Alive"
"15"	39	673.5	241	201	"Alive"
