"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	15	1322.5	617.5	123	"Alive"
"2"	16	1328	609.5	132	"Alive"
"3"	17	1327	607	133	"Alive"
"4"	18	1322.5	621	144	"Alive"
"5"	19	1337.5	611	178	"Alive"
"6"	20	1334	614	218	"Alive"
"7"	21	1329	620.5	226	"Alive"
"8"	22	1322.5	625	225	"Alive"
"9"	23	1320	623	236	"Alive"
"10"	24	1323	616	246	"Alive"
"11"	25	1324	610.5	222	"Alive"
"12"	26	1324	612.5	291	"Alive"
"13"	27	1326	614	265	"Alive"
"14"	28	1323	621	410	"Alive"
"15"	29	1321.5	616.5	411	"Alive"
"16"	30	1317.5	593	307	"Alive"
"17"	31	1307	584	195	"Alive"
"18"	32	1297	585	192	"Alive"
"19"	33	1291	586	221	"Alive"
"20"	34	1290	587	166	"Alive"
"21"	35	1292.5	584.5	190	"Alive"
"22"	36	1292	571.5	172	"Alive"
"23"	37	1279	574	197	"Alive"
"24"	38	1297	566	173	"Alive"
"25"	39	1290.5	574.5	250	"Alive"
