"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	8	430	1014.5	270	"Alive"
"2"	9	415.5	1020	283	"Alive"
"3"	10	411.5	1018	299	"Alive"
"4"	11	412	1030.5	353	"Alive"
"5"	12	431	1036.5	171	"Alive"
"6"	13	450.5	1035.5	212	"Alive"
"7"	14	449	1052	181	"Alive"
"8"	15	452.5	1027.5	398	"Alive"
"9"	16	460.5	1035	255	"Alive"
"10"	17	464.5	1032	264	"Alive"
"11"	18	478	1045.5	195	"Dead"
"12"	19	472.5	1039.5	138	"Alive"
"13"	20	470.5	1032	312	"Alive"
"14"	21	488.5	1016.5	306	"Alive"
"15"	22	498	1022.5	701	"Transitional"
"16"	23	502.5	1020	242	"Alive"
"17"	24	513	1017.5	307	"Alive"
"18"	25	520	1018.5	132	"Alive"
"19"	26	512	1018.5	145	"Alive"
"20"	27	511.5	1017.5	194	"Alive"
"21"	28	506.5	999.5	162	"Alive"
"22"	29	501	997.5	186	"Alive"
"23"	30	512.5	988	191	"Alive"
"24"	31	510.5	968.5	228	"Alive"
"25"	32	511.5	964	228	"Dead"
"26"	33	504.5	942.5	307	"Dead"
"27"	34	535.5	938.5	214	"Dead"
"28"	35	516	925.5	192	"Dead"
