"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	19	520.5	846	241	"Alive"
"2"	20	509	835.5	122	"Transitional"
"3"	21	486	842	109	"Dead"
"4"	22	495	846	150	"Dead"
"5"	23	490.5	836	162	"Dead"
"6"	24	493.5	839	56	"Alive"
"7"	25	480	849.5	130	"Alive"
"8"	26	483.5	842	128	"Alive"
"9"	27	481	863	108	"Dead"
"10"	28	499.5	856	265	"Dead"
"11"	29	497	854.5	201	"Dead"
"12"	30	499.5	840.5	120	"Dead"
"13"	31	484	854.5	176	"Dead"
"14"	32	502.5	871	73	"Dead"
"15"	33	513	858	84	"Dead"
"16"	34	520	853	285	"Dead"
"17"	35	525	827	261	"Alive"
"18"	36	536.5	840.5	136	"Alive"
"19"	37	547.5	826	123	"Alive"
"20"	38	548	820	162	"Alive"
"21"	39	563	812.5	209	"Dead"
