"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	24	1216	9	321	"Dead"
"2"	25	1219	20.5	162	"Dead"
"3"	26	1222.5	27	144	"Alive"
"4"	27	1216	35.5	294	"Alive"
"5"	28	1223	40	139	"Alive"
"6"	29	1220	42	179	"Alive"
"7"	30	1208.5	28.5	214	"Transitional"
"8"	31	1198.5	17	291	"Dead"
"9"	32	1210	31.5	167	"Transitional"
"10"	33	1211.5	29	166	"Alive"
"11"	34	1208.5	23	251	"Dead"
"12"	35	1200.5	19	135	"Dead"
"13"	36	1192	22	226	"Dead"
"14"	37	1207.5	6.5	77	"Dead"
"15"	38	1209.5	14.5	180	"Dead"
"16"	39	1214	5.5	146	"Dead"
