"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	7	886.5	646	189	"Alive"
"2"	8	883	648.5	211	"Alive"
"3"	9	887	637	224	"Alive"
"4"	10	876	645.5	224	"Alive"
"5"	11	864.5	645	237	"Alive"
"6"	12	858.5	641.5	279	"Alive"
"7"	13	843	633	277	"Alive"
"8"	14	835.5	628.5	314	"Alive"
"9"	15	838.5	616.5	301	"Alive"
"10"	16	831	611	378	"Alive"
"11"	17	828	608	359	"Alive"
"12"	18	820.5	599.5	353	"Alive"
"13"	19	829	572	343	"Alive"
"14"	20	841	564.5	369	"Alive"
"15"	21	859	547	241	"Alive"
"16"	22	850.5	549.5	126	"Alive"
