"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	3	1219	949.5	160	"Alive"
"2"	4	1215	955	193	"Alive"
"3"	5	1205	965.5	252	"Alive"
"4"	6	1194.5	968	273	"Alive"
"5"	7	1188	958.5	216	"Alive"
"6"	8	1170	981	231	"Alive"
"7"	9	1165.5	989.5	249	"Alive"
"8"	10	1174.5	992	248	"Transitional"
"9"	11	1189.5	994.5	240	"Transitional"
"10"	12	1197	1005	276	"Transitional"
"11"	13	1209.5	1006.5	312	"Transitional"
"12"	14	1213	1005	325	"Transitional"
"13"	15	1208	1002	320	"Alive"
"14"	16	1206	1004	353	"Transitional"
"15"	17	1215.5	1011.5	343	"Alive"
"16"	18	1232	1014	326	"Alive"
"17"	19	1229	1023.5	345	"Alive"
"18"	20	1220	1023.5	264	"Transitional"
"19"	21	1221.5	1030.5	129	"Alive"
"20"	22	1238	1028	227	"Alive"
