"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	4	111	679.5	161	"Alive"
"2"	5	110.5	688	192	"Alive"
"3"	6	109	684	196	"Alive"
"4"	7	107	683	194	"Alive"
"5"	8	112	693	252	"Alive"
"6"	9	116.5	693	263	"Alive"
"7"	10	118.5	688.5	255	"Alive"
"8"	11	113	688.5	239	"Alive"
"9"	12	101.5	694	253	"Alive"
"10"	13	92.5	697	252	"Alive"
"11"	14	92	703.5	259	"Alive"
"12"	15	93.5	691	263	"Alive"
"13"	16	91.5	686.5	300	"Alive"
"14"	17	91	672.5	286	"Alive"
"15"	18	95.5	686	314	"Alive"
"16"	19	95.5	695.5	305	"Alive"
"17"	20	102	708.5	332	"Alive"
