"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	3	961	657.5	108	"Alive"
"2"	4	944.5	671.5	117	"Alive"
"3"	5	936.5	664.5	141	"Alive"
"4"	6	928	668.5	161	"Alive"
"5"	7	925.5	665.5	163	"Alive"
"6"	8	931.5	669	119	"Transitional"
"7"	9	916.5	680.5	135	"Alive"
"8"	10	911	682	194	"Alive"
"9"	11	912.5	684	168	"Alive"
"10"	12	921.5	690	189	"Alive"
"11"	13	920	697	170	"Alive"
"12"	14	929.5	688.5	235	"Alive"
"13"	15	937.5	680.5	286	"Transitional"
"14"	16	955	709	198	"Alive"
"15"	17	953.5	717.5	243	"Alive"
"16"	18	946.5	727	177	"Alive"
"17"	19	956	741	219	"Alive"
"18"	20	963	742.5	225	"Alive"
"19"	21	972	751.5	229	"Alive"
"20"	22	976.5	763.5	206	"Alive"
"21"	23	982.5	751.5	211	"Transitional"
"22"	24	986	746.5	247	"Transitional"
"23"	25	977.5	745.5	336	"Transitional"
"24"	26	963.5	735.5	170	"Alive"
"25"	27	958	720	78	"Transitional"
