"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	24	712.5	548.5	67	"Dead"
"2"	25	687.5	559	181	"Alive"
"3"	26	671.5	565	168	"Alive"
"4"	27	672	573	202	"Alive"
"5"	28	666	582	150	"Alive"
"6"	29	660.5	589.5	210	"Alive"
"7"	30	658.5	592	205	"Transitional"
"8"	31	666	589.5	256	"Alive"
"9"	32	676	590.5	116	"Alive"
"10"	33	655	593.5	176	"Alive"
"11"	34	672.5	578	188	"Alive"
"12"	35	665.5	577.5	292	"Alive"
"13"	36	671	583	217	"Alive"
"14"	37	687	599.5	357	"Alive"
"15"	38	682	616.5	236	"Alive"
