"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	21	464	339	290	"Transitional"
"2"	22	487	349.5	204	"Alive"
"3"	23	490.5	359	177	"Dead"
"4"	24	505.5	357	213	"Alive"
"5"	25	502	351	182	"Alive"
"6"	26	495.5	353	220	"Alive"
"7"	27	497	347.5	246	"Alive"
"8"	28	497	323	113	"Dead"
"9"	29	521	325.5	203	"Transitional"
"10"	30	545.5	317	90	"Alive"
"11"	31	560	323.5	98	"Alive"
"12"	32	541	319	196	"Transitional"
"13"	33	540	329.5	80	"Transitional"
"14"	34	532.5	334.5	171	"Transitional"
"15"	35	529.5	348.5	220	"Transitional"
"16"	36	519.5	357.5	69	"Alive"
"17"	37	512	360	104	"Alive"
"18"	38	511.5	381.5	309	"Alive"
"19"	39	506	374.5	234	"Alive"
