"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	18	866	195.5	224	"Transitional"
"2"	19	888	204.5	213	"Transitional"
"3"	20	900.5	213.5	237	"Transitional"
"4"	21	919.5	216	420	"Transitional"
"5"	22	915	213	219	"Dead"
"6"	23	917	228	194	"Dead"
"7"	24	913.5	216	313	"Dead"
"8"	25	894.5	205.5	187	"Transitional"
"9"	26	906.5	186	136	"Dead"
"10"	27	912	171	113	"UnStained"
"11"	28	918.5	179.5	77	"UnStained"
"12"	29	941.5	176	291	"Alive"
"13"	30	945	181.5	259	"Alive"
"14"	31	929.5	164	221	"Alive"
"15"	32	928	169	183	"Dead"
"16"	33	926.5	165	239	"Alive"
"17"	34	913	175.5	234	"Dead"
"18"	35	885	163	240	"Alive"
