"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	16	842.5	154.5	118	"Alive"
"2"	17	821.5	159.5	279	"Alive"
"3"	18	821	138.5	259	"Alive"
"4"	19	813.5	125.5	451	"Alive"
"5"	20	811	121	347	"Alive"
"6"	21	812.5	128	331	"Alive"
"7"	22	802	108.5	137	"Dead"
"8"	23	800	92.5	175	"Dead"
"9"	24	789	91.5	200	"Dead"
"10"	25	776	91.5	124	"Dead"
"11"	26	764.5	78.5	252	"Dead"
"12"	27	760.5	63	424	"Dead"
"13"	28	764	65	172	"Dead"
"14"	29	767.5	65	219	"Transitional"
"15"	30	786.5	55	260	"Alive"
"16"	31	788.5	31.5	80	"Alive"
"17"	32	781.5	34.5	116	"Alive"
