"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	15	432	705.5	159	"Alive"
"2"	16	416.5	715.5	325	"Alive"
"3"	17	394	728	356	"Alive"
"4"	18	385.5	733	343	"Alive"
"5"	19	386	737	266	"Alive"
"6"	20	393.5	749	388	"Alive"
"7"	21	409	767.5	393	"Alive"
"8"	22	423.5	752.5	348	"Transitional"
"9"	23	429	752.5	356	"Transitional"
"10"	24	422.5	753.5	465	"Transitional"
"11"	25	427.5	757	270	"Dead"
"12"	26	430.5	761	275	"Dead"
"13"	27	422	757.5	269	"Dead"
"14"	28	427	757	170	"Alive"
"15"	29	435.5	763.5	177	"Dead"
"16"	30	440.5	777	125	"Alive"
