"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	22	1076	55	432	"Alive"
"2"	23	1089	77	428	"Alive"
"3"	24	1116	72.5	438	"Alive"
"4"	25	1133.5	68.5	415	"Alive"
"5"	26	1139.5	83.5	120	"Transitional"
"6"	27	1127	101	86	"Dead"
"7"	28	1142.5	110	143	"Alive"
"8"	29	1131.5	115.5	171	"Alive"
"9"	30	1130.5	117.5	169	"Dead"
"10"	31	1149	104.5	226	"Dead"
"11"	32	1176	97	121	"Dead"
"12"	33	1170	107.5	185	"Dead"
"13"	34	1172	106	384	"Dead"
"14"	35	1153	112.5	315	"Dead"
"15"	36	1159.5	104	201	"Dead"
"16"	37	1162	115.5	137	"Dead"
"17"	38	1165.5	113	203	"Dead"
"18"	39	1177	119.5	303	"Dead"
