"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	22	991.5	828	241	"Alive"
"2"	23	984.5	824	208	"Transitional"
"3"	24	977.5	828	201	"Transitional"
"4"	25	984	839	187	"Transitional"
"5"	26	989	849	156	"Dead"
"6"	27	983.5	856.5	571	"Dead"
"7"	28	998.5	855	153	"Dead"
"8"	29	1004	854	156	"Dead"
"9"	30	1013.5	849.5	146	"Dead"
"10"	31	1013	824.5	108	"Transitional"
"11"	32	1029.5	808	302	"Alive"
"12"	33	1013	823.5	200	"Alive"
"13"	34	1024.5	824	195	"Alive"
"14"	35	1012	831.5	292	"Dead"
"15"	36	1018	822	298	"Dead"
"16"	37	1017	850	216	"Alive"
