"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	21	1338.5	459	142	"UnStained"
"2"	22	1354.5	470	254	"UnStained"
"3"	23	1366.5	495	350	"Dead"
"4"	24	1362	496	181	"Dead"
"5"	25	1362.5	495	325	"Dead"
"6"	26	1357	508	94	"Dead"
"7"	27	1345	520	117	"Dead"
"8"	28	1331	491.5	120	"Dead"
"9"	29	1329.5	467.5	192	"Dead"
"10"	30	1321.5	441	209	"UnStained"
"11"	31	1323	446.5	203	"Dead"
"12"	32	1320.5	446	233	"Dead"
"13"	33	1327	462	269	"Dead"
"14"	34	1325	451	211	"Dead"
"15"	35	1322.5	451	234	"Dead"
"16"	36	1307	453	205	"Dead"
"17"	37	1292.5	455	454	"Dead"
"18"	38	1290.5	470	380	"Dead"
"19"	39	1289	461.5	154	"Dead"
