"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	19	1245	88.5	341	"Alive"
"2"	20	1254	99.5	310	"Alive"
"3"	21	1276	106.5	96	"UnStained"
"4"	22	1266	104.5	144	"Dead"
"5"	23	1260.5	103	161	"Dead"
"6"	24	1266	111	217	"Transitional"
"7"	25	1262	98.5	189	"Dead"
"8"	26	1240	93.5	218	"Dead"
"9"	27	1240	98.5	222	"Dead"
"10"	28	1235.5	98.5	197	"Dead"
"11"	29	1226.5	92.5	167	"UnStained"
"12"	30	1223	96	135	"Alive"
"13"	31	1230.5	119	196	"Dead"
"14"	32	1257.5	123.5	147	"Dead"
"15"	33	1258	100	670	"Dead"
"16"	34	1260.5	109	158	"Dead"
"17"	35	1269.5	122	211	"Dead"
"18"	36	1278	123.5	124	"Dead"
"19"	37	1268.5	103	89	"Dead"
"20"	38	1282	93	88	"Dead"
"21"	39	1297.5	84	84	"Dead"
