"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	3	201.5	290	183	"Alive"
"2"	4	200.5	291	250	"Alive"
"3"	5	192.5	289	263	"Alive"
"4"	6	193.5	293.5	291	"Alive"
"5"	7	195.5	299	294	"Alive"
"6"	8	188.5	308	203	"Alive"
"7"	9	179.5	307.5	247	"Alive"
"8"	10	169	299.5	324	"Alive"
"9"	11	161.5	282	247	"Alive"
"10"	12	166.5	280	231	"Alive"
"11"	13	174	288.5	208	"Alive"
"12"	14	177.5	295	248	"Alive"
"13"	15	177	286	281	"Alive"
"14"	16	179.5	281.5	270	"Alive"
"15"	17	184	281.5	263	"Alive"
"16"	18	192	292	273	"Alive"
"17"	19	183	312	71	"Dead"
"18"	20	197.5	318	207	"Dead"
"19"	21	180.5	336	197	"Dead"
"20"	22	178.5	333.5	143	"Dead"
"21"	23	168	341	83	"Dead"
"22"	24	177	338	205	"Dead"
"23"	25	165	355.5	206	"Transitional"
"24"	26	165	332.5	266	"Transitional"
"25"	27	165.5	336.5	535	"Dead"
"26"	28	162.5	344	72	"Dead"
