"tgi_measure","iteration","n","pearson_r","pearson_p","spearman_rho","spearman_p"
"TGI_percent_Day_17",1,8,0.777538009672828,0.0231358211860727,0.62962962962963,0.0943451651056068
"TGI_percent_Day_17",2,8,-0.276352309520996,0.507616477865849,-0.240506329113924,0.566138469404116
"TGI_percent_Day_17",3,8,-0.810846904773477,0.0146097814644378,-0.777777777777778,0.023065589595082
"TGI_percent_Day_17",4,8,-0.738598374236962,0.0363575916326587,-0.317073170731707,0.444132360252344
"TGI_percent_Day_17",5,8,-0.235392352958679,0.574672056727631,0.139240506329114,0.742278902896378
"TGI_percent_Day_17",6,8,0.496773676836828,0.210448639997796,-0.215189873417721,0.608801860963226
"TGI_percent_Day_17",7,8,-0.600987021550421,0.115083370216671,-0.62962962962963,0.094345165105607
"TGI_percent_Day_17",8,8,-0.562266203550749,0.146873005041117,-0.397590361445783,0.32935525869871
"TGI_percent_Day_17",9,8,-0.27019945476528,0.517494264129166,-0.468354430379747,0.241804882823014
"TGI_percent_Day_17",10,8,-0.956957193516039,0.00019298129754337,-0.746835443037975,0.0332525591774179
"TGI_percent_Day_17",11,8,-0.939452809596128,0.000530015781027407,-0.923076923076923,0.00107327636125645
"TGI_percent_Day_17",12,8,-0.668690744428279,0.069821999673678,-0.594936708860759,0.119765536998206
"TGI_percent_Day_17",13,8,-0.808314529398035,0.0151735630693827,-0.802469135802469,0.016526566994929
"TGI_percent_Day_17",14,8,-0.584972605348993,0.127706505891141,-0.315068493150685,0.447177633966065
"TGI_percent_Day_17",15,8,-0.966048872321204,9.5362547481484e-05,-0.802469135802469,0.016526566994929
"TGI_percent_Day_17",16,8,-0.939903294443393,0.000518452176042388,-0.831325301204819,0.0105309230748143
"TGI_percent_Day_17",17,8,-0.613843567155764,0.105483801477359,-0.560975609756098,0.148007079914522
"TGI_percent_Day_17",18,8,-0.893395378555598,0.00279178406905958,-0.925925925925926,0.000960491276443552
"TGI_percent_Day_17",19,8,-0.91516548925325,0.00143089409733668,-0.89873417721519,0.00240296148046002
"TGI_percent_Day_17",20,8,-0.906512734640077,0.00190212152624702,-0.62962962962963,0.094345165105607
"TGI_percent_Day_17",21,8,0.856363374046867,0.00663340936826247,0.384615384615385,0.346809662449871
"TGI_percent_Day_17",22,8,-0.747306085068999,0.0330802489349571,-0.609756097560976,0.108484275261192
"TGI_percent_Day_17",23,8,-0.922946447058313,0.00107863859239605,-0.926829268292683,0.000926422142911447
"TGI_percent_Day_17",24,8,-0.928930967847449,0.00085023737554803,-0.975609756097561,3.5613113190203e-05
"TGI_percent_Day_17",25,8,-0.389346492393555,0.340396801512916,0.0120481927710843,0.977411824587767
"TGI_percent_Day_17",26,8,0.499945430894252,0.207088807541181,0.162162162162162,0.701234279866665
"TGI_percent_Day_17",27,8,-0.944042671069455,0.000419859338483085,-0.731707317073171,0.0390863390212493
"TGI_percent_Day_17",28,8,-0.810344517515838,0.0147205617884211,-0.918918918918919,0.00125287413292553
"TGI_percent_Day_17",29,8,-0.277887264289977,0.50516350557498,-0.180722891566265,0.668450469704889
"TGI_percent_Day_17",30,8,-0.655393880029395,0.0776883285095152,-0.566265060240964,0.143389618739712
"TGI_percent_Day_17",31,8,-0.686684383677946,0.0599563235021534,-0.566265060240964,0.143389618739712
"TGI_percent_Day_17",32,8,-0.250219976033958,0.550052572269801,0.0379746835443038,0.928865891742792
"TGI_percent_Day_17",33,8,-0.615914685125013,0.103981765362229,-0.620253164556962,0.100875222859378
"TGI_percent_Day_17",34,8,-0.916272179173969,0.00137679911453556,-0.682926829268293,0.0619431712593441
"TGI_percent_Day_17",35,8,-0.540302989740337,0.166826350463102,-0.333333333333333,0.419753086419753
"TGI_percent_Day_17",36,8,-0.648879419052345,0.0817228460330116,-0.777777777777778,0.023065589595082
"TGI_percent_Day_17",37,8,-0.881201394875135,0.00382695520215553,-0.802469135802469,0.016526566994929
"TGI_percent_Day_17",38,8,-0.975155933209708,3.76253433023909e-05,-0.925925925925926,0.000960491276443552
"TGI_percent_Day_17",39,8,-0.683824778969239,0.061464867575867,-0.62962962962963,0.094345165105607
"TGI_percent_Day_17",40,8,-0.988155187523948,4.11773559892173e-06,-0.746835443037975,0.0332525591774179
"TGI_percent_Day_17",41,8,-0.968307155658051,7.77039319681772e-05,-1,0
"TGI_percent_Day_17",42,8,-0.614731165510288,0.104838582394041,-0.240506329113924,0.566138469404116
"TGI_percent_Day_17",43,8,-0.55190822863579,0.156110140460442,-0.414634146341463,0.307070866237017
"TGI_percent_Day_17",44,8,-0.860898670668096,0.00604628825682433,-0.240506329113924,0.566138469404116
"TGI_percent_Day_17",45,8,-0.79351197919595,0.0187423624447043,-0.746835443037975,0.0332525591774179
"TGI_percent_Day_17",46,8,-0.90086678172738,0.00225806032471389,-0.333333333333333,0.419753086419753
"TGI_percent_Day_17",47,8,-0.619033075745467,0.101743411247957,-0.468354430379747,0.241804882823014
"TGI_percent_Day_17",48,8,-0.705470679574691,0.0505957371455659,-0.544303797468354,0.163088312636417
"TGI_percent_Day_17",49,8,-0.793728783055259,0.0186866614468294,-0.682926829268293,0.0619431712593441
"TGI_percent_Day_17",50,8,-0.131711064185405,0.755883012645668,-0.048780487804878,0.908681575447135
"TGI_percent_Day_17",51,8,-0.542613770519508,0.164661733520837,-0.180722891566265,0.668450469704889
"TGI_percent_Day_17",52,8,-0.824441154690067,0.0118086300334983,-0.686746987951807,0.0599235467192918
