"iteration","n","pearson_r","pearson_p","spearman_rho","spearman_p"
1,8,0.886684676958421,0.0033353901620064,0.780487804878049,0.0222809739808402
2,8,0.798909916864395,0.0173861750332007,0.536585365853659,0.170340970786708
3,8,0.664512159244499,0.072240926972459,0.580246913580247,0.131572836527669
4,8,0.546318873837911,0.161222994327674,0.772151898734177,0.0247485870017686
5,8,0.581558186546598,0.130493555308392,0.829268292682927,0.0109030266752834
6,8,0.817459569148777,0.0132002875175507,0.777777777777778,0.023065589595082
7,8,0.394475425666146,0.333507357908338,0.384615384615385,0.346809662449871
8,8,0.758996341773293,0.0289747766146829,0.240506329113924,0.566138469404116
9,8,0.145546661911123,0.730929560709722,-0.0379746835443038,0.928865891742792
10,8,0.823630131422861,0.0119652875075203,0.575,0.135941126708984
11,8,0.571616374566914,0.13880029521898,0.560975609756098,0.148007079914522
12,8,0.814244000248105,0.0138744453536056,0.670886075949367,0.0685705618098423
13,8,0.614364413955684,0.105104909965165,0.777777777777778,0.023065589595082
14,8,0.540370673322805,0.166762730205602,0.536585365853659,0.170340970786708
15,8,0.644019304832231,0.0848106451243486,0.316455696202532,0.445069441835733
16,8,-0.0172981360216789,0.967572464433013,-0.111111111111111,0.793374993649342
17,8,0.502250192148925,0.204665124360976,0.301204819277108,0.468469529828104
18,8,0.807110024136236,0.0154464435899768,0.851851851851852,0.00725239908517074
19,8,0.728807638626998,0.0402706699905805,0.594936708860759,0.119765536998206
20,8,0.505484589353821,0.201289073885143,0.777777777777778,0.023065589595082
21,8,0.566096340971294,0.14353565726275,0.731707317073171,0.0390863390212493
22,8,0.733623417620749,0.038315506265375,0.772151898734177,0.0247485870017686
23,8,0.563649838240056,0.145662508271889,0.367088607594937,0.371042516598345
24,8,0.646052265503404,0.083510923599188,0.615384615384616,0.104365016307875
25,8,0.820136239014214,0.0126551623494242,0.891891891891892,0.00290816977750491
26,8,0.823081897124031,0.0120719246134332,0.728395061728395,0.0404409294591197
27,8,0.54607523471876,0.161447906311479,0.4,0.32616
28,8,0.678685656209184,0.0642321044415028,0.609756097560976,0.108484275261192
29,8,0.866691307371416,0.00534627432134849,0.753424657534246,0.0308898246525729
30,8,0.858802799737623,0.00631328707275417,0.972602739726027,5.03610200209817e-05
31,8,0.958259286648555,0.000176166602890174,0.615384615384616,0.104365016307875
32,8,0.997256992587964,5.14904951552906e-08,1,3.42113882891805e-48
33,8,0.504241274147429,0.202583350907052,0.615384615384616,0.104365016307875
34,8,0.816842044154594,0.0133281149609936,0.609756097560976,0.108484275261192
35,8,0.435522283851763,0.280781847292611,0.555555555555556,0.152822232383275
36,8,0.818731129967379,0.0129395158502635,0.9,0.00231624999999999
37,8,0.650062493587708,0.0809812783060366,0.75609756097561,0.0299617108971145
38,8,0.517679807102192,0.188825772571557,0.555555555555556,0.152822232383275
39,8,0.115168391495841,0.785961125121913,0.6,0.11584
40,8,0.69883639998405,0.0537930367266042,0.439024390243902,0.276486445900293
41,8,0.346983514400402,0.399739724068794,0.615384615384616,0.104365016307875
42,8,0.935260203972505,0.000645839526149535,0.974683544303797,3.97984255471566e-05
43,8,0.775022129682175,0.0238807688687281,0.759036144578313,0.0289613665710024
