"compartment","analysis","model","n","residual_df","r_squared","adjusted_r_squared","sigma","aic"
"CellCycle","shift_only","TGI_percent_auc ~ scale(ecdf_rmse)",8,6,0.416712821911303,0.319498292229853,10.7160774324441,64.3494827921122
"CellCycle","shift_ploidy_dose_adjusted","TGI_percent_auc ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + factor(dose_mg)",8,4,0.733255501779793,0.533197128114637,8.87540118276107,62.0903756952946
"CellCycle","shift_by_ploidy_dose_adjusted","TGI_percent_auc ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + factor(dose_mg)",8,4,0.733255501779793,0.533197128114637,8.87540118276107,62.0903756952946
