role	filename	size_bytes	md5	sha256	url
cellranger_h5	4N-A8-RR-Count-HM_filtered_feature_bc_matrix.h5	43482743	382d5353d6f9ee97d1a6eac918d15748		https://zenodo.org/api/records/21463392/files/4N-A8-RR-Count-HM_filtered_feature_bc_matrix.h5/content
cellranger_h5	4N-Cell-Culture-Count-HM_filtered_feature_bc_matrix.h5	154625494	808cfdc0e10413259515bde7ee714a28		https://zenodo.org/api/records/21463392/files/4N-Cell-Culture-Count-HM_filtered_feature_bc_matrix.h5/content
cellranger_h5	A5-4N-L-Count-HM_filtered_feature_bc_matrix.h5	40106009	e6eee8648b21510e2281f094d81457a3		https://zenodo.org/api/records/21463392/files/A5-4N-L-Count-HM_filtered_feature_bc_matrix.h5/content
cellranger_h5	A5-4N-R-Count-HM_filtered_feature_bc_matrix.h5	42220646	5ae55d46c931e8928000868a7dda6fc7		https://zenodo.org/api/records/21463392/files/A5-4N-R-Count-HM_filtered_feature_bc_matrix.h5/content
cellranger_h5	A6-4N-O-Count-HM_filtered_feature_bc_matrix.h5	45887127	b741f1d8d19ff8821304a675948060af		https://zenodo.org/api/records/21463392/files/A6-4N-O-Count-HM_filtered_feature_bc_matrix.h5/content
cellranger_h5	A6-4N-RR-Count-HM_filtered_feature_bc_matrix.h5	61195852	3c5ce0d7f697e95c1f3059afd20814ec		https://zenodo.org/api/records/21463392/files/A6-4N-RR-Count-HM_filtered_feature_bc_matrix.h5/content
support	checksum.md	4049	3308f9f2e8c176de5a1aece97e68b096		https://zenodo.org/api/records/21463392/files/checksum.md/content
support	integrated_sct_cca_seurat_final_reclustered_provenance.csv	19150	9a0aa6a27187f488ca2602f41d934c84		https://zenodo.org/api/records/21463392/files/integrated_sct_cca_seurat_final_reclustered_provenance.csv/content
support	loom_generation_parameters.csv	60188	b6b31520e435e1a579d5a8dfa1ae483d		https://zenodo.org/api/records/21463392/files/loom_generation_parameters.csv/content
support	loom_generation_runtime_environment.csv	18744	b661078a258ac1d2274524d21e9dd080		https://zenodo.org/api/records/21463392/files/loom_generation_runtime_environment.csv/content
support	readme.md	13451	f90aedf2586b79b1cb98f8ac28a9880d		https://zenodo.org/api/records/21463392/files/readme.md/content
support	runtime_environment.md	13578	6ff586c3f8301ab8b45421405cb0f863		https://zenodo.org/api/records/21463392/files/runtime_environment.md/content
support	runtime_environment_packages.csv	20637	7a958b2d78c32fe7e58d968b1155660e		https://zenodo.org/api/records/21463392/files/runtime_environment_packages.csv/content
support	runtime_environment_sessionInfo.txt	7471	3939b29e935023a170d6b430362931e8		https://zenodo.org/api/records/21463392/files/runtime_environment_sessionInfo.txt/content
support	runtime_environment_software.csv	5917	91a9e9e26ed6cfe31a30d790a2bdbf7f		https://zenodo.org/api/records/21463392/files/runtime_environment_software.csv/content
support	runtime_environment_upstream_01_data_packages.csv	22582	aca34d5f21e48ca20131c84866ed11ef		https://zenodo.org/api/records/21463392/files/runtime_environment_upstream_01_data_packages.csv/content
support	runtime_environment_upstream_01_data_sessionInfo.txt	4831	9554332440774da608d69cb80289f177		https://zenodo.org/api/records/21463392/files/runtime_environment_upstream_01_data_sessionInfo.txt/content
