pathway,pval,padj,log2err,ES,NES,size,leading_edge,collection,collection_label,ranking_id,pathway_label,direction,model_id
HALLMARK_UV_RESPONSE_UP,8.103557049076016e-16,3.683435022307281e-15,1.027669870543582,-0.4192890646658061,-2.6279768967126222,147,FEN1;EIF2S3;SELENOW;CHRNA5;RFC4;CCNE1;H2AX;PSMC3;BTG3;AP2S1;PRKACA;BID;MSX1;SIGMAR1;HYAL2;NKX2-5;POLE3;CDC34;PPIF;CEBPG;FKBP4;PDAP1;GRPEL1;UROD;STIP1;ATP6V1F;RPN1;AMD1;PARP2;STK25;FURIN;ARRB2;CDC5L;RAB27A;PPT1;CLCN2;ACAA1;CDK2;SPR;ALAS1;TARS1;PPAT;CCND3;GGH;CLTB;POLR2H;PRPF3;GCH1;PRKCD;DDX21;DNAJA1;MARK2;CYB5B;BSG;SHOX2;WIZ;HMOX1;TGFBRAP1;TYRO3;TAP1;STARD3;CASP3;LYN;TST;TUBA4A;CA2,H,hallmark,primary_adjacent_state,Uv Response Up,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,4.058506600888663e-11,1.691044417036943e-10,0.851339057116899,-0.6028338758030453,-3.14108149782668,47,TXN;PRDX1;NDUFA6;PRDX4;GSR;SOD1;SRXN1;MGST1;ATOX1;LAMTOR5;PRDX6;HMOX2;TXNRD1;STK25;NDUFB4;GLRX2;G6PD;GPX4;GCLM;EGLN2;TXNRD2;NQO1;MSRA;ERCC2;PTPA,H,hallmark,primary_adjacent_state,Reactive Oxygen Species Pathway,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_P53_PATHWAY,1.0876341554157437e-10,4.183208290060553e-10,0.8390889356212738,-0.31065581406094617,-1.9504229930037449,194,PCNA;BAX;PROCR;RAD51C;LDHB;EI24;HINT1;ISCU;SPHK1;NOL8;TRIAP1;SP1;RPL18;UPP1;CCP110;DDB2;CDKN2AIP;S100A10;SFN;WRAP73;RPS12;VWA5A;ZNF365;DCXR;TPD52L1;STEAP3;IFI30;HRAS;MAPKAPK3;TRIB3;PMM1;RPL36;BLCAP;CCND3;RACK1;TM7SF3;WWP1;DNTTIP2;CD81;PPM1D;TNFSF9;TP53;POLH;CASP1;H1-2;VAMP8;HMOX1;PIDD1;FDXR;SLC3A2;RETSAT;EPHA2;CDK5R1;H2AC25;TAP1;STOM;COQ8A;ELP1;TPRKB;AK1;OSGIN1;RHBDF2;RAD9A;DEF6;CGRRF1;TGFB1;SEC61A1;SERPINB5;TAX1BP3;BMP2;ABHD4;PITPNC1,H,hallmark,primary_adjacent_state,P53 Pathway,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_INTERFERON_ALPHA_RESPONSE,1.1624006590141768e-9,4.151430925050632e-9,0.7881868108002371,-0.40585251025608715,-2.4206844975187427,96,PROCR;SLC25A28;PSME2;SAMD9L;PSMA3;PSMB8;USP18;UBA7;HELZ2;TRIM14;CD47;GMPR;IFI30;RNF31;PLSCR1;IFI35;PARP12;RIPK2;PNPT1;CASP1;CSF1;WARS1;PSME1;CASP8;UBE2L6;PSMB9;TAP1;SP110;TRIM25;PARP14;MVB12A;OAS1;EIF2AK2;CCRL2;PARP9;HERC6;NMI;IFI44L;OGFR;ISG15;CNP,H,hallmark,primary_adjacent_state,Interferon Alpha Response,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_MITOTIC_SPINDLE,2.217100144040308e-9,7.390333813467693e-9,0.7749390301364363,-0.2982102437348443,-1.8373736225406962,199,SAC3D1;TUBGCP3;ARHGDIA;SSH2;SMC3;SMC1A;BRCA2;TLK1;EZR;BCR;OPHN1;CLIP1;FBXO5;ARAP3;NIN;ABR;MAP3K11;SHROOM1;TUBD1;CEP72;PREX1;CDC42EP1;PCGF5;UXT;ARHGEF2;RFC1;ROCK1;ARHGAP29;TIAM1;PAFAH1B1;DOCK4;CDC42EP2;TUBGCP5;CD2AP;LMNB1;PKD2;CTTN;CDC42;ITSN1;MYO9B;GEMIN4;TBCD;PCNT;MAP1S;ALMS1;CEP192;KPTN;CDK1;CEP131;NOTCH2;CENPJ;CDK5RAP2;STK38L;ALS2;KNTC1;RHOT2;SEPTIN9;TUBA4A;MAPRE1;ARHGAP10;SASS6;ATG4B;ESPL1;DLG1;RANBP9;HOOK3;CNTRL;YWHAE;TAOK2;HDAC6;FGD6,H,hallmark,primary_adjacent_state,Mitotic Spindle,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_GLYCOLYSIS,4.6832765856417536e-9,1.463523933013048e-8,0.7614608014455848,-0.29875274281881053,-1.8125946217395492,184,TXN;POLR3K;PAXIP1;CLN6;RPE;SLC37A4;NASP;SOD1;TALDO1;NSDHL;GALK1;ALG1;AK3;FUT8;SLC25A10;B3GALT6;RARS1;PPIA;COG2;FKBP4;B3GAT3;ARPP19;GFUS;SLC35A3;PSMC4;GMPPB;CHPF2;GALE;RBCK1;B4GALT2;G6PD;IDH1;CASP6;CYB5A;MDH2;ME1;PRPS1;B4GALT7;DLD;PC;SLC25A13;GNPDA1;NDUFV3;BPNT1;CD44;ALDH9A1;TPST1;CDK1;MDH1;SDC3;DCN;GOT2;GLCE;PGAM1;VCAN;GPC1;PKM;NT5E;PGLS;XYLT2;ALDH7A1;EXT2;GNE;ENO1;HAX1,H,hallmark,primary_adjacent_state,Glycolysis,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_PI3K_AKT_MTOR_SIGNALING,8.914484647371168e-9,2.6219072492268144e-8,0.7477396631498854,-0.3846902114284486,-2.284782846465035,98,E2F1;YWHAB;ARHGDIA;PIN1;CDK4;UBE2N;EIF4E;PPP1CA;PRKAR2A;CFL1;PFN1;SFN;ACTR3;HRAS;PLA2G12A;TRIB3;CDK2;CSNK2B;TRAF2;GRK2;TIAM1;MAPK9;THEM4;AP2M1;DUSP3;PTPN11;ACACA;ARPC3;UBE2D3;ACTR2;AKT1S1;CDK1;CAMK4;NOD1;PRKAG1;ECSIT;ARF1;RPTOR;CALR,H,hallmark,primary_adjacent_state,Pi3k Akt Mtor Signaling,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_CHOLESTEROL_HOMEOSTASIS,1.4883783811453844e-8,4.134384392070512e-8,0.7477396631498854,-0.44321859022083226,-2.5012708903501366,71,ACAT2;FDFT1;SQLE;SREBF2;TMEM97;NSDHL;PLAUR;ETHE1;EBP;HMGCR;FDPS;MVD;CYP51A1;MVK;SCD;LDLR;TNFRSF12A;FABP5;DHCR7;ATF5;TRIB3;FADS2;PLSCR1;PCYT2;FASN;HMGCS1;IDI1;PPARG;ACTG1,H,hallmark,primary_adjacent_state,Cholesterol Homeostasis,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_ANDROGEN_RESPONSE,1.850303839014506e-6,4.869220628985542e-6,0.6435518361507222,-0.33367942739933965,-1.9894077619703996,97,CCND1;ADRM1;GSR;PA2G4;XRCC6;STK39;CENPN;DHCR24;HMGCR;ABCC4;SMS;XRCC5;DBI;UBE2I;FKBP5;SCD;UBE2J1;FADS1;CDC14B;CCND3;TMEM50A;CAMKK2;INSIG1;SPCS3;SORD;KRT8;AKAP12;HMGCS1;NKX3-1;IDI1,H,hallmark,primary_adjacent_state,Androgen Response,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_APOPTOSIS,2.0326113855409795e-6,5.081528463852449e-6,0.6272567397185284,-0.28566505605038417,-1.7621685481938014,149,CCND1;BAX;DAP3;GSR;BRCA1;SOD1;BTG3;BID;EBP;CAV1;TSPO;VDAC2;PAK1;TNFRSF12A;CDC25B;PPP3R1;SLC20A1;PPT1;CDK2;ROCK1;CASP6;GPX4;CASP4;PEA15;GCH1;DNAJA1;GPX1;CASP1;CASP2;CD44;BCAP31;KRT18;IL18;CASP8;HMOX1;FDXR;RETSAT;DCN;TAP1;DFFA;DNM1L;CASP3;TIMP1;PTK2;PDGFRB;RHOT2;RELA;BGN;GNA15;WEE1;BCL2L1;BMP2;RNASEL;ANXA1;SC5D,H,hallmark,primary_adjacent_state,Apoptosis,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_INTERFERON_GAMMA_RESPONSE,3.02068431379318e-6,7.192105509031381e-6,0.6272567397185284,-0.24927081197267234,-1.5241006770326362,185,SLC25A28;PNP;PSMB2;PSMA2;PSME2;SAMD9L;PSMA3;OAS3;IL15RA;UPP1;PSMB8;SRI;USP18;ISOC1;NUP93;PSMB10;HELZ2;TRIM14;APOL6;RBCK1;PTPN1;IFI30;SPPL2A;TAPBP;SAMHD1;RNF31;CASP4;PLSCR1;IFI35;GCH1;PARP12;RIPK2;PNPT1;CASP1;SECTM1;WARS1;PSME1;VAMP8;LYSMD2;CASP8;RNF213;UBE2L6;CD40;PSMB9;PTPN2;TAP1;SP110;MVP;IFNAR2;NOD1;TRIM25;PARP14;CASP3;EIF2AK2,H,hallmark,primary_adjacent_state,Interferon Gamma Response,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_XENOBIOTIC_METABOLISM,5.971395018428727e-6,1.3571352314610744e-5,0.610526878385931,-0.26523757491509076,-1.6496286440318777,164,CDA;SLC1A5;GSR;PGD;TMEM97;HPRT1;PTGES3;CBR1;MTHFD1;GART;PYCR1;UPP1;ARPP19;NMT1;NFS1;PEMT;PSMB10;DCXR;ACP1;PTGR1;MAN1A1;PGRMC1;ACP2;AHCY;ALAS1;PMM1;IDH1;AP4B1;CASP6;HES6;CYB5A;GSTO1;GSS;GCH1;DDT;SLC35B1;DHRS7;PC;MCCC2;ALDH9A1;TPST1;SSR3;BLVRB;ENTPD5;NQO1;HMOX1;PTS;RETSAT;EPHA2;FAH;ACOX2;SLC46A3,H,hallmark,primary_adjacent_state,Xenobiotic Metabolism,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_PEROXISOME,6.554866023052269e-6,1.4249708745765802e-5,0.610526878385931,-0.3279404610018916,-1.9424153975111589,95,CLN6;PRDX1;MSH2;ITGB1BP1;SOD1;CTPS1;DHCR24;FDPS;TSPO;ACOT8;YWHAH;ISOC1;ABCD3;RDH11;NUDT19;HRAS;FADS1;ACAA1;ECI2;IDH1;PEX14;SLC25A19;PEX11B;PEX13;SLC35B2;SLC23A2;ALDH9A1;IDI1;GSTK1;RETSAT;CNBP;MVP,H,hallmark,primary_adjacent_state,Peroxisome,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_PROTEIN_SECRETION,1.2505920462707648e-5,2.6054000963974267e-5,0.5933254763964051,-0.3183586237524331,-1.8590165080681116,94,NAPG;SOD1;AP2S1;RER1;COG2;TMX1;GOSR2;NAPA;ZW10;PPT1;CLTA;AP3S1;AP2M1;STAM;OCRL;KRT18;VPS45;CTSC;CD63;TMED2;DNM1L;CLCN3;USO1;ATP1A1;ARF1;YIPF6;ERGIC3;GLA;ATP7A;RAB14;ARFGEF2;TOM1L1;M6PR;TMED10;TPD52;ARFIP1;SCAMP1;ARFGAP3,H,hallmark,primary_adjacent_state,Protein Secretion,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_UV_RESPONSE_DN,1.3256560895902713e-4,2.6513121791805425e-4,0.5188480777437918,-0.2451121546721519,-1.5184478146013156,139,SYNJ2;SFMBT1;NRP1;CAV1;SRI;PMP22;MRPS31;MAP2K5;KALRN;PTPRM;MAP1B;PRKCE;LDLR;NFIB;DDAH1;MAPK14;TGFBR2;PEX14;SPOP;BCKDHB;INSIG1;APBB2;BDNF;LPAR1;ID1;SCHIP1;BMPR1A;NOTCH2;PPARG;PRDM2;MMP16;SLC7A1;ADGRL2;ANXA2;ARHGEF9;PDGFRB;MIOS;ATRX;SYNE1;DLG1;ATP2B4;FHL2;DAB2;SIPA1L1,H,hallmark,primary_adjacent_state,Uv Response Dn,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_ESTROGEN_RESPONSE_LATE,1.9197349026110674e-4,3.6917978896366683e-4,0.5188480777437918,-0.22971089328170777,-1.3981212031386392,181,SLC29A1;GINS2;CCND1;FDFT1;BCL2;CDC6;XRCC3;HPRT1;BTG3;ITPK1;NXT1;CAV1;RABEP1;STIL;MOCS2;PPIF;FKBP4;CHPT1;DYNLT3;GFUS;SFN;MICB;FKBP5;DCXR;GALE;FOXC1;FABP5;DHCR7;RBBP8;TPD52L1;ETFB;TIAM1;COX6C;BAG1;SCARB1;PLK4;PRSS23;SORD;EMP2;WFS1;CD44;BLVRB;DNAJC1,H,hallmark,primary_adjacent_state,Estrogen Response Late,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_IL2_STAT5_SIGNALING,3.2818726578151195e-4,6.077541958916888e-4,0.49849310876659025,-0.2214248516682356,-1.3942877746296563,169,BCL2;PNP;SLC1A5;CDC6;CCNE1;ST3GAL4;SOCS2;RABGAP1L;NRP1;UMPS;ITGAE;PDCD2L;DCPS;LCLAT1;FLT3LG;FURIN;RHOH;PUS1;PLAGL1;AHCY;UCK2;TIAM1;GPX4;CCND3;GSTO1;LRRC8C;PLSCR1;CD81;AMACR;CKAP4;ETV4;CSF1;SERPINB6;CD44;SYNGR2;CD83;PTRH2;WLS;FAH;GLIPR2;IL18R1;NT5E;TNFRSF1B;BATF3;TGM2;CASP3;RNH1;CA2;PLEC;NCS1;BCL2L1;BMP2;PRNP;TNFRSF9;IL1R2;IKZF2;CYFIP1,H,hallmark,primary_adjacent_state,Il2 Stat5 Signaling,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_NOTCH_SIGNALING,0.008684317125530396,0.01550770915273285,0.3807304007227924,-0.34025213221771944,-1.5494326691561204,29,CCND1;KAT2A;RBX1;CUL1;PSENEN;NOTCH2;APH1A;WNT5A;FZD1;SAP30;PSEN2;SKP1;PRKCA;FZD5;DTX2;FBXW11;TCF7L2;PPARD;LFNG;FZD7;JAG1;ST3GAL6;ARRB1;NOTCH3;DLL1;DTX4;MAML2;HES1,H,hallmark,primary_adjacent_state,Notch Signaling,negative,ETP_reference_balanced_threshold_2_24
