pathway,pval,padj,log2err,ES,NES,size,leading_edge,collection,collection_label,ranking_id,pathway_label,direction,model_id
HALLMARK_MYC_TARGETS_V1,1.4615134716169694e-94,7.307567358084847e-93,2.541826088992374,-0.7982037794149549,-4.917825322949952,200,PCNA;MCM5;KPNB1;MCM6;TYMS;LSM7;SNRPG;SRM;DUT;TFDP1;MCM7;PPM1G;SRSF2;MCM2;NDUFAB1;RANBP1;USP1;MCM4;PSMA4;TXNL4A;NME1;NOP56;SNRPD1;H2AZ1;SET;PSMA7;PRDX4;GLO1;EIF1AX;PHB2;SSBP1;RFC4;HSPE1;SNRPD3;NHP2;NAP1L1;ABCE1;PA2G4;RAN;CDC45;MRPL9;PSMB2;ERH;PHB1;PSMA1;C1QBP;SRSF7;XRCC6;HSP90AB1;SERBP1;PSMA2;SNRPD2;HPRT1;PTGES3;COX5A;CTPS1;SLC25A3;VDAC3;CCT2;UBE2L3;SNRPA;FBL;CDK4;PRDX3;NPM1;EIF2S2;DEK;TUFM;EIF4A1;LSM2;SRSF3;VDAC1;CCT3;PSMD8;CCT7;HNRNPR;POLE3;EIF4E;HNRNPD;PSMB3;TRIM28;EEF1B2;SRPK1;GNL3;NOLC1;HDAC2;RPS10;PCBP1;CYC1;PPIA;SSB;PSMD3;TOMM70;RPL18;PSMD1;RRP9;EIF2S1;AIMP2;HSPD1;PSMA6;SRSF1;APEX1;XPO1;RNPS1;EPRS1;G3BP1;POLD2;HDDC2;RPS3;RPS5;SYNCRIP;SNRPA1;PSMC4;CCT5;PABPC4;RPL22;RSL1D1;RRM1;CCT4;EIF3D;PSMD7;SNRPB2;ACP1;RPL6;PRPS2;SF3B3;NOP16;CLNS1A;DDX18;PSMC6;PWP1;RPS6;CDK2;CBX3;AP3S1;U2AF1;COPS5;EIF3J;RACK1;RPL14;GSPT1;CAD;CUL1;DDX21;EXOSC7;IMPDH2;YWHAQ;RPS2;TCP1;HNRNPA2B1;NCBP2;MRPS18B;RPL34;RUVBL2;NCBP1;TARDBP;PRPF31;GOT2;MAD2L1;RPLP0;CNBP;EIF4H;UBA2;ILF2,H,hallmark,primary_adjacent_state,Myc Targets V1,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_OXIDATIVE_PHOSPHORYLATION,3.209901688423137e-78,8.024754221057842e-77,2.3114174566675016,-0.7493823851604123,-4.617031095763141,200,UQCR10;BAX;NDUFAB1;UQCRFS1;MRPL11;MPC1;MRPS15;ATP5F1D;CYCS;MRPL34;ATP5MC1;TIMM8B;LDHB;NDUFA6;NDUFS8;ATP5MC3;MRPL15;PHB2;SLC25A11;ATP5PF;TIMM9;FXN;NDUFB2;ATP5ME;POLR2F;COX7B;NDUFC2;TOMM22;TIMM13;NDUFS6;HSD17B10;NDUFA4;MRPS12;COX5A;ATP5MF;SLC25A3;VDAC3;UQCRB;PRDX3;ATP5MG;COX15;VDAC1;SDHA;SUCLG1;MRPL35;NDUFA1;UQCRH;ISCU;ATP5F1B;IMMT;SLC25A5;NDUFS3;ATP5F1E;ATP5F1C;PDHA1;NDUFA8;CPT1A;COX5B;NDUFS7;ATP6V0B;TIMM10;SDHD;ATP5PO;CYC1;TIMM50;TOMM70;ATP5F1A;NDUFB8;FDX1;NDUFB7;ATP5PB;VDAC2;HCCS;ECI1;GRPEL1;COX4I1;NDUFA9;COX11;UQCR11;ECHS1;CYB5R3;SLC25A6;OXA1L;SDHB;AFG3L2;NDUFV2;ATP6V1F;NDUFC1;FH;UQCRC2;NDUFB3;PDHB;ACAT1;NDUFB4;NDUFB1;DLAT;HSPA9;ETFB;COX7C;ACAA1;IDH3G;NDUFA5;MRPS30;UQCRQ;ALAS1;IDH1;ATP6AP1;NDUFA2;GPX4;NDUFA7;COX10;CYB5A;NDUFB6;MDH2;COX7A2;COX6C;MRPS11;COX8A;ATP6V0E1;ETFA;CS;PMPCA;COX6B1;NDUFV1;MTX2;DLD;UQCRC1;ATP1B1;TCIRG1;TIMM17A;OGDH;COX17;COX7A2L;ACAA2;ATP6V1E1;NDUFB5;MDH1;SURF1;SLC25A12;ATP6V0C;RETSAT;GOT2,H,hallmark,primary_adjacent_state,Oxidative Phosphorylation,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_E2F_TARGETS,1.4881575435702032e-66,2.4802625726170056e-65,2.129563494158363,-0.7043448502187022,-4.339549661157652,200,POLD3;PCNA;MCM5;LIG1;MCM3;MCM6;UNG;DUT;MCM7;POLA2;SRSF2;MCM2;POLE;TCF19;GINS3;SLBP;MMS22L;RANBP1;USP1;RAD51C;MCM4;DONSON;TIPIN;CDC25A;CNOT9;NME1;NOP56;RAD51AP1;UBE2T;GINS1;H2AZ1;RFC2;ATAD2;HELLS;PRDX4;NAP1L1;PA2G4;SNRPB;RAN;MSH2;CSE1L;CCNE1;BRCA1;DSCC1;SMC3;NASP;DNMT1;H2AX;XRCC6;RFC3;PRKDC;SMC6;CTPS1;CDK4;SSRP1;DEK;RRM2;DCTPP1;BARD1;RPA1;DCK;E2F8;RPA2;SMC1A;LYAR;HMGA1;HNRNPD;BRCA2;POP7;CENPM;TUBB;CHEK2;NOLC1;DDX39A;DCLRE1B;MELK;TMPO;PAICS;ORC6;PSMC3IP;PSIP1;RAD1;POLD1;ASF1B;EED;EIF2S1;IPO7;SRSF1;XPO1;CCP110;POLE4;POLD2;MYBL2;RPA3;SYNCRIP;ZW10;NUP107;LUC7L3;PNN;PHF5A;CDC25B;CHEK1;TBRG4;RBBP7;EZH2;MLH1;PDS5B;TUBG1;TIMELESS;AK2;PRIM2;RAD50;RFC1;NBN;SUV39H1;LMNB1;GSPT1;NAA38;PPM1D;PRPS1;TP53;HUS1;CBX5;SHMT1;CTCF;PLK4,H,hallmark,primary_adjacent_state,E2f Targets,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_MTORC1_SIGNALING,1.4581271268779114e-37,1.8226589085973892e-36,1.5959566534683016,-0.5509749252349901,-3.4056480166000855,197,UNG;MCM2;MCM4;CDC25A;PSMA4;ATP5MC1;PRDX1;SQLE;TOMM40;PNP;SLC1A5;HSPE1;GSR;ELOVL6;GMPS;PSAT1;PSME3;SLC37A4;TMEM97;HPRT1;PSMB5;HMBS;CCT6A;CACYBP;EIF2S2;DHFR;RRM2;RPA1;DHCR24;EBP;IMMT;HMGCR;PSMA3;UCHL5;SDF2L1;QDPR;EEF1E1;DDX39A;POLR3G;PPA1;PPIA;PITPNB;RRP9;HSPD1;PDAP1;PSMD12;EPRS1;ARPC5L;ACLY;CYP51A1;PSMG1;NMT1;TXNRD1;PSMC4;NFYC;STIP1;RPN1;ACTR3;SCD;SSR1;LDLR;RDH11;SEC11A;DHCR7;IFI30;TUBG1;HSPA9;PSMC6;SKAP2;FADS1;G6PD;TRIB3;IDH1;FADS2;COPS5;ME1;PSMD13;NUFIP1;SRD5A1;CORO1A;HSPA4;INSIG1;CYB5B;ACACA;SORD;WARS1;TCEA1;NUP205;UBE2D3;HMGCS1;ACTR2;PSMC2;IDI1,H,hallmark,primary_adjacent_state,Mtorc1 Signaling,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_DNA_REPAIR,7.302303187048549e-37,7.302303187048549e-36,1.5829282179456035,-0.6284872139849432,-3.9230368146049948,148,POLD3;PCNA;LIG1;FEN1;TYMS;SAC3D1;DUT;POLA2;CDA;RAD51;NME1;ADRM1;RFC2;PRIM1;PNP;RFC4;POLR1H;POLR2F;POLR2I;RFC3;GTF2H5;HPRT1;ITPA;RFC5;POLR2J;NUDT9;CSTF3;SSRP1;DGCR8;CCNO;POLA1;RPA2;EDF1;ALYREF;UMPS;NFX1;AK3;ZWINT;GTF3C5;NME4;NT5C3A;APRT;GUK1;POLD1;DAD1;DDB2;POLE4;RPA3;SUPT4H1;NELFCD;POLR2E;NELFE;POLR2K;SNAPC5;NME3;POLR2G;SF3A3;TAF9;CANT1;TARBP2;GPX4;RBX1;POLR2H;MRPL40;NT5C;SMAD5;DGUOK;TP53;POLH;IMPDH2;RAE1;DCTN4;POLR2D;BCAP31;COX17;NCBP2;ERCC4;MPC2;CLP1;SURF1;TAF6,H,hallmark,primary_adjacent_state,Dna Repair,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_G2M_CHECKPOINT,7.003564712286765e-35,5.8363039269056375e-34,1.536458950032153,-0.5338752729289726,-3.3222761605284754,198,MCM5;KPNB1;MCM3;MCM6;CHAF1A;GINS2;RBL1;CCND1;TFDP1;E2F1;POLA2;SRSF2;MCM2;POLE;NSD2;CDC25A;SNRPD1;SQLE;H2AZ1;CDC6;EXO1;CDC45;NASP;H2AX;CDK4;DKC1;SRSF10;BARD1;FANCC;TNPO2;RPA2;POLQ;SMC1A;HMGA1;HNRNPD;CDC7;BRCA2;CASP8AP2;NOLC1;DDX39A;STIL;TMPO;ORC6;ORC5;DTYMK;RAD54L;FBXO5;SRSF1;E2F2;XPO1;LIG3;G3BP1;E2F3;MYBL2;SYNCRIP;CUL5;AMD1;CDC25B;CHEK1;EZH2;PDS5B;NCL;HSPA8;ATF5;PRIM2;MAPK14;UCK2;PAFAH1B1;MEIS2;SUV39H1;LMNB1;GSPT1;HUS1;UPF1;CUL1;CTCF;MTF2;PLK4;E2F4;JPT1;CHMP1A;DBF4;PURA;SLC38A1,H,hallmark,primary_adjacent_state,G2m Checkpoint,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_ADIPOGENESIS,2.762071281173297e-25,1.9729080579809264e-24,1.303093150865724,-0.4636722939024031,-2.8813915794461833,191,UQCR10;NDUFAB1;SAMM50;MRPL15;SLC19A1;SLC1A5;ELOVL6;CHCHD10;COX7B;SOD1;REEP5;PRDX3;RAB34;TALDO1;RTN3;JAGN1;SUCLG1;PREB;IMMT;NDUFS3;QDPR;COQ9;SLC25A10;ATP5PO;DNAJC15;CYC1;SLC5A6;MTCH2;NDUFB7;GRPEL1;MYLK;GHITM;ACLY;SLC25A1;UQCR11;ECHS1;NMT1;PEMT;SDHB;DHRS7B;TKT;GPHN;ESRRA;GPAT4;DHCR7;DLAT;ETFB;AK2;IDH3G;NDUFA5;RMDN3;UQCRQ;IDH1;CMBL;PEX14;GPX4;ATL2;ATP1B3;DRAM2;MDH2;ME1;NKIRAS1;COX8A;CS;ELMOD3;SLC66A3;DDT;SCARB1;ITSN1;DLD;UQCRC1;STAT5A;DHRS7;COQ3;CD151;RNF11;ACADS;ACAA2;CMPK1;PTCD3;RETSAT;PPARG;FAH;GPAM;CHUK;STOM;CAVIN1;COQ5;TST;COX6A1;MIGA2;CPT2;ESYT1;ADCY6;ACADM;IDH3A;SCP2;CDKN2C;ARAF;ADIPOR2,H,hallmark,primary_adjacent_state,Adipogenesis,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_MYC_TARGETS_V2,1.3849859797217778e-24,8.656162373261111e-24,1.2871036723014444,-0.7731296781066477,-4.183773103799825,58,MCM5;UNG;SRM;MCM4;MRTO4;NOP56;SLC19A1;HSPE1;PA2G4;PHB1;TMEM97;RABEPK;CDK4;IMP4;EXOSC5;NPM1;DCTPP1;GNL3;NOLC1;NDUFAF4;LAS1L;UTP20;RRP9;AIMP2;HSPD1;FARSA;TCOF1;NIP7;NOC4L;TBRG4;PPAN;NOP16;PUS1;WDR43;DDX18;BYSL;CBX3;IPO4;GRWD1;PLK4;SORD;MPHOSPH10,H,hallmark,primary_adjacent_state,Myc Targets V2,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_FATTY_ACID_METABOLISM,2.5207489859884537e-22,1.4004161033269187e-21,1.221053756771862,-0.5122275332920477,-3.1927844049707312,138,ACAT2;H2AZ1;ADSL;HSD17B10;CBR1;NSDHL;SDHA;SUCLG1;DHCR24;GRHPR;MIX23;RAP1GDS1;PDHA1;CPT1A;HSDL2;SDHD;PRDX6;ACOT8;PCBD1;SMS;NTHL1;HCCS;YWHAH;ECI1;APEX1;UROD;ECHS1;S100A10;CBR3;FH;HSP90AA1;RDH11;PDHB;ERP29;NCAPH2;ACAA1;IDH3G;ECI2;IDH1;UROS;MDH2;NBN;ME1;BCKDHB;CRYZ;DLD;METAP1;PSME1;ALDH9A1;FASN;ACADS;HMGCS1;ACAA2;ACOT2;IDI1;MDH1;ALAD;SUCLG2;PTPRG;UBE2L6;PTS;RETSAT,H,hallmark,primary_adjacent_state,Fatty Acid Metabolism,negative,ETP_reference_balanced_threshold_2_24
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,1.1816121777052861e-19,5.908060888526431e-19,1.142191202168377,-0.5336906241347075,-3.2256893271599645,110,EIF4EBP1;NOP56;BANF1;NHP2;PSAT1;EXOSC4;EXOSC9;H2AX;DKC1;EXOSC5;NPM1;EIF4A1;LSM4;PREB;EIF4E;SPCS1;NOLC1;EXOC2;CEBPG;EEF2;RRP9;EIF2S1;EIF4G1;GOSR2;YIF1A;POP4;SSR1;SEC11A;KHSRP;SRPRB;HSPA9;DDX10;SDAD1;EIF4A3;TARS1;EXOSC1;EXOSC2;NFYA;PDIA5;GEMIN4;SPCS3;WFS1;LSM1;RPS14;EDC4;EXOSC10;CXXC1;ATP6V0D1;SRPRA,H,hallmark,primary_adjacent_state,Unfolded Protein Response,negative,ETP_reference_balanced_threshold_2_24
