"method","compartment","sample_set","reference_type","shift_metric","tgi_measure","tgi_day","n","pearson_r","pearson_p_asymptotic","pearson_p_permutation_two_sided","pearson_p_permutation_positive","pearson_n_permutations","pearson_permutation_mode","spearman_rho","spearman_p_asymptotic","spearman_p_permutation_two_sided","spearman_p_permutation_positive","spearman_n_permutations","spearman_permutation_mode","pre_specified_primary","pearson_q_exploratory","spearman_q_exploratory"
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_10",10,8,0.583957700276712,0.128531416680168,0.142885711428857,0.0792920707929207,10000,"monte_carlo_TGI_label_permutation",0.357142857142857,0.385120643556256,0.387461253874613,0.196380361963804,10000,"monte_carlo_TGI_label_permutation",FALSE,0.236500487882246,0.535763566500493
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_14",14,8,0.486122632584671,0.221937483696416,0.230676932306769,0.111488851114889,10000,"monte_carlo_TGI_label_permutation",0.452380952380952,0.260404767436885,0.263773622637736,0.12998700129987,10000,"monte_carlo_TGI_label_permutation",FALSE,0.357177185507256,0.41879682999442
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_17",17,8,0.66440739695059,0.0723021961508665,0.0789930555555556,0.0420634920634921,40320,"exact_TGI_label_enumeration",0.523809523809524,0.182720750539715,0.196626984126984,0.0983134920634921,40320,"exact_TGI_label_enumeration",FALSE,0.180555555555556,0.384729527047295
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_21",21,8,0.396698525626847,0.330541560779978,0.329067093290671,0.158484151584842,10000,"monte_carlo_TGI_label_permutation",0.166666666666667,0.693238811728395,0.699330066993301,0.354064593540646,10000,"monte_carlo_TGI_label_permutation",FALSE,0.438756124387561,0.860713928607139
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_24",24,8,0.734914727065727,0.0378012860849845,0.0406959304069593,0.0224977502249775,10000,"monte_carlo_TGI_label_permutation",0.619047619047619,0.101733037454265,0.111488851114889,0.053994600539946,10000,"monte_carlo_TGI_label_permutation",FALSE,0.180555555555556,0.36028397160284
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_27",27,8,0.808555173924915,0.0151194108786285,0.0224977502249775,0.0100989901009899,10000,"monte_carlo_TGI_label_permutation",0.761904761904762,0.0280049391530718,0.0366963303669633,0.0175982401759824,10000,"monte_carlo_TGI_label_permutation",FALSE,0.180555555555556,0.339737454825946
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_31",31,8,0.839028075532916,0.009209345177847,0.0091990800919908,0.0028997100289971,10000,"monte_carlo_TGI_label_permutation",0.833333333333333,0.0101755401234568,0.0152984701529847,0.0085991400859914,10000,"monte_carlo_TGI_label_permutation",FALSE,0.180555555555556,0.339737454825946
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_34",34,8,0.38456971653497,0.346871832827948,0.345365463453655,0.177882211778822,10000,"monte_carlo_TGI_label_permutation",0.119047619047619,0.77888572605238,0.789421057894211,0.394260573942606,10000,"monte_carlo_TGI_label_permutation",FALSE,0.454179239610286,0.913065319974027
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_38",38,8,-0.289753583132149,0.486354728148841,0.473552644735526,0.758824117588241,10000,"monte_carlo_TGI_label_permutation",-0.452380952380952,0.260404767436885,0.27047295270473,0.875412458754125,10000,"monte_carlo_TGI_label_permutation",FALSE,0.548995702839355,0.41879682999442
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_mean_abs","TGI_percent_auc",NA,8,0.635169857501465,0.0906046210025877,0.0891910808919108,0.0423957604239576,10000,"monte_carlo_TGI_label_permutation",0.619047619047619,0.101733037454265,0.117488251174883,0.0581941805819418,10000,"monte_carlo_TGI_label_permutation",FALSE,0.190274305902743,0.363834584283507
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_mean_abs","TGI_percent_Day_3",3,8,-0.462519311166341,0.248518890431009,0.262673732626737,0.853014698530147,10000,"monte_carlo_TGI_label_permutation",-0.142857142857143,0.735764859879812,0.752224777522248,0.644035596440356,10000,"monte_carlo_TGI_label_permutation",FALSE,0.389425672817334,0.886155286910333
