collection_id	collection_label	collection_display_order	pathway_id	pathway_label	pathway_display_order	selected_direction	selected_rank_within_direction	pseudotime	standardized_activity
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.096	-0.411240465805875
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.098	-0.404001256106535
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.1	-0.396630256218041
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.102	-0.38912385545028
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.104	-0.381478443113138
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.106	-0.373690408516501
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.108	-0.365756140970254
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.11	-0.357672029784286
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.112	-0.349434464268481
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.114	-0.341039833732726
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.116	-0.332484527486906
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.118	-0.32376493484091
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.12	-0.314877445104621
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.122	-0.305818447587927
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.124	-0.296584331600714
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.126	-0.287171486452868
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.128	-0.277576301454275
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.13	-0.267795165914822
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.132	-0.257824469144394
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.134	-0.247660600452878
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.136	-0.23729994915016
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.138	-0.226738904546126
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.14	-0.215973855950663
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.142	-0.205001192673656
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.144	-0.193817304024993
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.146	-0.182418579314559
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.148	-0.170801407852239
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.15	-0.158962178947921
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.152	-0.146897281911491
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.154	-0.134603106052834
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.156	-0.122076040681837
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.158	-0.109312475108388
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.16	-0.0963087986423701
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.162	-0.0830614005936707
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.164	-0.0695666702721766
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.166	-0.0558209969877735
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.168	-0.0418207700503479
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.17	-0.0275623787697852
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.172	-0.0130422124559729
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.174	0.00174333958120355
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.176	0.0167976401464885
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.178	0.032118350681125
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.18	0.0476974312628566
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.182	0.0635265940840555
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.184	0.0795975513370941
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.186	0.0959020152143468
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.188	0.112431697908187
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.19	0.129178311610986
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.192	0.146133568515118
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.194	0.163289180812957
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.196	0.180636860696874
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.198	0.198168320359243
