fig3h_group	ploidy_class	dose_response_label	analysis_cloneid_origin	origin_resolution_status	origin_resolution_distance_edges	origin	cloneID	profile_label	profile_size	db_size	weight_used	autosomal_ploidy	marker_chromosome_count	marker_chromosome_ploidy	clone_ploidy	state	alias	parent	sampleSource	rootID
HGC	High	HGC-27_G1_A10_harvesT3	HGC-27_G1_A9_harvesT155	nearest_pedigree_genome_perspective	2	HGC-27_G1_A9_harvesT155	483969	SP_0.0500035_ID483969	0.0500035	0.0500035	0.0500035	2.68550760367716	16	0.759171113743969	3.44467871742113	10	HGC27-G1-A9	483988	HGC-27	483988
HGC	High	HGC-27_G1_A10_harvesT3	HGC-27_G1_A9_harvesT155	nearest_pedigree_genome_perspective	2	HGC-27_G1_A9_harvesT155	483977	SP_0.0499954_ID483977	0.0499954	0.0499954	0.0499954	2.3090800156066	19	1.07663793824455	3.38571795385114	18	HGC27-G1-A9	483988	HGC-27	483988
HGC	High	HGC-27_G1_A10_harvesT3	HGC-27_G1_A9_harvesT155	nearest_pedigree_genome_perspective	2	HGC-27_G1_A9_harvesT155	483973	SP_0.0499825_ID483973	0.0499825	0.0499825	0.0499825	2.66775735301241	12	0.67136407227646	3.33912142528887	14	HGC27-G1-A9	483988	HGC-27	483988
HGC	High	HGC-27_G1_A10_harvesT3	HGC-27_G1_A9_harvesT155	nearest_pedigree_genome_perspective	2	HGC-27_G1_A9_harvesT155	483976	SP_0.0500175_ID483976	0.0500175	0.0500175	0.0500175	2.29990479985034	19	0.873451840645877	3.17335664049622	17	HGC27-G1-A9	483988	HGC-27	483988
HGC	High	HGC-27_G1_A10_harvesT3	HGC-27_G1_A9_harvesT155	nearest_pedigree_genome_perspective	2	HGC-27_G1_A9_harvesT155	483974	SP_0.0500021_ID483974	0.0500021	0.0500021	0.0500021	2.61520192342547	13	0.726876735864692	3.34207865929016	15	HGC27-G1-A9	483988	HGC-27	483988
HGC	High	HGC-27_G1_A10_harvesT3	HGC-27_G1_A9_harvesT155	nearest_pedigree_genome_perspective	2	HGC-27_G1_A9_harvesT155	483981	SP_0.0500036_ID483981	0.0500036	0.0500036	0.0500036	2.16872646260707	16	0.641294947963197	2.81002141057027	3	HGC27-G1-A9	483988	HGC-27	483988
HGC	High	HGC-27_G1_A10_harvesT3	HGC-27_G1_A9_harvesT155	nearest_pedigree_genome_perspective	2	HGC-27_G1_A9_harvesT155	483982	SP_0.0500004_ID483982	0.0500004	0.0500004	0.0500004	2.7763170501599	16	0.668027101342686	3.44434415150258	4	HGC27-G1-A9	483988	HGC-27	483988
HGC	High	HGC-27_G1_A10_harvesT3	HGC-27_G1_A9_harvesT155	nearest_pedigree_genome_perspective	2	HGC-27_G1_A9_harvesT155	483983	SP_0.0499909_ID483983	0.0499909	0.0499909	0.0499909	1.97822699261934	16	0.771001141492066	2.74922813411141	5	HGC27-G1-A9	483988	HGC-27	483988
HGC	High	HGC-27_G1_A10_harvesT3	HGC-27_G1_A9_harvesT155	nearest_pedigree_genome_perspective	2	HGC-27_G1_A9_harvesT155	483971	SP_0.0499954_ID483971	0.0499954	0.0499954	0.0499954	2.2230951152572	17	0.856304921412475	3.07940003666967	12	HGC27-G1-A9	483988	HGC-27	483988
HGC	High	HGC-27_G1_A10_harvesT3	HGC-27_G1_A9_harvesT155	nearest_pedigree_genome_perspective	2	HGC-27_G1_A9_harvesT155	483968	SP_0.0499925_ID483968	0.0499925	0.0499925	0.0499925	2.23803150776926	15	1.0413110731426	3.27934258091186	1	HGC27-G1-A9	483988	HGC-27	483988
