sample_id	initial_ploidy	dose	dose_mg	sample_mean_endpoint_ploidy	sample_median_endpoint_ploidy	n_endpoint_ploidy_cells	n_cellcycle_cells	mean_cellcycle_pseudotime	tumor_volume_delta_Day_24	embedded_TGI_percent_Day_24	matched_control_reference_delta	matched_control_n	matched_control_sample_ids	TGI_percent_Day_24	etp_group	tgi_outcome	tgi_day	tgi_measure	matched_control_summary	matched_control_group
2N-A2-0	2N	30mg/kg	30	2.31570000737479	2.32219947650157	317	95	0.467133313417435	256.09	80.6576723722845	1323.9875	4	2N-A1-0;2N-A1-LR;2N-A1-R;2N-A1-RR	80.6576723722845	ETP-higher	day	24	TGI_percent_Day_24	mean	initial_ploidy
2N-A2-L	2N	30mg/kg	30	2.25827409402308	2.2620223149265	505	211	0.47728045480723	603.7	54.4028927765557	1323.9875	4	2N-A1-0;2N-A1-LR;2N-A1-R;2N-A1-RR	54.4028927765557	ETP-higher	day	24	TGI_percent_Day_24	mean	initial_ploidy
A6-4N-O	4N	30mg/kg	30	2.40690861238325	2.42394706229618	189	60	0.49985921792686	1209.32	20.9772959692096	1530.345	4	4N-A5-0;4N-A5-RR;A5-4N-L;A5-4N-R	20.9772959692096	ETP-higher	day	24	TGI_percent_Day_24	mean	initial_ploidy
A6-4N-RR	4N	30mg/kg	30	2.23538862603727	2.25006303911147	660	193	0.481236708915064	991.6	35.2041533118349	1530.345	4	4N-A5-0;4N-A5-RR;A5-4N-L;A5-4N-R	35.2041533118349	ETP-lower	day	24	TGI_percent_Day_24	mean	initial_ploidy
2N-A4-R	2N	120mg/kg	120	2.01124775168715	2.01299573762733	305	140	0.467617943483804	390.92	70.4740414845306	1323.9875	4	2N-A1-0;2N-A1-LR;2N-A1-R;2N-A1-RR	70.4740414845306	ETP-lower	day	24	TGI_percent_Day_24	mean	initial_ploidy
2N-A4-RL	2N	120mg/kg	120	2.1766115066713	2.18344784192788	1280	310	0.498624597688117	873.05	34.0590451193837	1323.9875	4	2N-A1-0;2N-A1-LR;2N-A1-R;2N-A1-RR	34.0590451193837	ETP-lower	day	24	TGI_percent_Day_24	mean	initial_ploidy
4N-A8-RL	4N	120mg/kg	120	2.26820976674737	2.28446628345568	1832	456	0.500231902613386	833.26	45.5508398433033	1530.345	4	4N-A5-0;4N-A5-RR;A5-4N-L;A5-4N-R	45.5508398433033	ETP-higher	day	24	TGI_percent_Day_24	mean	initial_ploidy
4N-A8-RR	4N	120mg/kg	120	2.22746650120564	2.24253971173807	247	88	0.475019505649636	880.16	42.4861714188631	1530.345	4	4N-A5-0;4N-A5-RR;A5-4N-L;A5-4N-R	42.4861714188631	ETP-lower	day	24	TGI_percent_Day_24	mean	initial_ploidy
