ID	Drug Name	Targets	Z Score	Count
"2106"	"Uprosertib"	"AKT1, AKT2, AKT3"	"-.65959322988108282"	"195"
"1631"	"PRT062607"	"SYK"	"-.65291840299238657"	"195"
"1004"	"Vinblastine"	"Microtubule destabiliser"	"-.63716899859802212"	"195"
"1816"	"Fulvestrant"	""	"-.63514145186989546"	"195"
"1630"	"Entospletinib"	"SYK"	"-.62890980409538033"	"195"
"1849"	"Sabutoclax"	"BCL2,  BCL-XL,  BFL1, MCL1"	"-.62321838224984982"	"195"
"1179"	"MK-1775"	"WEE1, PLK1"	"-.62010840082198471"	"195"
"1375"	"Temozolomide"	"DNA alkylating agent"	"-.59183179387918594"	"195"
"1926"	"GNE-317"	"PI3Kalpha"	"-.58018914608067296"	"195"
"1733"	"ULK1_4989"	"ULK1"	"-.57040985130001676"	"195"
"1734"	"VSP34_8731"	"VSP34"	"-.55376298821394387"	"195"
"1192"	"GSK269962A"	"ROCK1, ROCK2"	"-.55204984555411252"	"195"
"2109"	"AZ6102"	"TNKS1, TNKS2"	"-.54206302803444117"	"195"
"1057"	"Dactolisib"	"PI3K (class 1), MTORC1, MTORC2"	"-.54196778778930865"	"195"
"2110"	"GSK591"	"PMRT5"	"-.52900109083524116"	"195"
"1022"	"AZD7762"	"CHEK1, CHEK2"	"-.51972085851652072"	"195"
"1593"	"Entinostat"	"HDAC1, HDAC3"	"-.5193411725524214"	"195"
"1559"	"Luminespib"	"HSP90"	"-.51237743460944141"	"195"
"1814"	"Nelarabine"	""	"-.5041098405493275"	"195"
"2045"	"AMG-319"	"PI3K (beta sparing)"	"-.47058045159481582"	"195"
"1928"	"I-BRD9"	"BRD9"	"-.46953003360499901"	"195"
"1810"	"Mitoxantrone"	""	"-.45845973914501759"	"195"
"1931"	"MIRA-1"	"TP53"	"-.45664961025109907"	"195"
"1558"	"Lapatinib"	"EGFR, ERBB2"	"-.4301311659912227"	"195"
"1085"	"Sorafenib"	"PDGFR, KIT, VEGFR, RAF"	"-.42553979732504393"	"195"
"1622"	"Wnt-C59"	"PORCN"	"-.41352809413519115"	"195"
"2107"	"LJI308"	"RSK2, RSK1, RSK3"	"-.39249490740603876"	"195"
"1613"	"VE-822"	"ATR"	"-.39192980866024196"	"195"
"1561"	"Taselisib"	"PI3K (beta sparing)"	"-.38668917849463397"	"195"
"1634"	"AGI-6780"	"IDH2 R140Q mutant"	"-.37979239978590318"	"195"
"1449"	"AZD1208"	"PIM1, PIM2, PIM3"	"-.3668477968639911"	"195"
"2040"	"Foretinib"	"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR"	"-.35899201758987953"	"195"
"1838"	"Sinularin"	""	"-.35721563582268151"	"195"
"1051"	"Alisertib"	"AURKA"	"-.35495968394616551"	"195"
"1786"	"AZD4547"	"FGFR1, FGFR2, FGFR3"	"-.32360120353109156"	"195"
"1738"	"IGF1R_3801"	"IGFR1"	"-.31562428005390231"	"195"
"1736"	"Selumetinib"	"MEK1, MEK2"	"-.31353432072676596"	"195"
"1618"	"GSK2606414"	"PERK"	"-.31000108063407866"	"195"
"1807"	"Carmustine"	""	"-.29575378626404408"	"195"
"1199"	"Tamoxifen"	"ESR1"	"-.26613918292538863"	"195"
"1093"	"GSK1904529A"	"IGF1R, IR"	"-.26539278494440727"	"195"
"1017"	"Olaparib"	"PARP1, PARP2"	"-.26467720411119366"	"195"
"1248"	"Daporinad"	"NAMPT"	"-.2619326681974451"	"195"
"1852"	"LY2109761"	"TGFB1"	"-.2108774095109541"	"195"
"1809"	"Teniposide"	""	"-.18914719017966586"	"195"
"1091"	"BMS-536924"	"IGF1R, IR"	"-.18382959081057612"	"195"
"1200"	"Fulvestrant"	"ESR"	"-.1812033335790372"	"195"
"1854"	"MN-64"	"TNKS1, TNKS2"	"-.15786420929929734"	"195"
"1032"	"Afatinib"	"ERBB2, EGFR"	"-.12304840392114183"	"195"
"1576"	"IWP-2"	"PORCN"	"-.099923349542573189"	"195"
"1047"	"Nutlin-3a (-)"	"MDM2"	"-.097283340993136569"	"195"
"1617"	"AZD5582"	"XIAP, cIAP"	"-.085827699604279578"	"195"
"1073"	"5-Fluorouracil"	"Antimetabolite (DNA & RNA)"	"-.07226221151078252"	"195"
"1249"	"BMS-345541"	"IKK-1, IKK-2"	"-.070686778445792436"	"195"
"1060"	"PD0325901"	"MEK1, MEK2"	"-.070281724206818386"	"195"
"1564"	"SCH772984"	"ERK1, ERK2"	"-.051890640972139336"	"195"
"1940"	"WIKI4"	"TNKS1, TNKS2"	"-.040172716437011917"	"195"
"1811"	"Dactinomycin"	""	"-.024840213848221059"	"195"
"1913"	"AGI-5198"	"IDH1 (R132H)"	"-.023493386770672767"	"195"
"1635"	"Picolinici-acid"	"Inflammatory related"	"-.011767388376745336"	"195"
"1996"	"MIM1"	"MCL1"	"-.00047800373146677816"	"195"
