ID	Drug Name	Targets	Z Score	Count
"1739"	"JAK_8517"	"JAK1, JAK2"	"-.20375510591697824"	"138"
"1629"	"ML323"	"USP1, UAF1"	"-.19257942200915273"	"138"
"1199"	"Tamoxifen"	"ESR1"	"-.18225258809224384"	"138"
"1559"	"Luminespib"	"HSP90"	"-.17216987051843469"	"138"
"1463"	"AZD1332"	"NTRK1, NTRK2, NTRK3"	"-.16549938598702421"	"138"
"1180"	"Dinaciclib"	"CDK1, CDK2, CDK5, CDK9"	"-.13883408073016359"	"138"
"1129"	"PF-4708671"	"S6K1"	"-.11130894414172293"	"138"
"1852"	"LY2109761"	"TGFB1"	"-.10909586292440267"	"138"
"1177"	"Niraparib"	"PARP1, PARP2"	"-.084235851153316194"	"138"
"1813"	"Fludarabine"	""	"-.055230779861013823"	"138"
"1558"	"Lapatinib"	"EGFR, ERBB2"	"-.050242841731641487"	"138"
"1073"	"5-Fluorouracil"	"Antimetabolite (DNA & RNA)"	"-.034525558825433879"	"138"
"1030"	"KU-55933"	"ATM"	"-.029020676152710482"	"138"
"1615"	"CZC24832"	"PI3Kgamma"	"-.022550517062853076"	"138"
"1564"	"SCH772984"	"ERK1, ERK2"	"-.019252007466855448"	"138"
"1052"	"RO-3306"	"CDK1"	"-.0098205657337672812"	"138"
"1818"	"Vincristine"	""	".020024969153410243"	"138"
"1025"	"SB216763"	"GSK3A, GSK3B"	".061106471605559966"	"138"
"1618"	"GSK2606414"	"PERK"	".073630272356983176"	"138"
"1825"	"Podophyllotoxin bromide"	""	".078540442805104693"	"138"
"1507"	"Ruxolitinib"	"JAK1, JAK2"	".082604633452112594"	"138"
"2169"	"AZD6482"	"PI3Kbeta"	".08492118171675056"	"138"
"1032"	"Afatinib"	"ERBB2, EGFR"	".092638385175456653"	"138"
"1830"	"Gallibiscoquinazole"	""	".094645872168394596"	"138"
"1716"	"IRAK4_4710"	"IRAK4"	".10744590135514887"	"138"
"1578"	"Leflunomide"	"Pyrimidine synthesis inhibitor"	".1106660569565662"	"138"
"1428"	"IAP_5620"	"IAP"	".12690344884414173"	"138"
"1713"	"ERK_2440"	"ERK1,ERK2"	".19515301723122347"	"138"
"1909"	"Venetoclax"	"BCL2"	".20181068719292761"	"138"
"1375"	"Temozolomide"	"DNA alkylating agent"	".20347463836946281"	"138"
"1007"	"Docetaxel"	"Microtubule stabiliser"	".20421143215393558"	"138"
"1557"	"LCL161"	"XIAP, IAP1, IAP2"	".21396225177824227"	"138"
"1080"	"Paclitaxel"	"Microtubule stabiliser"	".2274421080681539"	"138"
"1051"	"Alisertib"	"AURKA"	".22881222284394315"	"138"
"1712"	"Eg5_9814"	"KSP11"	".24140807766297265"	"138"
"1373"	"Dabrafenib"	"BRAF"	".28568977639973614"	"138"
"1849"	"Sabutoclax"	"BCL2,  BCL-XL,  BFL1, MCL1"	".28738757272299364"	"138"
"1811"	"Dactinomycin"	""	".29096884999521561"	"138"
"1804"	"Acetalax"	""	".32354510164219025"	"138"
"1086"	"BI-2536"	"PLK1, PLK2, PLK3"	".34096180878228921"	"138"
"1810"	"Mitoxantrone"	""	".38854385192032626"	"138"
"1593"	"Entinostat"	"HDAC1, HDAC3"	".42377035196068308"	"138"
"1372"	"Trametinib"	"MEK1, MEK2"	".45016786669007686"	"138"
"1808"	"Topotecan"	""	".45582315372447629"	"138"
"1510"	"Linsitinib"	"IGF1R"	".45843557206137375"	"138"
"1005"	"Cisplatin"	"DNA crosslinker"	".51227969288821962"	"138"
"1089"	"Oxaliplatin"	"DNA alkylating agent"	".55663025567335667"	"138"
"1806"	"Oxaliplatin"	"DNA alkylating agent"	".57035515906427836"	"138"
"1714"	"ERK_6604"	"ERK1,ERK2"	".62003392835861415"	"138"
"1732"	"TAF1_5496"	"TAF1"	".62903140108486799"	"138"
"1179"	"MK-1775"	"WEE1, PLK1"	".6780086281004698"	"138"
"1017"	"Olaparib"	"PARP1, PARP2"	".69837114562738467"	"138"
"1853"	"OF-1"	"BRPF1B, BRPF2"	".72237701239358776"	"138"
"1060"	"PD0325901"	"MEK1, MEK2"	".82526559779403641"	"138"
"1736"	"Selumetinib"	"MEK1, MEK2"	".86341527932653861"	"138"
"1088"	"Irinotecan"	"TOP1"	".95769179125359727"	"138"
"1003"	"Camptothecin"	"TOP1"	"1.0801045068324546"	"138"
"1190"	"Gemcitabine"	"Pyrimidine antimetabolite"	"1.160504052015521"	"138"
"1827"	"Dihydrorotenone"	""	"1.3022931268392932"	"138"
"1819"	"Docetaxel"	"Microtubule stabiliser"	"1.4931019722403847"	"138"
