bootstrap_replicate	corrected_energy_difference_2N_minus_4N	centered_bootstrap_error
1	-0.23204999232647044	-0.2840966581670734
2	-0.09707589873754287	-0.14912256457814585
3	0.09385627361051399	0.041809607769911
4	0.23543027136317815	0.18338360552257515
5	-0.5252220852357599	-0.5772687510763629
6	0.8870586165874322	0.8350119507468292
7	0.012697894363252114	-0.03934877147735087
8	-0.16436437215005986	-0.21641103799066286
9	0.0609574333654391	0.008910767524836112
10	-0.0619076646504991	-0.1139543304911021
11	0.08316379735657814	0.03111713151597515
12	0.2719959711031386	0.21994930526253562
13	-0.4141964655941874	-0.46624313143479035
14	0.38445261697808225	0.3324059511374793
15	0.10627754633180253	0.05423088049119954
16	-0.49452581916685506	-0.546572485007458
17	-0.13537616651457474	-0.18742283235517773
18	0.3258972672841388	0.27385060144353585
19	-0.35918923431776134	-0.4112359001583643
20	0.5512360287042274	0.4991893628636244
21	0.08312000299522938	0.031073337154626395
22	-0.16942032954698025	-0.22146699538758324
23	-0.03219667896755659	-0.08424334480815958
24	-0.36884462337340634	-0.4208912892140093
25	-0.41786093569396676	-0.46990760153456973
26	0.24221245073956313	0.19016578489896013
27	-0.32454798475147995	-0.3765946505920829
28	-0.11624728962422019	-0.16829395546482318
29	0.2501277768191717	0.1980811109785687
30	0.36841492097863876	0.3163682551380358
31	0.3179163612710565	0.2658696954304535
32	-0.3373484309574064	-0.3893950967980094
33	-0.5283424868715529	-0.580389152712156
34	0.41760632387867747	0.3655596580380745
35	0.2068145987692323	0.1547679329286293
36	-0.2504416208485006	-0.30248828668910355
37	0.1412589851254451	0.0892123192848421
38	0.1118686877271386	0.059822021886535605
39	0.22051119885105064	0.16846453301044764
40	0.1591352274607139	0.1070885616201109
41	-0.5707962202689634	-0.6228428861095664
42	0.0904106143734224	0.038363948532819415
43	0.6750859746871104	0.6230393088465074
44	0.1371607586131886	0.08511409277258561
45	0.3066962730846925	0.2546496072440895
46	-0.4121755930029622	-0.46422225884356516
47	0.4473552740184472	0.39530860817784425
48	0.10602659194811817	0.05397992610751518
49	0.23002320908067306	0.17797654324007006
50	0.04135648242172549	-0.010690183418877501
51	0.5974083985425107	0.5453617327019077
52	0.02710818559609095	-0.024938480244512038
53	-0.06692367368804361	-0.11897033952864661
54	0.3565251797848216	0.30447851394421865
55	-0.3591546508599237	-0.4112013167005267
56	0.27536191976191066	0.22331525392130766
57	0.5858676225754943	0.5338209567348913
58	0.06196073979675633	0.00991407395615334
59	-0.1982871134725951	-0.25033377931319806
60	0.5529623062743636	0.5009156404337606
61	-0.23647181326337133	-0.2885184791039743
62	-0.5631593181895336	-0.6152059840301366
63	0.20505449127924122	0.15300782543863822
64	-0.9302849872970927	-0.9823316531376958
65	0.2039333727090887	0.1518867068684857
66	-0.1817227854603769	-0.2337694513009799
67	-0.3140606055061301	-0.36610727134673304
68	-0.01837985272232754	-0.07042651856293053
69	0.22716869622987615	0.17512203038927315
70	0.15269842072755216	0.10065175488694916
71	0.07686710022474816	0.02482043438414517
72	0.12435238279798003	0.07230571695737703
73	0.02970123133798849	-0.0223454345026145
74	-0.1929554783876191	-0.24500214422822209
75	0.11530865985370989	0.06326199401310689
76	0.7560107150044261	0.703964049163823
77	0.03393603576977641	-0.018110630070826576
78	-0.22847539005076822	-0.2805220558913712
79	0.18789754447675996	0.13585087863615697
80	0.6027315542945036	0.5506848884539006
81	0.32582358346593515	0.2737769176253322
82	0.4036197783929731	0.3515731125523701
83	0.17110097454385265	0.11905430870324965
84	-0.08524671553706288	-0.13729338137766586
85	0.19245181407652756	0.14040514823592457
86	0.019147875559659664	-0.03289879028094332
87	-0.05669652500107157	-0.10874319084167455
88	-0.2683055656605945	-0.32035223150119746
89	-0.2911891104573091	-0.3432357762979121
90	0.6523027825876213	0.6002561167470183
91	0.06060711854018391	0.008560452699580924
92	0.187508283938268	0.135461618097665
93	-0.24513293089341862	-0.2971795967340216
94	-0.37043391890927113	-0.4224805847498741
95	0.6567938028136412	0.6047471369730382
96	0.727998189979402	0.675951524138799
97	-0.34333828210753536	-0.39538494794813833
98	-0.25588698260636744	-0.3079336484469704
99	-0.011520077880416604	-0.06356674372101959
100	-0.08507545244172486	-0.13712211828232784
101	-0.190113046655421	-0.242159712496024
102	0.4950320341538991	0.44298536831329616
103	-0.5799682612230694	-0.6320149270636725
104	0.055361681751998654	0.003315015911395665
105	-0.31744882885527753	-0.3694954946958805
106	0.26196822618945353	0.20992156034885054
107	0.0016670465396233444	-0.050379619300979644
108	-0.24705622490975213	-0.2991028907503551
109	0.19436113723636042	0.14231447139575742
110	-0.3739556738196889	-0.4260023396602919
111	0.35673729611394456	0.3046906302733416
112	0.244830820921945	0.192784155081342
113	-0.5369878438197035	-0.5890345096603066
114	-0.18033493035822773	-0.23238159619883073
115	-0.33417680949416756	-0.3862234753347705
116	-0.4402627768493818	-0.4923094426899848
117	-0.35321808683195693	-0.4052647526725599
118	0.046044156464997196	-0.006002509375605793
119	-0.11089168956701743	-0.16293835540762042
120	-0.19189816836254334	-0.24394483420314633
121	0.2866929474197125	0.23464628157910952
122	-0.3832112657115041	-0.43525793155210707
123	-0.1040144285914575	-0.15606109443206048
124	0.6294374472155831	0.5773907813749801
125	-0.8803044865914864	-0.9323511524320894
126	0.36954657926478135	0.3174999134241784
127	-0.37975503199461264	-0.4318016978352156
128	0.39852383275014774	0.3464771669095448
129	0.2736941474220735	0.2216474815814705
130	0.2548135823877964	0.2027669165471934
131	0.4924928787636957	0.4404462129230927
132	-0.11874280641659983	-0.1707894722572028
133	-0.35077384606748496	-0.40282051190808793
134	0.10918033191022636	0.05713366606962337
135	0.9446892457297688	0.8926425798891657
136	-0.4294185130253006	-0.48146517886590356
137	0.4589568492568058	0.40691018341620283
138	-0.11772935807994604	-0.16977602392054902
139	0.07015034899945485	0.018103683158851865
