ID	Drug Name	Targets	Z Score	Count
"1734"	"VSP34_8731"	"VSP34"	"-.1410803733253469"	"194"
"1631"	"PRT062607"	"SYK"	"-.12408535913894063"	"194"
"1736"	"Selumetinib"	"MEK1, MEK2"	"-.11935314069002248"	"194"
"1618"	"GSK2606414"	"PERK"	"-.11130654007772371"	"194"
"1625"	"RVX-208"	"BRD4"	"-.10520694958119856"	"194"
"1441"	"AZD2014"	"mTORC1, mTORC2"	"-.10356377761982259"	"194"
"1811"	"Dactinomycin"	""	"-.10197050539924331"	"194"
"1373"	"Dabrafenib"	"BRAF"	"-.1005589764316312"	"194"
"1030"	"KU-55933"	"ATM"	"-.09149451837829381"	"194"
"1786"	"AZD4547"	"FGFR1, FGFR2, FGFR3"	"-.075515283119398022"	"194"
"1578"	"Leflunomide"	"Pyrimidine synthesis inhibitor"	"-.073183439245903079"	"194"
"2043"	"BIBR-1532"	"TERT"	"-.072340210299473504"	"194"
"1996"	"MIM1"	"MCL1"	"-.070787135897418807"	"194"
"1928"	"I-BRD9"	"BRD9"	"-.063664017595862085"	"194"
"2172"	"JQ1"	"BRD2, BRD3, BRD4, BRDT"	"-.059622100892906219"	"194"
"1939"	"UMI-77"	"MCL1"	"-.050044840976592259"	"194"
"1816"	"Fulvestrant"	""	"-.048495447449284898"	"194"
"1866"	"BDP-00009066"	"MRCKB_HUMAN"	"-.019326167176145104"	"194"
"1511"	"Epirubicin"	"Anthracycline"	"-.0052692163616050013"	"194"
"1401"	"AZD5438"	"CDK2"	"-.0028358976864036583"	"194"
"1553"	"Uprosertib"	"AKT1, AKT2, AKT3"	".0077380826341915641"	"194"
"1807"	"Carmustine"	""	".019097150320446551"	"194"
"1050"	"ZM447439"	"AURKA, AURKB"	".031296578504458938"	"194"
"1931"	"MIRA-1"	"TP53"	".043895426713657267"	"194"
"1838"	"Sinularin"	""	".060866688084858379"	"194"
"1179"	"MK-1775"	"WEE1, PLK1"	".065509462397507698"	"194"
"1564"	"SCH772984"	"ERK1, ERK2"	".065823390630229808"	"194"
"1084"	"Rapamycin"	"MTORC1"	".066197106144045628"	"194"
"1614"	"WZ4003"	"NUAK1, NUAK2"	".076385613432704821"	"194"
"1250"	"AZ960"	"JAK2, JAK3"	".082000158237955784"	"194"
"1051"	"Alisertib"	"AURKA"	".082697252616703021"	"194"
"1042"	"Doramapimod"	"p38, JNK2"	".088229660939209781"	"194"
"1199"	"Tamoxifen"	"ESR1"	".089516866847251214"	"194"
"1835"	"Elephantin"	""	".10788675548904443"	"194"
"1129"	"PF-4708671"	"S6K1"	".11442591674756927"	"194"
"1809"	"Teniposide"	""	".13978817083186421"	"194"
"1593"	"Entinostat"	"HDAC1, HDAC3"	".17213691411838836"	"194"
"1814"	"Nelarabine"	""	".19408090827682234"	"194"
"1713"	"ERK_2440"	"ERK1,ERK2"	".20608272586388771"	"194"
"1529"	"Pevonedistat"	"NAE"	".20702515106861669"	"194"
"1049"	"PD173074"	"FGFR1, FGFR2, FGFR3"	".20991292235874634"	"194"
"1089"	"Oxaliplatin"	"DNA alkylating agent"	".21019641798389421"	"194"
"1053"	"MK-2206"	"AKT1, AKT2"	".21291091290502817"	"194"
"1925"	"GDC0810"	"ESR1, ESR2"	".22039387181646911"	"194"
"1620"	"PFI3"	"Polybromo 1, SMARCA4, SMARCA2"	".22334069257647179"	"194"
"1096"	"Tozasertib"	"AURKA, AURKB, AURKC, others"	".22469162113526031"	"194"
"1085"	"Sorafenib"	"PDGFR, KIT, VEGFR, RAF"	".22708947652742273"	"194"
"1621"	"PCI-34051"	"HDAC8, HDAC6, HDAC1"	".23076968801288314"	"194"
"1730"	"PAK_5339"	"PAK1, PAK2"	".24432343966196171"	"194"
"1852"	"LY2109761"	"TGFB1"	".24880791970962629"	"194"
"1375"	"Temozolomide"	"DNA alkylating agent"	".25016249535437357"	"194"
"1862"	"MG-132"	"Proteasome, CAPN1"	".26198480598357227"	"194"
"1733"	"ULK1_4989"	"ULK1"	".26462798274087757"	"194"
"1720"	"AZD5991"	"MCL1"	".27516046545394168"	"194"
"1046"	"Wee1 Inhibitor"	"WEE1, CHEK1"	".27663001425861128"	"194"
"1557"	"LCL161"	"XIAP, IAP1, IAP2"	".29441230220259601"	"194"
"1239"	"YK-4-279"	"RNA helicase A"	".29540930938133336"	"194"
"1038"	"NU7441"	"DNAPK"	".29600739012323879"	"194"
"1259"	"Talazoparib"	"PARP1, PARP2"	".32303472116792081"	"194"
"1622"	"Wnt-C59"	"PORCN"	".32633161295890206"	"194"
"1080"	"Paclitaxel"	"Microtubule stabiliser"	".3280202079397701"	"194"
"1624"	"I-BET-762"	"BRD2, BRD3, BRD4"	".32872953342294964"	"194"
"1192"	"GSK269962A"	"ROCK1, ROCK2"	".37576703387158494"	"194"
"1463"	"AZD1332"	"NTRK1, NTRK2, NTRK3"	".39108631340810107"	"194"
"1003"	"Camptothecin"	"TOP1"	".40349199478568776"	"194"
"1073"	"5-Fluorouracil"	"Antimetabolite (DNA & RNA)"	".40417917033628048"	"194"
"1941"	"Sepantronium bromide"	"BIRC5"	".41814860582071822"	"194"
"1927"	"GSK2578215A"	"LRRK2"	".43567964668230086"	"194"
"1249"	"BMS-345541"	"IKK-1, IKK-2"	".44685380826545201"	"194"
"1006"	"Cytarabine"	"Antimetabolite"	".4747245422427317"	"194"
"1630"	"Entospletinib"	"SYK"	".47498317815914254"	"194"
"1022"	"AZD7762"	"CHEK1, CHEK2"	".48057594912106055"	"194"
"1086"	"BI-2536"	"PLK1, PLK2, PLK3"	".52496343146114888"	"194"
"1004"	"Vinblastine"	"Microtubule destabiliser"	".54060863959082683"	"194"
"1909"	"Venetoclax"	"BCL2"	".54272282591789356"	"194"
"2111"	"VE821"	"ATR"	".54589926217896612"	"194"
"1629"	"ML323"	"USP1, UAF1"	".55733432946894801"	"194"
"1190"	"Gemcitabine"	"Pyrimidine antimetabolite"	".57041969194923792"	"194"
"1068"	"Obatoclax Mesylate"	"BCL2, BCL-XL, BCL-W, MCL1"	".57170160958045924"	"194"
"1913"	"AGI-5198"	"IDH1 (R132H)"	".57727694783677441"	"194"
"1177"	"Niraparib"	"PARP1, PARP2"	".59310613537520285"	"194"
"1830"	"Gallibiscoquinazole"	""	".61267397259992806"	"194"
"1200"	"Fulvestrant"	"ESR"	".63533007776794392"	"194"
"1088"	"Irinotecan"	"TOP1"	".65059860395736635"	"194"
"2048"	"Vinorelbine"	"Microtubule destabiliser"	".65522427630692148"	"194"
"1054"	"Palbociclib"	"CDK4, CDK6"	".65619295993240834"	"194"
"2045"	"AMG-319"	"PI3K (beta sparing)"	".66345882993003114"	"194"
"1708"	"CDK9_5576"	"CDK9"	".67916093658714227"	"194"
"1047"	"Nutlin-3a (-)"	"MDM2"	".69198216755763242"	"194"
"1507"	"Ruxolitinib"	"JAK1, JAK2"	".69505808135919867"	"194"
"1813"	"Fludarabine"	""	".70537049477667724"	"194"
"1716"	"IRAK4_4710"	"IRAK4"	".70642937083928237"	"194"
"1808"	"Topotecan"	""	".72879214891754607"	"194"
"2044"	"Pyridostatin"	"G-quadruplex stabiliser"	".73123930360123346"	"194"
"1706"	"AZD5153"	"BRD4"	".74691550966009179"	"194"
"1855"	"KRAS (G12C) Inhibitor-12"	"KRAS (G12C)"	".76326288173772538"	"194"
"1732"	"TAF1_5496"	"TAF1"	".78613729561789558"	"194"
"1819"	"Docetaxel"	"Microtubule stabiliser"	".79429591142905476"	"194"
"1007"	"Docetaxel"	"Microtubule stabiliser"	".80004503653737369"	"194"
"1021"	"Axitinib"	"PDGFR, KIT, VEGFR"	".81023974983690195"	"194"
"1626"	"OTX015"	"BRD2, BRD3, BRD4"	".82275522413328228"	"194"
"1810"	"Mitoxantrone"	""	".89699935386455187"	"194"
"1598"	"LGK974"	"PORCN"	".92138756392139143"	"194"
"1827"	"Dihydrorotenone"	""	".92748464748422876"	"194"
"1012"	"Vorinostat"	"HDAC inhibitor Class I, IIa, IIb, IV"	".93877357176190146"	"194"
"2047"	"Ulixertinib"	"ERK1, ERK2"	".97818086849877406"	"194"
"1613"	"VE-822"	"ATR"	".98554370628989052"	"194"
"1005"	"Cisplatin"	"DNA crosslinker"	"1.0637869566484508"	"194"
"1632"	"Ribociclib"	"CDK4, CDK6"	"1.0900049943751957"	"194"
"1739"	"JAK_8517"	"JAK1, JAK2"	"1.104115530213609"	"194"
"1180"	"Dinaciclib"	"CDK1, CDK2, CDK5, CDK9"	"1.1408354295398522"	"194"
"1825"	"Podophyllotoxin bromide"	""	"1.1939476876917836"	"194"
"2046"	"MK-8776"	"CHEK1, CHEK2, CDK2"	"1.2155131584554595"	"194"
"1714"	"ERK_6604"	"ERK1,ERK2"	"1.2906948013646589"	"194"
"1718"	"JAK1_8709"	"JAK1"	"1.40800101176931"	"194"
"1709"	"CDK9_5038"	"CDK9"	"1.5214914618066702"	"194"
"1849"	"Sabutoclax"	"BCL2,  BCL-XL,  BFL1, MCL1"	"1.635226796534202"	"194"
"1712"	"Eg5_9814"	"KSP11"	"2.2286585049411287"	"194"
