ID	Drug Name	Targets	Z Score	Count
"1561"	"Taselisib"	"PI3K (beta sparing)"	".082163655600933569"	"122"
"2044"	"Pyridostatin"	"G-quadruplex stabiliser"	".092192311453572498"	"122"
"1057"	"Dactolisib"	"PI3K (class 1), MTORC1, MTORC2"	".093691918567725907"	"122"
"1025"	"SB216763"	"GSK3A, GSK3B"	".10152264294041312"	"122"
"1086"	"BI-2536"	"PLK1, PLK2, PLK3"	".11518662194394858"	"122"
"1510"	"Linsitinib"	"IGF1R"	".16802370110601081"	"122"
"1909"	"Venetoclax"	"BCL2"	".18309485559758573"	"122"
"1996"	"MIM1"	"MCL1"	".1973847998896523"	"122"
"1915"	"AZD3759"	"EGFR"	".19867391845382509"	"122"
"1936"	"Savolitinib"	"MET"	".22103980090352887"	"122"
"2047"	"Ulixertinib"	"ERK1, ERK2"	".2272455721448586"	"122"
"1549"	"Sapitinib"	"EGFR, ERBB2, ERBB3"	".25198445517592144"	"122"
"2096"	"VX-11e"	"ERK2"	".2584442052210093"	"122"
"1168"	"Erlotinib"	"EGFR"	".26647512579120958"	"122"
"1010"	"Gefitinib"	"EGFR"	".2789670284980128"	"122"
"1051"	"Alisertib"	"AURKA"	".34356422430472877"	"122"
"2107"	"LJI308"	"RSK2, RSK1, RSK3"	".37286139707820937"	"122"
"1930"	"Telomerase Inhibitor IX"	"Telomerase"	".38109017432983328"	"122"
"1926"	"GNE-317"	"PI3Kalpha"	".39900634215658487"	"122"
"1927"	"GSK2578215A"	"LRRK2"	".43007036361106571"	"122"
"1564"	"SCH772984"	"ERK1, ERK2"	".43065854045101171"	"122"
"1911"	"Dactinomycin"	"RNA polymerase"	".44601241332720892"	"122"
"1042"	"Doramapimod"	"p38, JNK2"	".45132656178683439"	"122"
"1373"	"Dabrafenib"	"BRAF"	".49188754279970331"	"122"
"1919"	"Osimertinib"	"EGFR"	".5314352165388091"	"122"
"1372"	"Trametinib"	"MEK1, MEK2"	".53688295244859818"	"122"
"1060"	"PD0325901"	"MEK1, MEK2"	".55888768330178995"	"122"
"1089"	"Oxaliplatin"	"DNA alkylating agent"	".56295481578517081"	"122"
"1925"	"GDC0810"	"ESR1, ESR2"	".56309550043332024"	"122"
"1910"	"ABT737"	"BCL2, BCL-XL,  BCL-W, BCL-B, BFL1"	".57256759205527452"	"122"
"1375"	"Temozolomide"	"DNA alkylating agent"	".58838282362122329"	"122"
"1933"	"P22077"	"USP7, USP47"	".59030198593354133"	"122"
"1011"	"Navitoclax"	"BCL2, BCL-XL, BCL-W"	".66613046344017113"	"122"
"1073"	"5-Fluorouracil"	"Antimetabolite (DNA & RNA)"	".67790013857500819"	"122"
"1006"	"Cytarabine"	"Antimetabolite"	".80730779366909067"	"122"
"1939"	"UMI-77"	"MCL1"	".80968315684234371"	"122"
"1559"	"Luminespib"	"HSP90"	".81431113197371385"	"122"
"1997"	"WEHI-539"	"BCL-XL"	".85338863474683802"	"122"
"2172"	"JQ1"	"BRD2, BRD3, BRD4, BRDT"	".97488148676323771"	"122"
"2109"	"AZ6102"	"TNKS1, TNKS2"	".99477522468954482"	"122"
"1529"	"Pevonedistat"	"NAE"	"1.0304513986757233"	"122"
"1012"	"Vorinostat"	"HDAC inhibitor Class I, IIa, IIb, IV"	"1.0446305426719722"	"122"
"1941"	"Sepantronium bromide"	"BIRC5"	"1.162332589132846"	"122"
"1511"	"Epirubicin"	"Anthracycline"	"1.3436571937110846"	"122"
"1190"	"Gemcitabine"	"Pyrimidine antimetabolite"	"1.375709598332207"	"122"
"1862"	"MG-132"	"Proteasome, CAPN1"	"1.4320368507522632"	"122"
"1248"	"Daporinad"	"NAMPT"	"2.5879196573708572"	"122"
