drug	response_metric	response_metric_label	response_metric_scale	ploidy_stat	ploidy_stat_label	group	group_pair_label	low_sample	high_sample	low_ploidy	high_ploidy	low_ploidy_source	high_ploidy_source	low_analysis_cloneid_origin	high_analysis_cloneid_origin	low_origin_resolution_status	high_origin_resolution_status	low_origin_resolution_distance_edges	high_origin_resolution_distance_edges	low_origin_resolution_mrca	high_origin_resolution_mrca	delta_ploidy	low_metric_value	high_metric_value	delta_metric_high_minus_low	low_metric_uM	high_metric_uM	log2_fc_metric_high_vs_low
Gemcitabine	ic50	IC50	log10_uM	median	median	MDAOld	MDA-MB-231: 4.2N vs. 6.5N	MDAMB231_2N	MDAMB231_4N	4.15675859608933	6.5	embedded_fallback	embedded_fallback			target_not_in_passaging	target_not_in_passaging	NA	NA	NA	NA	2.34324140391067	-1.07113567695425	NA	NA	0.0848915225924869	NA	NA
Gemcitabine	ic50	IC50	log10_uM	q90	90th percentile	HGC	HGC-27: 3.3N vs. 3.5N	HGC-27_MRCA_harvest	HGC-27_G1_A10_harvesT3	3.30592453751932	3.53697061407773	cloneid_genome_perspective	cloneid_genome_perspective	HGC-27_MRCA_harvest	HGC-27_G1_A9_harvesT155	exact_mapped_genome_perspective	nearest_pedigree_genome_perspective	0	2	HGC-27_MRCA_harvest	HGC-27_G1_A9_harvesT155	0.23104607655841	-0.473202965973386	-1.18318147905031	-0.709978513076925	0.336354338640145	0.065587113953204	-2.35849756935659
Gemcitabine	ic50	IC50	log10_uM	q90	90th percentile	MDA	MDA-MB-231: 4.4N vs. 4.8N	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_G2_A3_harvesT8	4.43978131141376	4.7965362953181	cloneid_genome_perspective	cloneid_genome_perspective	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_G2_A4_seed	exact_mapped_genome_perspective	nearest_pedigree_genome_perspective	0	1	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_G2_A3_harvesT8	0.356754983904341	NA	NA	NA	NA	NA	NA
Gemcitabine	ic50	IC50	log10_uM	q90	90th percentile	SNU	SNU-668: 2.7N vs. 5.0N	SNU-668_P1_A19kT_harvest	SNU-668_r2_GFP_VT_A7_harvesT3	2.73771499250356	4.97514390527785	cloneid_genome_perspective	cloneid_genome_perspective	SNU-668_P1_A18K_seed	SNU-668_r2_A55_seedT1	nearest_pedigree_genome_perspective	nearest_pedigree_genome_perspective	3	24	SNU-668_P1_A17k_harvest	SNU-668_r2_A55_seedT1	2.23742891277429	-1.60657409511418	-1.17780205241617	0.42877204269801	0.0247414930995384	0.0664045667578392	1.42434989494076
Gemcitabine	ic50	IC50	log10_uM	q90	90th percentile	SUM	SUM-159: 2.3N vs. 4.3N	SUM159_NLS_2N_O1_A7K_harvest	SUM-159_NLS_2N_O2_A24_seedT2	2.28162016600755	4.31542900512825	cloneid_genome_perspective	cloneid_genome_perspective	SUM159_NLS_2N_O1_A7K_harvest	SUM-159_NLS_2N_O2_A19_seed	exact_mapped_genome_perspective	nearest_pedigree_genome_perspective	0	11	SUM159_NLS_2N_O1_A7K_harvest	SUM-159_NLS_2N_O2_A19_seed	2.0338088391207	-0.980672784448158	-0.99908920869987	-0.0184164242517123	0.104550765155342	0.100209937507897	-0.0611780371291281
Gemcitabine	ic50	IC50	log10_uM	q90	90th percentile	SUMOld	SUM-159: 2.0N vs. 3.5N	SUM-159_2N	SUM-159_4N	2.009975	3.49593528659252	embedded_fallback	embedded_fallback			target_not_in_passaging	target_not_in_passaging	NA	NA	NA	NA	1.48596028659252	-1.80237133652368	-1.29538170043978	0.506989636083901	0.0157626293503155	0.0506545311043647	1.68418311592383
Gemcitabine	ic50	IC50	log10_uM	q90	90th percentile	MDAOld	MDA-MB-231: 4.2N vs. 6.5N	MDAMB231_2N	MDAMB231_4N	4.15675859608933	6.5	embedded_fallback	embedded_fallback			target_not_in_passaging	target_not_in_passaging	NA	NA	NA	NA	2.34324140391067	-1.07113567695425	NA	NA	0.0848915225924869	NA	NA
Gemcitabine	ic50	IC50	log10_uM	q10	10th percentile	HGC	HGC-27: 2.9N vs. 2.8N	HGC-27_MRCA_harvest	HGC-27_G1_A10_harvesT3	2.94611806593414	2.79759424218525	cloneid_genome_perspective	cloneid_genome_perspective	HGC-27_MRCA_harvest	HGC-27_G1_A9_harvesT155	exact_mapped_genome_perspective	nearest_pedigree_genome_perspective	0	2	HGC-27_MRCA_harvest	HGC-27_G1_A9_harvesT155	-0.14852382374889	-0.473202965973386	-1.18318147905031	-0.709978513076925	0.336354338640145	0.065587113953204	-2.35849756935659
Gemcitabine	ic50	IC50	log10_uM	q10	10th percentile	MDA	MDA-MB-231: 4.1N vs. 4.1N	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_G2_A3_harvesT8	4.0900237658932	4.1336745783739	cloneid_genome_perspective	cloneid_genome_perspective	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_G2_A4_seed	exact_mapped_genome_perspective	nearest_pedigree_genome_perspective	0	1	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_G2_A3_harvesT8	0.0436508124807	NA	NA	NA	NA	NA	NA
Gemcitabine	ic50	IC50	log10_uM	q10	10th percentile	SNU	SNU-668: 2.5N vs. 2.5N	SNU-668_P1_A19kT_harvest	SNU-668_r2_GFP_VT_A7_harvesT3	2.50609319803332	2.48275924398514	cloneid_genome_perspective	cloneid_genome_perspective	SNU-668_P1_A18K_seed	SNU-668_r2_A55_seedT1	nearest_pedigree_genome_perspective	nearest_pedigree_genome_perspective	3	24	SNU-668_P1_A17k_harvest	SNU-668_r2_A55_seedT1	-0.0233339540481801	-1.60657409511418	-1.17780205241617	0.42877204269801	0.0247414930995384	0.0664045667578392	1.42434989494076
Gemcitabine	ic50	IC50	log10_uM	q10	10th percentile	SUM	SUM-159: 2.1N vs. 2.6N	SUM159_NLS_2N_O1_A7K_harvest	SUM-159_NLS_2N_O2_A24_seedT2	2.10475606490833	2.5855265534481	cloneid_genome_perspective	cloneid_genome_perspective	SUM159_NLS_2N_O1_A7K_harvest	SUM-159_NLS_2N_O2_A19_seed	exact_mapped_genome_perspective	nearest_pedigree_genome_perspective	0	11	SUM159_NLS_2N_O1_A7K_harvest	SUM-159_NLS_2N_O2_A19_seed	0.48077048853977	-0.980672784448158	-0.99908920869987	-0.0184164242517123	0.104550765155342	0.100209937507897	-0.0611780371291281
Gemcitabine	ic50	IC50	log10_uM	q10	10th percentile	SUMOld	SUM-159: 2.0N vs. 3.5N	SUM-159_2N	SUM-159_4N	2.009975	3.49593528659252	embedded_fallback	embedded_fallback			target_not_in_passaging	target_not_in_passaging	NA	NA	NA	NA	1.48596028659252	-1.80237133652368	-1.29538170043978	0.506989636083901	0.0157626293503155	0.0506545311043647	1.68418311592383
Gemcitabine	ic50	IC50	log10_uM	q10	10th percentile	MDAOld	MDA-MB-231: 4.2N vs. 6.5N	MDAMB231_2N	MDAMB231_4N	4.15675859608933	6.5	embedded_fallback	embedded_fallback			target_not_in_passaging	target_not_in_passaging	NA	NA	NA	NA	2.34324140391067	-1.07113567695425	NA	NA	0.0848915225924869	NA	NA
Gemcitabine	ic50	IC50	log10_uM	q75	75th percentile	HGC	HGC-27: 3.3N vs. 3.5N	HGC-27_MRCA_harvest	HGC-27_G1_A10_harvesT3	3.25987300238504	3.46769422736355	cloneid_genome_perspective	cloneid_genome_perspective	HGC-27_MRCA_harvest	HGC-27_G1_A9_harvesT155	exact_mapped_genome_perspective	nearest_pedigree_genome_perspective	0	2	HGC-27_MRCA_harvest	HGC-27_G1_A9_harvesT155	0.20782122497851	-0.473202965973386	-1.18318147905031	-0.709978513076925	0.336354338640145	0.065587113953204	-2.35849756935659
Gemcitabine	ic50	IC50	log10_uM	q75	75th percentile	MDA	MDA-MB-231: 4.4N vs. 4.6N	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_G2_A3_harvesT8	4.3964699387803	4.64270170251053	cloneid_genome_perspective	cloneid_genome_perspective	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_G2_A4_seed	exact_mapped_genome_perspective	nearest_pedigree_genome_perspective	0	1	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_G2_A3_harvesT8	0.24623176373023	NA	NA	NA	NA	NA	NA
Gemcitabine	ic50	IC50	log10_uM	q75	75th percentile	SNU	SNU-668: 2.7N vs. 2.7N	SNU-668_P1_A19kT_harvest	SNU-668_r2_GFP_VT_A7_harvesT3	2.67269271450368	2.65374098879052	cloneid_genome_perspective	cloneid_genome_perspective	SNU-668_P1_A18K_seed	SNU-668_r2_A55_seedT1	nearest_pedigree_genome_perspective	nearest_pedigree_genome_perspective	3	24	SNU-668_P1_A17k_harvest	SNU-668_r2_A55_seedT1	-0.0189517257131597	-1.60657409511418	-1.17780205241617	0.42877204269801	0.0247414930995384	0.0664045667578392	1.42434989494076
