"tgi_measure","omitted_sample_id","n","pearson_r","pearson_p","spearman_rho","spearman_p","sign_matches_full_pearson","delta_pearson_r_from_full","influential_flag"
"TGI_percent_Day_24_control_median","2N-A2-0",7,0.618141243718555,0.139012893703132,0.357142857142857,0.431611352038328,TRUE,-0.0689125939704605,FALSE
"TGI_percent_Day_24_control_median","2N-A2-L",7,0.69189654941724,0.0850106855554768,0.285714285714286,0.534509228601041,TRUE,0.00484271172822426,FALSE
"TGI_percent_Day_24_control_median","A6-4N-O",7,0.642262331742637,0.11984664429481,0.392857142857143,0.383316870426973,TRUE,-0.044791505946379,FALSE
"TGI_percent_Day_24_control_median","A6-4N-RR",7,0.667053485873052,0.101667743803604,0.392857142857143,0.383316870426973,TRUE,-0.0200003518159634,FALSE
"TGI_percent_Day_24_control_median","2N-A4-R",7,0.586228608122836,0.166578335922772,0.214285714285714,0.64451158102072,TRUE,-0.100825229566179,FALSE
"TGI_percent_Day_24_control_median","2N-A4-RL",7,0.701411280886113,0.079046621031238,0.535714285714286,0.215217455678013,TRUE,0.0143574431970972,FALSE
"TGI_percent_Day_24_control_median","4N-A8-RL",7,0.729026838491159,0.0630417393663828,0.535714285714286,0.215217455678013,TRUE,0.0419730008021432,FALSE
"TGI_percent_Day_24_control_median","4N-A8-RR",7,0.849565055321117,0.015520191343714,0.678571428571428,0.0937502539598315,TRUE,0.162511217632101,FALSE
