"compartment","analysis","model","term","estimate","std_error","statistic","p_value","n","tgi_measure","pre_specified_primary"
"CellCycle","shift_only","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse)","(Intercept)",46.1180696684426,6.66168382797108,6.92288479300113,0.000449687600573091,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_only","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse)","scale(ecdf_rmse)",16.4948017073412,7.12163957236586,2.31615227641484,0.0597630482418252,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) + initial_ploidy + dose_mg_factor","(Intercept)",59.6839074215205,9.23506282342846,6.46275055867602,0.00295227398320245,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) + initial_ploidy + dose_mg_factor","scale(ecdf_rmse)",10.0688984546325,6.1732469012912,1.63105390333999,0.178213869004273,8,"TGI_percent_Day_24_control_median",TRUE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) + initial_ploidy + dose_mg_factor","initial_ploidy4N",-27.870370989983,11.5181266385432,-2.41969652397467,0.0727869372035083,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) + initial_ploidy + dose_mg_factor","dose_mg_factor120",0.738695483827141,10.4301130793915,0.0708233437360044,0.946937926408798,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) * initial_ploidy + dose_mg_factor","(Intercept)",54.6947602580084,9.03730037838242,6.05211268498283,0.00904962600122762,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) * initial_ploidy + dose_mg_factor","scale(ecdf_rmse)",18.1281183548676,8.00571672657717,2.26439667727517,0.10848454068614,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) * initial_ploidy + dose_mg_factor","initial_ploidy4N",-27.8223133547391,10.3535510677306,-2.68722423569766,0.0745896842989471,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) * initial_ploidy + dose_mg_factor","dose_mg_factor120",4.24265177339452,9.70538419303965,0.437144134534849,0.691561629756071,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) * initial_ploidy + dose_mg_factor","scale(ecdf_rmse):initial_ploidy4N",-15.9987960475258,11.4554817461525,-1.39660613163643,0.256921770037446,8,"TGI_percent_Day_24_control_median",FALSE
