"compartment","analysis","model","term","estimate","std_error","statistic","p_value","n","tgi_measure","pre_specified_primary"
"CellCycle","shift_only","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse)","(Intercept)",46.1180696684425,7.38753471722666,6.24268736915738,0.000782578357765139,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_only","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse)","scale(ecdf_rmse)",14.2180105619669,7.89760681278859,1.80029354448789,0.121902854669295,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + dose_mg_factor","(Intercept)",54.3970549346,10.5717216806583,5.14552469103714,0.00676536365037298,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + dose_mg_factor","scale(ecdf_rmse)",13.0259733701517,6.94379811593989,1.8759147591359,0.133912051460181,8,"TGI_percent_Day_24_control_median",TRUE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + dose_mg_factor","end_timepoint_ploidy_groupETP-higher",-41.1378832649357,21.1494939919793,-1.94510011825989,0.123650835941414,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + dose_mg_factor","dose_mg_factor120",-6.27349971608095,14.0027106675293,-0.448020377270844,0.67733333942765,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","(Intercept)",54.3970549346,10.5717216806583,5.14552469103714,0.00676536365037298,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","scale(ecdf_rmse)",13.0259733701517,6.94379811593989,1.8759147591359,0.133912051460181,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","end_timepoint_ploidy_groupETP-higher",-41.1378832649357,21.1494939919793,-1.94510011825989,0.123650835941414,8,"TGI_percent_Day_24_control_median",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_24_control_median` ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","dose_mg_factor120",-6.27349971608095,14.0027106675293,-0.448020377270844,0.67733333942765,8,"TGI_percent_Day_24_control_median",FALSE
