"sample_id","reference_type","initial_ploidy","initial_ploidy_numeric","analysis_group","analysis_group_numeric","dose","dose_mg","cell_count","sample_mean_endpoint_ploidy","mean_cell_ploidy","median_cell_ploidy","p90_cell_ploidy","mean_pseudotime","median_pseudotime","reference_n_samples","reference_cell_count","ecdf_rmse","ecdf_ks","ecdf_mean_abs","signed_mean_shift","TGI_percent_auc","TGI_percent_Day_3","TGI_percent_Day_7","TGI_percent_Day_10","TGI_percent_Day_14","TGI_percent_Day_17","TGI_percent_Day_21","TGI_percent_Day_24","TGI_percent_Day_24_control_median","TGI_percent_Day_27","TGI_percent_Day_31","TGI_percent_Day_34","TGI_percent_Day_38","end_timepoint_ploidy_group_numeric","shift_centered","tgi_centered","analysis_id","pearson_r","pearson_p_asymptotic","pearson_p_permutation_two_sided","pearson_p_permutation_positive","pearson_n_permutations","pearson_permutation_mode","spearman_rho","spearman_p_asymptotic","spearman_p_permutation_two_sided","spearman_p_permutation_positive","spearman_n_permutations","spearman_permutation_mode","plot_annotation","tgi_value","tgi_measure","tgi_outcome","tgi_control_summary","tgi_day","tgi_axis_label","tgi_title_label"
"A6-4N-RR","primary_equal_sample_reference","4N",1,"ETP-lower",0,"30mg/kg",30,193,2.23538862603727,2.20595578416892,2.21560126016431,2.36116118282251,0.481236708915064,0.526266038417816,4,866,0.0328270009056859,0.0609753459192658,0.0278481925685596,-0.0237566963938972,47.5511900889708,17.0064352109319,62.2463168216562,85.2532378917012,50.4002944030941,33.7803382040094,29.8123517375907,35.2041533118349,27.18273710956,39.2101603389456,52.524934449654,53.4172537603105,54.7480177314431,0,-0.0105847017277732,-17.876790086065,"CellCycle_TGI_association_within_dose_centered",0.769091594396999,0.0256950969276108,0.0190972222222222,NA,576,"exact_within_stratum_TGI_label_enumeration",0.642857142857143,0.0855588910126732,0.0798611111111111,0.0399305555555556,576,"exact_within_stratum_TGI_label_enumeration","Pearson r = 0.769
Permutation P = 0.0191
n = 8",-17.876790086065,"TGI_percent_Day_24_control_median","day","median",24,"Day 24 TGI (%; median of initial-ploidy-matched untreated controls)","Day 24 TGI [median of initial-ploidy-matched untreated controls]"
"2N-A2-0","primary_equal_sample_reference","2N",0,"ETP-higher",1,"30mg/kg",30,95,2.31570000737479,2.31803706875172,2.32219947650157,2.3439423606923,0.467133313417435,0.505020081996918,4,462,0.0650963914709458,0.165732571898956,0.0448248012215866,-0.0383435623010163,76.2494538413114,235.886322488616,177.750634073475,120.624781564408,102.672401319236,94.1937794147739,89.384507311262,80.6576723722845,82.6831074250513,82.2568862402508,80.8618934509671,59.6194779092641,21.846324696681,1,0.0216846888374867,37.6235802294262,"CellCycle_TGI_association_within_dose_centered",0.769091594396999,0.0256950969276108,0.0190972222222222,NA,576,"exact_within_stratum_TGI_label_enumeration",0.642857142857143,0.0855588910126732,0.0798611111111111,0.0399305555555556,576,"exact_within_stratum_TGI_label_enumeration","Pearson r = 0.769
Permutation P = 0.0191
n = 8",37.6235802294262,"TGI_percent_Day_24_control_median","day","median",24,"Day 24 TGI (%; median of initial-ploidy-matched untreated controls)","Day 24 TGI [median of initial-ploidy-matched untreated controls]"
"2N-A2-L","primary_equal_sample_reference","2N",0,"ETP-higher",1,"30mg/kg",30,211,2.25827409402308,2.26216722070833,2.2620223149265,2.28376519911724,0.47728045480723,0.508121967315674,4,462,0.0491584177447688,0.120722175609928,0.034949781434457,-0.0281964209112213,56.300426778394,156.18039172656,82.2552787589276,74.494158939314,12.4234728244328,59.4472580315122,48.7535083374608,54.4028927765557,59.1776014389608,57.3030370085208,67.9574582187409,64.581736553233,30.5554303179006,1,0.00574671511130974,14.1180742433357,"CellCycle_TGI_association_within_dose_centered",0.769091594396999,0.0256950969276108,0.0190972222222222,NA,576,"exact_within_stratum_TGI_label_enumeration",0.642857142857143,0.0855588910126732,0.0798611111111111,0.0399305555555556,576,"exact_within_stratum_TGI_label_enumeration","Pearson r = 0.769
Permutation P = 0.0191
n = 8",14.1180742433357,"TGI_percent_Day_24_control_median","day","median",24,"Day 24 TGI (%; median of initial-ploidy-matched untreated controls)","Day 24 TGI [median of initial-ploidy-matched untreated controls]"
"A6-4N-O","primary_equal_sample_reference","4N",1,"ETP-higher",1,"30mg/kg",30,60,2.40690861238325,2.37105209557859,2.389437739905,2.4668503282033,0.49985921792686,0.510244727134705,4,462,0.0265650004124358,0.0705446142237314,0.0205057033469546,-0.00561765779159096,40.5185889265235,65.9331055851275,47.8913653278893,70.8216391585344,71.5684541312042,26.6609729964751,40.1020860632838,20.9772959692096,11.1946628089281,32.0939974103983,41.1096008114476,42.2164774381368,43.867222320261,1,-0.0168467022210233,-33.864864386697,"CellCycle_TGI_association_within_dose_centered",0.769091594396999,0.0256950969276108,0.0190972222222222,NA,576,"exact_within_stratum_TGI_label_enumeration",0.642857142857143,0.0855588910126732,0.0798611111111111,0.0399305555555556,576,"exact_within_stratum_TGI_label_enumeration","Pearson r = 0.769
Permutation P = 0.0191
n = 8",-33.864864386697,"TGI_percent_Day_24_control_median","day","median",24,"Day 24 TGI (%; median of initial-ploidy-matched untreated controls)","Day 24 TGI [median of initial-ploidy-matched untreated controls]"
"2N-A4-R","primary_equal_sample_reference","2N",0,"ETP-lower",0,"120mg/kg",120,140,2.01124775168715,2.0153134411076,2.01553424438116,2.03727712857189,0.467617943483804,0.448596432805061,4,866,0.0701700924010942,0.153820731613799,0.0551338246753447,-0.0373754618251572,74.3583501376437,-307.483403741702,142.709322047085,146.930747551662,135.01065268263,119.828115408226,100.033667090743,70.4740414845306,73.5658571385101,65.7147533927256,67.4207028126268,52.7133199342225,53.7113717636283,0,0.0249294460199953,26.3892449972501,"CellCycle_TGI_association_within_dose_centered",0.769091594396999,0.0256950969276108,0.0190972222222222,NA,576,"exact_within_stratum_TGI_label_enumeration",0.642857142857143,0.0855588910126732,0.0798611111111111,0.0399305555555556,576,"exact_within_stratum_TGI_label_enumeration","Pearson r = 0.769
Permutation P = 0.0191
n = 8",26.3892449972501,"TGI_percent_Day_24_control_median","day","median",24,"Day 24 TGI (%; median of initial-ploidy-matched untreated controls)","Day 24 TGI [median of initial-ploidy-matched untreated controls]"
"2N-A4-RL","primary_equal_sample_reference","2N",0,"ETP-lower",0,"120mg/kg",120,310,2.1766115066713,2.17492493493719,2.17549549705271,2.19445592880316,0.498624597688117,0.530575841665268,4,866,0.0287601442729453,0.0592420231007932,0.0238529589522005,-0.00636880762084474,48.517379841699,190.546990728041,100.46057852397,76.8409937611077,38.1815097371008,66.5669122160835,52.1383458451897,34.0590451193837,40.9640631709205,45.0107154657363,56.6500008305234,39.8454277314135,37.9347493361745,0,-0.0164805021081536,-6.21254897033948,"CellCycle_TGI_association_within_dose_centered",0.769091594396999,0.0256950969276108,0.0190972222222222,NA,576,"exact_within_stratum_TGI_label_enumeration",0.642857142857143,0.0855588910126732,0.0798611111111111,0.0399305555555556,576,"exact_within_stratum_TGI_label_enumeration","Pearson r = 0.769
Permutation P = 0.0191
n = 8",-6.21254897033948,"TGI_percent_Day_24_control_median","day","median",24,"Day 24 TGI (%; median of initial-ploidy-matched untreated controls)","Day 24 TGI [median of initial-ploidy-matched untreated controls]"
"4N-A8-RR","primary_equal_sample_reference","4N",1,"ETP-lower",0,"120mg/kg",120,88,2.22746650120564,2.22610238854283,2.24851822187151,2.29685894441339,0.475019505649636,0.518231272697449,4,866,0.0593273664348133,0.142120250542332,0.0468056984017524,-0.0299738996593256,65.4567300453646,116.385159291332,118.167935250006,84.6682287509334,87.360871086802,60.4018695942484,29.450457239779,42.4861714188631,35.3662342621524,76.9420618448626,74.1159604213578,60.6311499272198,61.7558291591441,0,0.0140867200537144,-11.8103778791076,"CellCycle_TGI_association_within_dose_centered",0.769091594396999,0.0256950969276108,0.0190972222222222,NA,576,"exact_within_stratum_TGI_label_enumeration",0.642857142857143,0.0855588910126732,0.0798611111111111,0.0399305555555556,576,"exact_within_stratum_TGI_label_enumeration","Pearson r = 0.769
Permutation P = 0.0191
n = 8",-11.8103778791076,"TGI_percent_Day_24_control_median","day","median",24,"Day 24 TGI (%; median of initial-ploidy-matched untreated controls)","Day 24 TGI [median of initial-ploidy-matched untreated controls]"
"4N-A8-RL","primary_equal_sample_reference","4N",1,"ETP-higher",1,"120mg/kg",120,456,2.26820976674737,2.22198734201226,2.22266509064424,2.34028339766293,0.500231902613386,0.538705289363861,4,462,0.0227049824155428,0.0594631115912949,0.0168347199548871,-0.00524497310506467,63.0402557981567,71.9710812743307,92.8305617399552,90.5039009192265,76.6757705531964,61.1000170810106,66.7184321616833,45.5508398433033,38.810293993457,60.1852646981084,59.9172095569793,63.1774866569626,64.2294227929587,1,-0.0225356639655561,-8.366318147803,"CellCycle_TGI_association_within_dose_centered",0.769091594396999,0.0256950969276108,0.0190972222222222,NA,576,"exact_within_stratum_TGI_label_enumeration",0.642857142857143,0.0855588910126732,0.0798611111111111,0.0399305555555556,576,"exact_within_stratum_TGI_label_enumeration","Pearson r = 0.769
Permutation P = 0.0191
n = 8",-8.366318147803,"TGI_percent_Day_24_control_median","day","median",24,"Day 24 TGI (%; median of initial-ploidy-matched untreated controls)","Day 24 TGI [median of initial-ploidy-matched untreated controls]"
